ticker,company_name,city,domain,email,address,indexes,sector,market
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ,www.aciselsan.com.tr,aciselsan@aciselsan.com.tr,Aşağı Mah. Acıselsan Caddesi No:25 Acıpayam Denizli,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ,www.adel.com.tr,info@adel.com.tr,Fatih Sultan Mehmet Mah. Balkan Cad. No:58 Buyaka E Blok 34771 Tepeüstü / Ümraniye,"BIST 500, BIST 50",İMALAT,"KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA, ANA PAZAR"
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA,www.adese.com.tr,info@adese.com.tr,Musalla Bağları Mah.Kule Cad.Selçuklu Kulesi Sit.No:2/55 SELÇUKLU/KONYA,"BIST 500, BIST 50",GAYRİMENKUL FAALİYETLERİ,ANA PAZAR
ADLVY,ADİL VARLIK YÖNETİM A.Ş.,İSTANBUL,www.adilvarlik.com.tr,info@adilvarlik.com.tr,Zümrütevler Mah. Ural Sok. No: 30 İç Kapı No :11 Maltepe/İstanbul,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR,www.adragyo.com.tr,yatirimciiliskileri@adragyo.com.tr,"Çaybaşı Mahallesi Aydın Caddesi No:51/A, 35880, Torbalı / İZMİR","BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL,www.afyoncimento.com,afyoncimento@afyoncimento.com,Küçükbakkalköy Mahallesi Kayışdağı Caddesi No:1 Allianz Tower Kat: 23-24 34750 Ataşehir / İSTANBUL \n,"BIST 500, BIST 50",İMALAT,ANA PAZAR
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL,www.anadolugrubu.com.tr,investor.relations@anadolugrubu.com.tr,"FATİH SULTAN MEHMET MAHALLESİ, BALKAN CADDESİ NO:58 BUYAKA (E) BLOK \nTEPEÜSTÜ ÜMRANİYE/İSTANBUL","BIST 100, BIST 500, BIST 50",MALİ KURULUŞLAR,"KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA, YILDIZ PAZAR"
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL,www.agesa.com.tr,,Barbaros Mah. Ihlamur Bulvarı N 3C/229 Ataşehir/İstanbul,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL,www.agrotech.com.tr,info@agrotech.com.tr,Esentepe Mah. Büyükdere Cad. Tekfen Tower No:209/18 Şişli / İSTANBUL,"BIST 500, BIST 50","TARIM, ORMANCILIK VE BALIKÇILIK",YILDIZ PAZAR
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.agaoglugyo.com.tr,yatirimciiliskileri@agaoglugyo.com.tr,Barbaros Mahallesi Ihlamur Bulvarı F Blok No:4B İç Kapı No:2 Ataşehir/İstanbul,"BIST HALKA ARZ, BIST GAYRİMENKUL YAT. ORT., BIST TÜM, BIST TÜM-100, BIST MALİ, BIST YILDIZ, BIST KATILIM TUM",MALİ KURULUŞLAR,YILDIZ PAZAR
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,ahesgyo.com,,Kısıklı Mah. Alemdağ Cad. AHES İş Merkezi D Blok No:53 Kat:2 Üsküdar / İstanbul,"BIST 500, BIST 50",MALİ KURULUŞLAR,ANA PAZAR
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL,www.ahlatcidogalgaz.com.tr,info@ahlatcidogalgaz.com.tr,YEŞİLVADİ SOKAK NO:3 KAT:11 İÇERENKÖY - ATAŞEHİR/İSTANBUL,"BIST 500, BIST 50",ELEKTRİK GAZ VE SU,YILDIZ PAZAR
AKSFA,AK FAKTORİNG A.Ş.,İSTANBUL,www.akfactoring.com.tr,maliisler@akfactoring.com.tr,Büyükdere Caddesi Özsezen İş merkezi C blok no:126 kat 9 Şişli İstanbul,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
AKFK,AK FİNANSAL KİRALAMA A.Ş.,İSTANBUL,www.aklease.com,"finansman@aklease.com, muhasebe@aklease.com",SABANCI CENTER KULE:2 KAT:8-9 4.LEVENT 34330 İSTANBUL,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
AKM AKMEN,AK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,www.akyatirim.com.tr,,SABANCI CENTER 4.LEVENT 34330 BEŞİKTAŞ İSTANBUL,,,"YAPILANDIRILMIŞ ÜRÜNLER VE FON PAZARI, KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA"
AKCVR,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL,www.akademicevre.com,"info@akademicevre.com, akcev@akademicevre.com","Orta Mahalle, Demokrasi Cd. No:92/1, 34956 Tuzla/İstanbul",,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
