companyName,domain,sourceList
Abalıoğlu Tekstil San. A.Ş.,abalioglu.com.tr,DOSB
ABC Tekstil San. ve Tic. A.Ş.                                                                                                 Erteks Kadife Tekstil San. ve Tic. Ltd. Şti.,,DOSB
Acarsoy Enerji Elektrik Üretim San. ve Tic. A.Ş.,acarsoyenerji.com.tr,DOSB
Adnan Bulut Otomotiv Petr. Tur. ve Otel. Nakl. San. Tic. Ltd. Şti.,,DOSB
AFY Boya Tekstil San. ve Tic. Ltd.Şti.,afytekstil.com,DOSB
Afyon Tekstil Boyama San.ve Tic. A.Ş.,afyontekstil.com.tr,DOSB
Akdoku Tekstil Ve Kimya San. ve Tic. Ltd. Şti.,akdoku.com.tr,DOSB
Akürün Tekstil Tarım Gıda San. ve Tic. A.Ş.,akurun.com.tr,DOSB
Akınlı İnşaat Turizm San.Ve Tic.Ltd.Şti.,,DOSB
Ali İnceoğlu Deri Tekstil Ürünleri San. ve Tic. Ltd. Şti.,inceogluderi.com,DOSB
Ali Sarıkaya,sarikayashoes.com,DOSB
Altınbaşak Tekstil San. ve Tic. A.Ş.,altinbasak.com,DOSB
Ar Döküm Merdane Sanayi A.Ş.,ardokum.com,DOSB
Ardöküm Merdane San. A.Ş.,ardokum.com,DOSB
Aslan Tekstil Konf. San.ve Tic.A.Ş.,aslantekstil.com.tr,DOSB
Aslan Tekstil ve Konf. San. ve Tic. A.Ş.,aslantekstil.com.tr,DOSB
Aslı Tekstil Giyim Sanayi ve Tic. A.Ş.,aslitekstil.com.tr,DOSB
Astor İplik Dokumacılık San. ve Tic. A.Ş.,,DOSB
ATAHAN  Konfeksiyon  Tekstil  San.  ve  Tic. A.Ş.,,DOSB
Atateks Ata Tekstil San. ve Tic. A.Ş.,atatekstil.com.tr,DOSB
Atlas Boya Tekstil San.ve Tic.A.Ş.,atlasboyatekstil.com,DOSB
Atlas Dokuma Tekstil Maden Mermer San.ve Tic. Ltd. Şti.,,DOSB
Atılgan Tekstil San. Ve Tic.Ltd.Şti.,,DOSB
Azim Tekstil Makina ve Seracılık San. ve Tic. A.Ş.,azimmakine.com,DOSB
Azim Tekstil Makine ve Seracılık San. Tic. A.Ş.,azimtekstil.com.tr,DOSB
Bahar Tekstil San. ve Tic. A.Ş.,bahartextile.com,DOSB
Bay Sara Tekstil San. ve Tic. Ltd. Şti.,baysara.com,DOSB
Bay Zara Tekstil San. ve Tic. Ltd. Şti.,byzara.com,DOSB
Başaranlar İnş. Malz. San. ve Tic. A.Ş.,basaranlar.com.tr,DOSB
Başaranlar İnş. Malz. Tic. ve San. A.Ş.,basaranlar.com.tr,DOSB
Behçet Şaşmaz,,DOSB
Behçet Şaşmaz (ŞAŞMAZ TEKSTİL),sasmaztekstil.com.tr,DOSB
Berkiz Gıda San. Ve Tic. A.Ş.,berkiz.com.tr,DOSB
Berrin Özbaş,optimumtravertine.com,DOSB
Bez Tekstil San. ve Tic. Ltd. Şti.,beztekstil.com,DOSB
Bezsan Tekstil San. ve Tic. A.Ş.,bezsan.com,DOSB
Bursalıoğlu Makina San. ve Tic. Ltd. Şti.,bursalioglu.com.tr,DOSB
Cam-Pet Cam Petrol Motor San. Tic. A.Ş.,,DOSB
Can Tekstil San. ve Dış Tic. A.Ş.,,DOSB
Ceren Demireren,,DOSB
Cevahir Tekstil Plastik San. ve Tic. Ltd. Şti.,,DOSB
DANTA Prefabrik Betonarme  Yapı San. Tic. Ltd. Şti.,danta.com.tr,DOSB
Debak Denizli Bagalit Kalıp San. ve Tic. A.Ş.,debak.com.tr,DOSB
Dempa Denizli Mens. San. ve Tic. A.Ş.,dempatekstil.com.tr,DOSB
Denbassan Baskı Boya San. ve Tic. Ltd. Şti.,denbassan.com,DOSB
Deniz Tekstil San. ve Tic. A.Ş.,deniztekstil.com.tr,DOSB
Denizli Rateks Tekstil San. ve Tic. A.Ş.,rateks.com.tr,DOSB
Denkateks Tekstil ve Deniz Araçları Üretim San. ve Tic. A.Ş.,denkateks.com,DOSB
Dentaş Kağıt San. A.Ş.,dentasglobal.com,DOSB
Deveci Abey Tuz Nakliyat San.Ve Tic.A.Ş.,deveciabey.com,DOSB
Devtur Gıda San. ve Tic. Ltd. Şti.,devtur.com,DOSB
Devtur Hafr.Akaryakıt İnş. Nakl.San. Ve Tic. Ltd. Şti.,,DOSB
Doksan Denizli Dokuma San. ve Tic. A.Ş.,doksan.com,DOSB
Doruk Tekstil San. ve Tic. Ltd. Şti.,doruktextile.com,DOSB
Dossan Tekstil Madencilik Makina San. ve Tic. Ltd. Şti.,dossantekstil.com,DOSB
Dost Tekstil Konfeksiyon San. ve Tic. A.Ş.,dosttextiles.com.tr,DOSB
Doğmuş Tekstil San. ve Tic. A.Ş.,nisabobinboya.com,DOSB
Doğrar Tekstil Tarım İnşaat San. ve Tic. A.Ş.,,DOSB
Durmuş Ali Enli,modateks.moda,DOSB
Ebrar Tekstil San.ve Tic.Ltd.Şti.,ebrartekstil.com,DOSB
Ece Mermer Turizm San. ve Tic. Ltd. Şti.,ecemarble.com,DOSB
Ege Mensucat Sanayi ve Ticaret Ltd. Şti.,egemensucat.com.tr,DOSB
Ekpen Tekstil San. ve Tic. A.Ş.,ekpen.com.tr,DOSB
Emir Tekstil San. Ve Tic. A.Ş.,emirtextile.com,DOSB
Emirsoy Tekstil San. ve Tic. Ltd. Şti.,emirsoytekstil.com.tr,DOSB
Erteks Kadife Tekstil San. Tic. Ltd. Şti,erteks.com.tr,DOSB
Ertuğrul  EKİZ,,DOSB
Evliyaoğlu Tekstil A.Ş.,evliyaoglutekstil.com,DOSB
Evsa Ev Tekstil San. Ve Tic. A.Ş.,evsa.com.tr,DOSB
Faber Mermercilik San ve Tic . A.Ş.,faber.com.tr,DOSB
Fabercnk Doğal Taş San. ve Tic. A.Ş.,faber.com.tr,DOSB
Fakir ve Muht.Yardım Derneği.,vatanustubu.com,DOSB
Faruk Alyaz,sahlan.com.tr,DOSB
Faruk Alyaz- Şahlan Hidrolik Mak. San. ve Tic. A.Ş.,sahlan.com.tr,DOSB
Fatih Profil San. ve Tic. A.Ş.,fatih.com.tr,DOSB
Fehamettin Taşkaya,fntahsap.com.tr,DOSB
Fiesta Tekstil San. ve Tic. Ltd. Şti.,fiestatekstil.com.tr,DOSB
Fikret ÖZDENER,,DOSB
