Firma Adı;Sektör;Detay URL
01 ALÜMİNYUM GERİ DÖNÜŞÜM METAL İNŞAAT VE SANAYİ TİCARET LİMİTED ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/01-aluminyum-geri-donusum-metal-insaat-ve-sanayi-ticaret-limited-sirketi/
4 K PLASTİK AMB. TURZ. TAŞ. PET. ÜRÜN. DAY. TÜK. MAL. TEKS. GIDA VE TAR. ÜRÜN. İNŞ. İTH. İHR. SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/4-k-plastik-amb-turz-tas-pet-urun-day-tuk-mal-teks-gida-ve-tar-urun-ins-ith-ihr-san-tic-ltd-sti/
A-TEKS MÜHENDİSLİK TEKSTİL İNŞ. TURZ. MAD. PAZ. İML. TAAH. İÇ VE DIŞ TİC. LTD. ŞTİ.;Diğer Ulaşım Araçlarının İmalatı;https://adanaorganize.org.tr/firma/a-teks-muhendislik-tekstil-ins-turz-mad-paz-iml-taah-ic-ve-dis-tic-ltd-sti/
A.Şen Otomotiv Yedek Parça Sanayi ve Ticaret Limited Şirketi;Diğer Ulaşım Araçlarının İmalatı;https://adanaorganize.org.tr/firma/a-sen-otomotiv-yedek-parca-sanayi-ve-ticaret-limited-sirketi/
ABDİOĞULLARI  PLASTİK VE AMB.SAN. A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/abdiogullari-plastik-ve-amb-san-a-s/
Abecotton Tekstil San. ve Tic. Ltd. Şti.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/abecotton-tekstil-san-ve-tic-ltd-sti/
ACN KİMYASAL MAD. İNŞ. OTO. TEKS. KONF. SAN. VE TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/acn-kimyasal-mad-ins-oto-teks-konf-san-ve-tic-a-s/
Adabor Plastik San. ve Tic. Ltd. Şti.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/adabor-plastik-san-ve-tic-ltd-sti/
ADAFER GÜBRE VE TARIM İLÇ. SAN. VE TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/adafer-gubre-ve-tarim-ilc-san-ve-tic-ltd-sti/
ADALAS KİMYA KAUÇUK PLASTİK MAKİNA SAN. VE TİC. İTH. İHR. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/adalas-kimya-kaucuk-plastik-makina-san-ve-tic-ith-ihr-ltd-sti/
ADANA ANBARLARI TAŞIMACILIK TİC. VE SAN. LTD. ŞTİ.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/adana-anbarlari-tasimacilik-tic-ve-san-ltd-sti/
