Firma Adı;Sektör;Telefon;Web Sitesi;Domain;Adres
01 ALÜMİNYUM GERİ DÖNÜŞÜM METAL İNŞAAT VE SANAYİ TİCARET LİMİTED ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (532)262-1923;https://www.01aluminyum.com/;01aluminyum.com;Acidereosb Mahallesi Cumhuriyet Bulvari No: 9
4 K PLASTİK AMB. TURZ. TAŞ. PET. ÜRÜN. DAY. TÜK. MAL. TEKS. GIDA VE TAR. ÜRÜN. İNŞ. İTH. İHR. SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)346-1225;http://www.4kplastik.com;4kplastik.com;Acidereosb Mahallesi Lokman Hekim Caddesi No: 2
A-TEKS MÜHENDİSLİK TEKSTİL İNŞ. TURZ. MAD. PAZ. İML. TAAH. İÇ VE DIŞ TİC. LTD. ŞTİ.;Diğer Ulaşım Araçlarının İmalatı;+90 322 459 7926;https://www.ateks.international/;ateks.international;Acıdereosb Mahallesi Çukurova Caddesi 3 Adana Sarıçam
ABDİOĞULLARI  PLASTİK VE AMB.SAN. A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3627;http://www.abco.com.tr;abco.com.tr;Acidereosb Mahallesi Sabanci Caddesi No: 8
ACN KİMYASAL MAD. İNŞ. OTO. TEKS. KONF. SAN. VE TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4591;http://www.acnkimya.com;acnkimya.com;Acidereosb Mahallesi Inönü Bulvari No: 24
ADAFER GÜBRE VE TARIM İLÇ. SAN. VE TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3601;http://www.adafergubre.com;adafergubre.com;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 23
ADANA ANBARLARI TAŞIMACILIK TİC. VE SAN. LTD. ŞTİ.;Diğer İmalatlar;+90 (322)394-3318;http://www.adanatasimacilik.com.tr;adanatasimacilik.com.tr;Acidereosb Mahallesi Yaşar Doğu Caddesi No: 13
ADANA BORU PROFİL SAC DEMİR ÇELİK HIRD. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5001;http://www.adanasac.com.tr;adanasac.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 8
ADANA ÇELİK HASIR PAZ.SAN.VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3530;http://www.adanacelikhasir.com;adanacelikhasir.com;Acidereosb Mahallesi Çanakkale Caddesi No: 19
ADANA DÖKÜM SAN. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3330;http://www.adanadokum.com.tr;adanadokum.com.tr;Acidereosb Mahallesi Nilüfer Sokak No: 4
ADANA MENSUCAT SAN.TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3838;http://www.adanamensucat.com.tr;adanamensucat.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 6
ADANUS PLASTİK GERİ KAZANIM İTH. İHR. SAN. TİC. LTD. ŞTİ.;Diğer İmalatlar;+90 (322)394-4050;http://www.adanusplastik.com.tr;adanusplastik.com.tr;Acidereosb Mahallesi Vatan Caddesi No: 1
ADM BESİN VE TARIM A. Ş.;Gıda Ürünleri İmalatı;+90 (322)355-4073;https://www.adm.com/;adm.com;Acidereosb Mahallesi 5 Ocak Caddesi No: 2
ADM WİLD GIDA SAN. VE TİC.LTD.ŞTİ.;İçeceklerin İmalatı;+90 (322)394-5280;http://www.wild.de;wild.de;Acidereosb Mahallesi D-400 Karayolu Üzeri No: 41
Adya Mühendislik San. ve Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;+90(549)141-0400;https://www.adya.com.tr/;adya.com.tr;Yeni Mahalle 4398 Sokak Ercan Demir Sanayi Sitesi A Blok No:6/1b3 Adana Sarıçam
AFM GIDA KİMYA İTH. İHR. TİC. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)221-0001;http://www.afmtrade.com;afmtrade.com;Acidereosb Mahallesi Abdullah Gül Bulvari No: 17
