Firma Adı;Web Sitesi;E-Posta;Detay URL
07 Pan-El-San;http://07panelsan.com.tr/;07panelsan@gmail.com , info@panelsan.com;https://www.antalyaosb.org.tr/tr/firma/07-pan-el-san/1
4S DENİZ ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/4s-deniz-urunleri-gida-sanayi-ticaret-a-s/400
ACCADO KİLİT SİSTEMLERİ AKS. YAPI MALZ. SAN. ve TİC. A. Ş.;https://www.accado.com.tr;info@accado.com.tr;https://www.antalyaosb.org.tr/tr/firma/accado-kilit-sistemleri-aks-yapi-malz-san-ve-tic-a-s/282
ACEL ENERJİ İÇECEK SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/acel-enerji-icecek-sanayi-ve-ticaret-ltd-sti/370
ADALYA ALÜMİNYUM SANAYİ VE TİCARET A.Ş.;https://www.adalyaaluminyum.com/;info@adalyaaluminyum.com;https://www.antalyaosb.org.tr/tr/firma/adalya-aluminyum-sanayi-ve-ticaret-a-s/395
Adalya Mermer San. Tic. A. Ş.;http://www.adalyamarble.com;info@adalyamarble.com;https://www.antalyaosb.org.tr/tr/firma/adalya-mermer-san-tic-a-s/3
ADAM PLAST TARIM LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/adam-plast-tarim-ltd-sti/427
ADAM PLASTİK VE DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;http://www.adamplastik.com;"info@adamplastik.com; mucahit@adamplastik.com; ozgur@adamplastik.com";https://www.antalyaosb.org.tr/tr/firma/adam-plastik-ve-denizcilik-sanayi-ve-ticaret-limited-sirketi/4
ADEN METAL YAPI SİSTEMLERİ İNŞAAT MİMARLIK MÜHENDİSLİK MADENCİLİ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/aden-metal-yapi-sistemleri-insaat-mimarlik-muhendislik-madencili/428
ADEN SERA MALZEMELERİ VE PLASTİK ÜRÜNLERİ SANAYİ VE TİCARET LTD.;https://www.adensera.com/;info@adensera.com;https://www.antalyaosb.org.tr/tr/firma/aden-sera-malzemeleri-ve-plastik-urunleri-sanayi-ve-ticaret-ltd/317
ADO MADENCİLİK ELEKTRİK ÜRETİM SANAYİ VE TİCARET A.Ş.;https://adomining.com/tr/;info@adomining.com;https://www.antalyaosb.org.tr/tr/firma/ado-madencilik-elektrik-uretim-sanayi-ve-ticaret-a-s/361
Adokim Kimya Sanayi Ve Ticaret A. Ş.;https://www.ado.com.tr/markalarimiz/adokim.html;info@adokim.com.tr;https://www.antalyaosb.org.tr/tr/firma/adokim-kimya-sanayi-ve-ticaret-a-s/5
