FirmaAdi;WebSitesi;Domain;Email
"4U AUTOMOTIVE INTERNATIONAL YEDEK PARÇA SANAYİ VE TİCARET A.Ş.";"";"";""
"A OTOMOTİV CAM SAN. VE TİC. A.Ş.";"";"";""
"ABGR METALURJİ İNŞAAT TURİZM İÇ VE DIŞ TİC A.Ş";"";"";""
"AÇIKEL DAĞITIM PAZ. VE DIŞ. TİC. LTD. ŞTİ.";"https://acikel.com.tr/";"acikel.com.tr";""
"ADEZZA YAPI SİSTEMLERİ ANONİM ŞİRKETİ";"";"";""
"AKSÖZ MAKİNA SANAYİ VE TİCARET LTD. ŞTİ.";"https://aksoz.com.tr/";"aksoz.com.tr";""
"AKTAŞ MEKANİK ALÜMİNYUM İTH. İHR. SAN. VE TİC. A.Ş.";"";"";""
"ALMAŞ ALÜMİNYUM SAN. VE TİC. A.Ş";"";"";""
"ALMAŞ ALÜMİNYUM SANAYİ VE TİCARET A.Ş.";"";"";""
"ALSAN GRUP ALÜMİNYUM İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ALTES ALÜMİNYUM SANAYİ VE İNŞ. TİC. LTD. ŞTİ.";"";"";""
"ALUEX ALÜMİNYUM ANONİM ŞİRKETİ";"";"";""
"ALYANS ÇELİK METAL İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ";"";"";""
"ALYANS ÇELİK METAL İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ALYANS ÇELİK METAL İNŞAAT TAAHHÜT SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ANADOLU RADYANT ISI SİSTEMLERİ SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ANKAEMS ELEKTROMEKANİK SAN. VE TİC. A.Ş.";"";"";""
"ANKARA HAMAK MAKİNA SAN. VE TİC. A.Ş.";"";"";""
"ANKARA TİCARET ODASI";"https://www.atonet.org.tr/";"atonet.org.tr";""
"ANTES ÇELİK BORU SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"ARANGÜL PLASTİK KALIP SANAYİ VE TİC. LTD. ŞTİ";"https://www.arangul.com.tr";"arangul.com.tr";""
"Arangül Plastik Kalıp Sanayi ve Ticaret Limited Şirketi";"https://www.arangul.com.tr";"arangul.com.tr";""
"ARCA BALİSTİK VE METAL SANAYİ A.Ş.";"";"";""
"ARDIÇ CAM SANAYİ ANONİM ŞİRKETİ";"";"";""
"ARDIÇ KARDEŞLER CAM PAZARLAMA A.Ş.";"";"";""
"ARF SAVUNMA VE HAVACILIK A.Ş.";"";"";""
"ARMSTO KONNEKTÖR ANONİM ŞİRKETİ";"";"";""
"ARMTEK ELEKTRİK SANAYİ VE TİCARET A.Ş.";"";"";""
"ARTI KOMPOZİT PAZARLAMA PROJE İNŞAAT İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASDAŞ ASFALT KİMYASALLARI KİMYEVİ MADDELER PET. İNŞ. OTO. KİR. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://asdasglobal.com/tr";"asdasglobal.com";""
"ASK CHEMİCALS TR. TİC. LTD. ŞTİ.";"";"";""
"ASPAR ASANSÖR AKSAMLARI PAZ. SAN. TİC. A.Ş.";"https://aspar.com/";"aspar.com";""
"ASRON TEKNOLOJİ SAN. VE TİC. A.Ş.";"";"";""
"ASTOR ENERJİ A.Ş.";"https://astoras.com.tr/";"astoras.com.tr";""
"ASTOR TRANSFORMATÖR ENERJİ TURZ. İNŞ. VE PETROL SAN. TİC. A.Ş.";"";"";""
"ASYOL ASFALT TAAH. İNŞ. TAR. TİC.VE SANAYİ A.Ş.";"https://www.asyol.com.tr";"asyol.com.tr";""
"AŞAN ÇELİK YAPI MAK. İNŞ. TURZ. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ATAGÜR MOBİLYA SAN. VE TİC. A.Ş.";"https://atagur.com";"atagur.com";""
"ATİKARTA REKLAMCILIK TELEKOMÜNİKASON İNŞ. ENERJİ ULAŞIM MÜŞAVİRLİK SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ATS ELEKTRONİK PANO SAN. TİC. LTD. ŞTİ.";"https://www.atspano.com.tr/";"atspano.com.tr";""
"AUSTROTHERM YALITIM MALZ. SAN. VE TİC. LTD. ŞTİ.";"https://www.austrotherm.com.tr/";"austrotherm.com.tr";""
"AVRASYA GALVANİZ METAL A.Ş.";"https://www.avrasyagalvaniz.com.tr/tr";"avrasyagalvaniz.com.tr";""
"AYDIN ER TIBBİ VE SANAYİ GAZLARI MAK. İML. İNŞ. PET. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://aydinermakina.com.tr/";"aydinermakina.com.tr";""
"AYOKİ METAL VE TEKNOLOJİ SAN. DIŞ TİC. LTD. ŞTİ.";"https://ayoki.com.tr/";"ayoki.com.tr";""
