FirmaAdi;WebSitesi;Domain;Email
"3DTİM ELEKTRONİK A.Ş.";"https://www.beevision.com.tr";"beevision.com.tr";""
"3E BAŞKENT 4 METAL SANAYİ A.Ş.";"https://www.ersamobilya.com";"ersamobilya.com";""
"5M FACTOR MÜHENDİSLİK İNŞAAT EMLAK GIDA OTOMOTİV SANAYİ VE TİCARET LTD.ŞTİ.";"";"";""
"5S OTOMOTİV İMALAT SANAYİ VE TİCARET A.Ş.";"https://www.5sotomotiv.com";"5sotomotiv.com";""
"A.H.M EVCİL HAYVAN VE HAYVAN ÜRÜNLERİ TEKS. KİM. İNŞ. DAN. SAN. VE TİC. .LTD. ŞTİ.";"http://www.ahmfishfood.com/";"ahmfishfood.com";""
"A4 DOĞALTAŞ GRANİT TİCARET VE SANAYİ LTD.ŞTİ.";"http://www.a4granit.com/";"a4granit.com";""
"ABAY GIDA TURİZM İNŞAAT VE ELEKTRONİK SANAYİ TİCARET LTD. ŞTİ.";"https://www.abaygıda.com.tr";"xn--abaygda-vfb.com.tr";""
"ABDULKADİR ÖZCAN OTOMOTİV LASTİK SANAYİ VE TİCARET A.Ş.";"https://www.abdulkadirozcan.com.tr";"abdulkadirozcan.com.tr";""
"ABFEN FARMA İLAÇ SANAYİ VE TİCARET A.Ş.";"https://www.abfen.com.tr";"abfen.com.tr";""
"AC ARGE ENDÜSTRİYEL ÜRETİM SANAYİ VE TİCARET A.Ş";"https://www.acendustri.com";"acendustri.com";""
"ACA METAL SANAYİ VE TİCARET LTD. ŞTİ";"";"";""
"ACK AMBULANS VE SERVİS HİZMETLERİ A.Ş.";"";"";""
"ADRİYATİK FİLTRASYON ARITMA SİS. MAK. MÜH. DAN. .İNŞ. TAAH. SAN. TİC. LTD. ŞTİ.";"https://www.adriyatikfiltre.com";"adriyatikfiltre.com";""
"ADS METAL ELEKTRİK İTHALAT İHRACAT SANAYİ TİCARET A.Ş.";"https://adsmetal.com.tr/";"adsmetal.com.tr";""
"AERO KOMPOZİT TEKNOLOJİLERİ VE SAVUNMA SANAYİ TİCARET A.Ş.";"https://www.aerocomposite.com.tr";"aerocomposite.com.tr";""
"AFIT DIŞ TİCARET LTD. ŞTİ";"https://www.afit.com.tr";"afit.com.tr";""
"AFKO METAL TARIM MAKİNALARI LTD.ŞTİ.";"https://www.afko.com.tr";"afko.com.tr";""
"AİR-FAN HAVA TEKNİĞİ CİHAZLARI MAKİNA VE İNŞAAT SANAYİ TİCARET A.Ş.";"http://www.airfan.com.tr/";"airfan.com.tr";""
"AKA SU TEKNOLOJİLERİ A.Ş.";"http://aquashine.com.tr";"aquashine.com.tr";""
"AKADEMİ TOHUM GÜBRE TARIM ÜRÜNLERİ HAYV. GIDA SAN. VE TİC. LTD. ŞTİ.";"https://www.akademitohum.com";"akademitohum.com";""
"AKANA MÜHENDİSLİK VE TİCARET A.Ş.";"https://www.akana.com.tr";"akana.com.tr";""
"AKM OTOMOTİV AKARYAKIT ENERJİ İNŞAAT TAAHHÜT SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"AKMERMER DEMİR ÇELİK TİCARET VE SANAYİ LTD. ŞTİ.";"https://www.akmermerdemir.com";"akmermerdemir.com";""
"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş.";"https://www.epsiloncomposite.com/";"epsiloncomposite.com";""
"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş. MALIKÖY OSB 2 ŞUBESİ";"https://www.aksacomposites.com";"aksacomposites.com";""
"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş. MALIKÖY OSB ŞUBESİ";"https://www.aksacomposites.com";"aksacomposites.com";""
"AKSA İLERİ KOMPOZİT TEKNOLOJİLERİ VE HAVACILIK SANAYİ A.Ş. MALIKÖY ŞUBESİ";"https://www.epsiloncomposite.com";"epsiloncomposite.com";""
"ALERMAK DANIŞMANLIK MAKİNA SANAYİ VE TİCARET A.Ş.";"https://www.alermak.com.tr";"alermak.com.tr";""
"ALFA KESİCİ TAKIM MAKİNE İTHALAT İHRACAT SANAYİ TİCARET LTD.ŞTİ.";"https://www.alfakesicitakim.com";"alfakesicitakim.com";""
"ALFA KRANK MAKİNA DÖKÜM SANAYİ VE TİCARET LTD. ŞTİ.";"https://www.alfakrank.com.tr";"alfakrank.com.tr";""
"ALFA TEST EKİPMANLARI LTD.ŞTİ.";"https://www.alfatest.com.tr";"alfatest.com.tr";""
"ALİ ERDEM";"";"";""
"ALP GRUP DANIŞMANLIK LTD.ŞTİ.";"";"";""
"ALTAYLAR MEDİKAL TIBBİ MALZEMELER İNŞAAT TEKSTİL GIDA İTHALAT İHRACAT SANAYİ VE TİCARET LTD. ŞTİ.";"https://www.altaylarmedikal..com";"altaylarmedikal..com";""
"ALTAYLAR TEST ANALİZ VALİDASYON AMBALAJ VE SANAYİ TİCARET A.Ş.";"https://www.altaylarvalidasyon.com";"altaylarvalidasyon.com";""
"AMEC ENDÜSTRİYEL VE TIBBİ CİHAZLAR MAKİNE SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.amecindustries.com";"amecindustries.com";""
"ANADOLU TRAFO İZOLASYON SANAYİ VE TİCARET A.Ş.";"http://anadolutrafoizolasyon.com/";"anadolutrafoizolasyon.com";""
"ANCHOR ENDÜSTRİ ÇELİK KONSTRÜKSİYON İNŞAAT MAKİNA SANAYİ VE TİCARET A.Ş.";"http://www.anchorcelik.com.tr";"anchorcelik.com.tr";""
"ANÇ MÜHENDİSLİK MAKİNA SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.ancltd.com.tr";"ancltd.com.tr";""
"ANDA KAYNAK MAKİNE SANAYİ TİCARET LTD.ŞTİ.";"";"";""
"ANI METAL SANAYİ TİCARET A.Ş.";"https://www.animetal.com.tr";"animetal.com.tr";""
"ANIL KAĞITÇILIK AMBALAJ İNŞAAT TURİZM SANAYİ VE TİCARET A.Ş.";"https://www.anilambalaj.com.tr";"anilambalaj.com.tr";""
"ANKARA AKRİLİK POLİMER SANAYİ TİCARET A.Ş.";"";"";""
"ANKARA BASINÇLI TANK VE PROSES EKİPMANLARI İMALAT VE MONTAJ SANAYİ TİCARET LTD.ŞTİ.";"";"";""
"ANKARA RAKOR HİDROLİK MAKİNE LTD. ŞTİ.";"https://www.ankararakor.com; wwwçankararekor.com";"ankararakor.com; wwwçankararekor.com";""
"ANKASAN MAKİNE A.Ş.";"https://www.ankasan.com";"ankasan.com";""
"ANKATEKS TURİZM İNŞAAT TEKSTİL TEMİZLEME SANAYİ VE TİCARET A.Ş.";"https://www.ankateks.com.tr";"ankateks.com.tr";""
"ANKOMER TOHUMCULUK VE ZİRAAT SANAYİ TİCARET LTD. ŞTİ.";"http://ankomer.com/";"ankomer.com";""
"ANKUTSAN ANTALYA KUTU SANAYİ OLUKLU MUKAVVA KAĞIT TİCARET A.Ş.";"https://www.ankutsan.com";"ankutsan.com";""
"ANKUTSAN ANTALYA KUTU SANAYİ OLUKLU MUKAVVA KAĞIT TİCARET A.Ş. BAŞKENT ŞUBESİ";"https://www.ankutsan.com";"ankutsan.com";""
"ANMAK GRUP MAKİNE VE DİŞLİ SANAYİ TİCARET LTD. ŞTİ.";"http://www.anmakdisli.com/";"anmakdisli.com";""
"ANMEKSAN İNŞAAT MAKİNA SANATİ VE TİCARET A.Ş.";"https://www.anmeksan.com";"anmeksan.com";""
"AQUASHİNE ÇEVRE VE ENERJİ TEKNOLOJİLERİ A.Ş.";"";"";""
"ARANGÜL PLASTİK KALIP SANAYİ VE TİCARET A.Ş.";"https://www.arangul.com";"arangul.com";""
"ARAS KARGO YURT İÇİ VE YURT DIŞI TAŞIMACILIK A.Ş.";"";"";""
"ARDIÇ OTOMOTİV SANAYİ VE TİCARET A.Ş.";"https://www.ardicotomotiv.com.tr/";"ardicotomotiv.com.tr";""
"ARMA İLAÇ SANAYİ VE TİCARET A.Ş.";"https://www.armailac.com.tr";"armailac.com.tr";""
"ARMİN BOYA TEKNOLOJİLERİ VE DANIŞMANLIK SANAYİ VE TİCARET LTD.ŞTİ. ANKARA ŞUBESİ";"";"";""
"ARSDEF MÜHENDİSLİK SAVUNMA TEKNOLOJİLERİ A.Ş.";"https://www.arsdef.com.tr";"arsdef.com.tr";""
"ART MİMARİ VE ENDÜSTRİYEL TASARIM HİZMETLERİ LTD ŞTİ.";"";"";""
"ARTUKBEY KAHVE A.Ş.";"https://www.artukbey.com";"artukbey.com";""
"ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.";"https://www.aselsan.com.tr";"aselsan.com.tr";""
"ASLAZER İNŞAAT MAKİNA SANAYİ VE DIŞ TİCARET LTD.ŞTİ.-BAŞKENT OSB ŞUBESİ";"";"";""
"ASTEK KAPLAMA VE ASFALT TEKNOLOJİLERİ İNŞAAT SANAYİ VE TİCARET LTD. ŞTİ.";"https://www.asfaltkaplama.com";"asfaltkaplama.com";""
"ATAK MÜHENDİSLİK İNŞAAT SAN. VE TİC. A.Ş.";"https://www.atakeng.com.tr";"atakeng.com.tr";""
"ATALAY ENJEKSİYON SONDAJ DELGİ MAKİNE İMALAT İNŞAAT MADENCİLİK MÜHENDİSLİK İTHALAT İHRACAT SANAYİ VE";"https://www.atalaysondajmak.com;";"atalaysondajmak.com;";""
"ATAY TEKNOLOJİ A.Ş.";"https://www.atayteknoloji.com.tr";"atayteknoloji.com.tr";""
"ATMACA GRUP HIRDAVAT İNŞAAT MALZEMELERİ A.Ş.";"";"";""
"AYA SONDAJ HİZMETLERİ TİCARET VE SANAYİ A.Ş.";"https://www.aya-ds.com";"aya-ds.com";""
"AYDURAN ELEKTRİK TAAHHÜT VE TİCARET LTD.ŞTİ.";"http://www.ayduran.com/tr/";"ayduran.com";""
"AYGE SAC METAL LTD. ŞTİ.";"https://aygemetal.com";"aygemetal.com";""
"AYM ANADOLU YAPI MAKİNA MÜHENDİSLİK MÜŞAVİRLİK SANAYİ VE TİCARET LTD.ŞTİ.";"https://aymmuhendislik.com.tr";"aymmuhendislik.com.tr";""
"AYMED İLAÇ SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.aymedilac.com/";"aymedilac.com";""
"AZAPOĞLU MAKİNA A.Ş.";"https://azapoglumakina.com";"azapoglumakina.com";""
"AZP TRANSFORMATÖR MÜHENDİSLİK İMALAT MAKİNA SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.azptrafo.com";"azptrafo.com";""
"BAS ENDÜSTRİYEL ÇÖZÜMLER VE MÜHENDİSLİK UYGULAMA LTD.ŞTİ.";"https://www.bas-tr.com";"bas-tr.com";""
"BAŞARAN GRUP ÇELİK ENERJİ YAPI SANAYİ VE TİCARET LTD.ŞTİ.";"https://basaranvinc.com";"basaranvinc.com";""
"BAŞARI ARGE ENERJİ TEKNOLOJİLERİ ELEKTRİK ELEKTRONİK YAZILIM MAKİNA SANAYİ VE TAAHHÜT TİCARET A.Ş.";"https://www.basarienerji.com.tr";"basarienerji.com.tr";""
"BAŞKENT ORGANİZE SANAYİ BÖLGESİ";"";"";""
"BAŞKENT TEKNİK HIRDAVAT MAKİNE CIVATA SANAYİ TİCARET LTD. ŞTİ.";"https://www.baskenthirdavat.com.tr";"baskenthirdavat.com.tr";""
"BAŞÖZ ENERJİ TAAHHÜT TİCARET VE SANAYİ A.Ş.";"https://www.basozenerji@com.tr";"com.tr";""
"BAYKALLAR METAL SANAYİ VE TİCARET LTD.ŞTİ.";"https://www.baykallarmetal.com";"baykallarmetal.com";""
"BAYLAN MATBAACILIK PAZARLAMA AMBALAJ SANAYİ DIŞ TİCARET A.Ş.";"https://www.baylanmatbaacilik.com";"baylanmatbaacilik.com";""
"BAYNOVA TEKNOLOJİ A.Ş.";"";"";""
"BAYSAL TOHUMCULUK GIDA HAYVANCILIK SANAYİ TİCARET LTD.ŞTİ.";"https://www.bayvital.com.tr";"bayvital.com.tr";""
"BCC TOPLU YEMEK ÜRETİM HİZMETLERİ A.Ş.";"https://www.bcccatering.com.tr";"bcccatering.com.tr";""
"BEK BOYA SANAYİ VE TİCARET LTD. ŞTİ.";"https://www.bekboya.com.tr";"bekboya.com.tr";""
"BERDEMİR ENERJİ TESİSLERİ MÜHENDİSLİK MÜTEAHHİTLİK SANAYİ VE DIŞ TİCARET LTD. ŞTİ.";"";"";""
"BERGAMO METAL YAPI ELEMANLARI İNŞAAT EMLAK TAŞIMACILIK OTOMOTİV MADENCİLİK SANAYİ VE TİCARET LTD.ŞT";"https://www.bmbs.com.tr";"bmbs.com.tr";""
"BERGAMO METAL YAPI ELEMANLARI İNŞAAT EMLAK TAŞIMACILIK OTOMOTİV MADENCİLİK SANAYİ VE TİCARET LTD.ŞT";"";"";""
"BERGAMO METAL YAPI ELEMANLARI İNŞAAT EMLAK TAŞIMACILIK OTOMOTİV MADENCİLİK SANAYİ VE TİCARET LTD.ŞTİ";"https://www.bmbs.com.tr";"bmbs.com.tr";""
