FirmaAdi;WebSitesi;Domain;Email
"Abkar Mühendislik Paz.Mak.San.ve Tic.Ltd.Şti.";"http://www.abkar.com.tr/";"abkar.com.tr";""
"Akın İnşaat ve İnş. Malz. Tic. ve San. Ltd. Şti.";"http://www.akininsaat.com.tr/";"akininsaat.com.tr";""
"Altoteks Tekstil Giyim Boya Apre San. Tic. A.Ş.";"https://www.altoteks.com.tr";"altoteks.com.tr";""
"Araz Otomotiv Demir Çelik Petrol Ürünleri San. Ve Tic. Ltd. Şti.";"";"";""
"Arfen Alüminyum San. Ve Tic. A.Ş.";"https://www.arfenaluminyum.com.tr/";"arfenaluminyum.com.tr";""
"Astaş Alüminyum San. Tic. A.Ş.";"https://www.astasaluminium.com";"astasaluminium.com";""
"Aydın Plastik Ambalaj San. ve Tic. Ltd. Şti.";"https://www.aydinplastik.com.tr";"aydinplastik.com.tr";""
"Bilkont Dış Tic. Tekstil San. A.Ş.";"https://www.bilkont.com.tr";"bilkont.com.tr";""
"Cansan İplik Pazarlama San.Ve Dış.Tic.A.Ş";"";"";""
"Corex Ambalaj Sanayi ve Ticaret A.Ş.";"https://www.corexgroup.com/";"corexgroup.com";""
"Dikgör İplik Tekstil Pazarlama San. Ve Tic. Ltd. Şti.";"https://www.dikgoriplik.com.tr";"dikgoriplik.com.tr";""
"DMS Dilmenler Mak. Teks. San. Tic. A.Ş.";"https://www.dilmenler.com.tr";"dilmenler.com.tr";""
"Doğuş Tekstil İşletmeleri San. Tic. A.Ş.";"https://www.dogustekstil.com";"dogustekstil.com";""
"Dolu Oyuncak San. ve Tic. A.Ş.";"https://www.dolu.com.tr/";"dolu.com.tr";""
"Dünya Tekstil Mak ve Taş San Tic Ltd Şti";"https://www.dunyatekstil.com/";"dunyatekstil.com";""
