Firma Adı;Bölge;Sektör;Detay URL
A KAUÇUK LTD. ŞTİ.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5714.html
ABDUL MANAN ISRAR;5.Bölge-Aktoprak;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/74.html
ABDULKADİR ÖZOĞLAN;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4504.html
ABDULKADİR ZENCİRLİ;1.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3993.html
ABDULKERİM BOZDOĞAN NET POLİP GERİ DÖNÜŞÜM;5.Bölge-Göksüncük;GERİ DÖNÜŞÜM;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3962.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4603.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4601.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4570.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4581.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4597.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4600.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4692.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4694.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4598.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4604.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4602.html
