Firma Adı;Bölge;Sektör;Telefon;E-Posta;Domain;Detay URL
A KAUÇUK LTD. ŞTİ.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5714.html
ABDUL MANAN ISRAR;5.Bölge-Aktoprak;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/74.html
ABDULKADİR ÖZOĞLAN;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4504.html
ABDULKADİR ZENCİRLİ;1.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3993.html
ABDULKERİM BOZDOĞAN NET POLİP GERİ DÖNÜŞÜM;5.Bölge-Göksüncük;GERİ DÖNÜŞÜM;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3962.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4603.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4601.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;3422112121;info@kimpack.com.tr;kimpack.com.tr;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4570.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4581.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4597.html
