Firma Adı;Şehir;İlçe;Sektör;Telefon;Faks;E-Posta;Web Sitesi;Domain;Adres
2 E TARIM VE GIDA SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 502 17 33;5021738;;;;10.026 SOKAK NO.2  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
3N PLAST YAPI SANAYİ A.Ş.;İZMİR;ÇİĞLİ;;(216) 444 97 70;(216) 415 95 05;;;;10.010 SOKAK NO:31  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
3N PLAST YAPI SANAYİ A.Ş.;İZMİR;ÇİĞLİ;;(216) 444 97 70;(216) 415 95 05;;;;10.010 SOKAK NO:29 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
3N PLAST YAPI SANAYİ A.Ş.;İSTANBUL;SANCAKTEPE;;(216) 444 97 70;(216) 415 95 05;;;;EMEK MAH.ESENŞEHİR CAD.NO:11 K:2 D:4
3N PLAST YAPI SANAYİ A.Ş.;İSTANBUL;SANCAKTEPE;;(216) 444 97 70;(216) 415 95 05;;;;EMEK MAH.ESENŞEHİR CAD.NO:11 K:2 D:4
A PLEKS YAPI VE REKLAM MALZEMELERİ İNŞ.SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Kauçuk ve plastik ürünlerin imalati;(232) 202 32 38;;info@apleks.com;http://www.apleks.com;apleks.com;10.022 SOKAK NO.11 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
A.S.Y. YEMEK HİZMETLERİ GIDA SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Hazir yemek imalati (vakumla paketlenmis veya koru;(232) 376 70 68;2323767009;info@asyyemek.com.tr;http://www.asyyemek.com.tr;asyyemek.com.tr;10.006/1 SOKAK NO.45    ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABALIOĞLU YAĞ SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 31 72;3280386;info@abaliyag.com;www.abalioglu.com;abalioglu.com;10.043 SOKAK NO.13  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABALIOĞLU YAĞ SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 31 72;3280386;info@abaliyag.com;www.abaliogluyag.com;abaliogluyag.com;10.006/1 SOKAK NO.19  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABB ELEKTRİK SANAYİ A.Ş.;İZMİR;ÇİĞLİ;Motor ve türbinlerin bakim ve onarimi (hidrolik, r;(232) 328 29 00;3282905;contact.center@tr.abb.com;http://tr.abb.com;tr.abb.com;10.046 SOKAK NO.12  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
