firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
EKSUN GIDA TARIM SAN. VE TİC. A. Ş.;*BÜYÜKDERE CD.OCAK APT.NO:91/3;İSTANBUL;ŞİŞLİ;(212) 2120014;;;İİB-FINDIK
RAM DIŞ TİCARET A.Ş.;RÜZGARLIBAHÇE KAVACIK KAVŞAĞI ENERGY PLAZA K:2;İSTANBUL;BEYKOZ;(216) 5381100;www.ram.com.tr;ram.com.tr;İİB-FINDIK
TAMEK SAGRA GRUP GIDA ÜRETİM A.Ş.;CEVİZLİ MAH. TUGAY YOLU CAD. OYAK DRAGOS SİTESİ C BLOK NO: 10C İÇ KAPI NO: 72;İSTANBUL;MALTEPE;(216) 2551535;http://www.tamek.com.tr;tamek.com.tr;İİB-FINDIK
ÇELENLİ GIDA VE İTH.MADD.İTH.İHR.SAN.VE TİC.LTD.ŞTİ;HARMANTEPE MAH.ÜLKÜ SK.NO : 2/A ;İSTANBUL;KAĞITHANE;(212) 2705544;www.incibeyaz.com.tr;incibeyaz.com.tr;İİB-FINDIK
İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;29 EKIM CAD. NO:23;İSTANBUL; ;(212) 6372912;www.ihlasevaletleri.com.tr;ihlasevaletleri.com.tr;İİB-FINDIK
ENKA İNŞ.VE SAN.A.Ş;BALMUMCU BESTEKAR ŞEVKİBEY SOKENKA 1 BİNASI;İSTANBUL;BEŞİKTAŞ;(212) 2742540;;;İİB-FINDIK
AYDIN KURUYEMIŞ SANAYI VE TIC. AŞ.;CEBECİ MAH.ATATÜRK BULVARI2488 SOKAK NO:36;İSTANBUL;SULTANGAZİ;(212) 5940078;www.aydinkuruyemis.com.tr;aydinkuruyemis.com.tr;İİB-FINDIK
MESA İÇ VE DIŞ TİC.LTD.ŞTİ;YEŞİLBAYIR MAHALLESİ 29 MAYIS CAD. NO: 19 A/1;İSTANBUL;ARNAVUTKÖY;(212) 8861508;www.mesagida.com;mesagida.com;İİB-FINDIK
AYKUT GIDA AMBALAJ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENIHAL U.BLOK NO:21;MERSIN; ;(324) 2344084;;;İİB-FINDIK
ÇİLOĞLU GIDA ANONİM ŞİRKETİ;GEZ;ERZURUM;AZİZİYE(ILICA);(216) 6931625;;;İİB-FINDIK
ÜSTÜN PLASTİK AMBALAJ SAN.VE TİC.A.Ş.;ORG.SAN.BÖL.KAĞITHANE SAN.SİT.17.CD. NO:7;İSTANBUL;BAŞAKŞEHİR;(212) 4857676;www.ustunplastik.com;ustunplastik.com;İİB-FINDIK
SAĞLIKLI GIDA ÜRÜNL.SAN.VE TIC A.Ş.;CELALİYE MAH.BAĞLARBAŞI CAD.NO:55A;İSTANBUL;BÜYÜKÇEKMECE;(212) 8851845;www.sgu.com.tr;sgu.com.tr;İİB-FINDIK
HATKİM KİMYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;KASAP SOK.NO:16 A BLOK D.34;İSTANBUL; ;(212) 2758835;;;İİB-FINDIK
ANADOLU EFES BİRACILIK VE MALT SANAYİ ANONİM ŞİRKETİ;FATİH SULTAN MEHMET MAHALLESİ BALKAN CAD. BU KAYA E BLOK NO:58/23                    ;İSTANBUL;ÜMRANİYE;(212) 4493600;www.anadoluefes.com;anadoluefes.com;İİB-FINDIK
ZİLAN DIŞ TİC.LTD.ŞTİ.;YENIKAPIKATIPKASIM SOK.NO:62;İSTANBUL; ;(212) 6322323;www.zilanltd.com;zilanltd.com;İİB-FINDIK
KARKAR GIDA SAN.İÇ VE DIŞ TİC.LTD.ŞTİ.;TOPÇULAR MAH.RAMİ KIŞLA CAD.TOPÇULAR İŞ MERKEZİ NUMARA:70/69;İSTANBUL;EYÜP;(212) 5325795;;;İİB-FINDIK
İSTANBUL GIDA DIŞ TİC. AŞ;KISIKLI MAH.FERAH CAD.NO:1;İSTANBUL;ÜSKÜDAR;(216) 5242789;www.ulker.com.tr;ulker.com.tr;İİB-FINDIK
AYCAN ENTEGRE GIDA A.Ş;TOPÇULAR MH 622 SK İDARİ BİNA A BLOK NO 7;DÜZCE;ÇİLİMLİ;(380) 5581111;;;İİB-FINDIK
URGANCI GIDA TURİZM İNŞAAT SAN. VE DIŞ TİC. LTD. ŞTİ.;BAŞAKŞEHİR İKİTELLİ OSB MAH.ÇORAPÇILAR C BLOK  SOK: 17-18 ;İSTANBUL;BAŞAKŞEHİR;(212) 4858090;www.urganci.com.tr;urganci.com.tr;İİB-FINDIK
ZEYNEP INŞ.GID.DAY.TÜK.MAL.KIM MA.TEK.IT.IH.SAN.VE DIŞ TI.L.Ş;SEMSIPASA MAH.CENGIZ TOPEL CAD11.SOK.NO.1;İSTANBUL;GAZİOSMANPAŞA;02124189746;;;İİB-FINDIK
KIRLIOĞLU TARIMSAL ÜRÜNLER GIDA İNŞAAT SANAYİ TİCARET ANONİM ŞİRKETİ;ORGANIZE SANAYI BOLGESI MAH. 3. CAD. NO:6   ;AYDIN;NAZİLLİ;(256) 3126819;www.kirlioglu.com;kirlioglu.com;İİB-FINDIK
KOR-METAL DIŞ TİCARET LTD. ŞTİ.;Unıversıte Mah.Baglarıcı Cad. No:18;İSTANBUL;AVCILAR;(212) 6946000;;;İİB-FINDIK
AN GIDA ÜRÜNLERİ ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ;BARBAROS HAYRETTIN PASA MAH.1058 SOK NO 38;İSTANBUL; ;6187080/5HAT;;;İİB-FINDIK
DURAK FINDIK SANAYİ VE TİCARET A.Ş.;LEVENT CAD.KRİZANTEM SOK.NO:6;İSTANBUL; ;(212) 2828230;www.durakfindik.com.tr;durakfindik.com.tr;İİB-FINDIK
FERRERO TÜRKİYE ÇİKOLATA VE TARIM ÜRÜNLERİ SAN. VE DIŞ TİC. A.Ş.;ORG.SAN.BÖL.V KISIM FERRERO CAD.NO:3;MANISA;YUNUS EMRE;(236) 2266200;www.ferrero.com.tr;ferrero.com.tr;İİB-FINDIK
KARADERE TARIM ÜRÜNLERİ GIDA SAN.VE TİC.LTD.ŞTİ.;ÇAM MAHALLESİ BONCUKÇU MEVKİİ;GIRESUN;ESPİYE;(454) 6115720;www.karadere.com.tr;karadere.com.tr;İİB-FINDIK
SAGRA GRUP GIDA ÜRETİM VE TİC AŞ;İÇERENKÖY MH ERTAÇ SK NO 2/7;İSTANBUL;ATAŞEHİR;(216) 0000000;;;İİB-FINDIK
VOLGA DIŞ TİC. VE DANIŞMANLIK A.Ş.; REFİK BELENDİR SOK. NO:110;ANKARA;ÇANKAYA;(312) 4413141;;;İİB-FINDIK
YILMAZ KARDEŞLER GIDA SANAYI VE TIC. LTD. ŞTI;TOKAT CAD.NO:196;TOKAT;NİKSAR;(356) 5271727;;;İİB-FINDIK
BALSU GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;PAŞABAHÇE MAH. CEMAL BEY SOK 11/1;İSTANBUL;BEYKOZ;(216) 4253200;www.balsugida.com;balsugida.com;İİB-FINDIK
FİSKOBİRLİK FINDIK TARIM SATIŞ KOOPERATİFLERİ BİRLİĞİ;HACMIMI MAH.KARABAŞDERE SOK.NO:34/36;İSTANBUL;BEYOĞLU;(212) 2499810;www.fiskobirlik.org.tr;fiskobirlik.org.tr;İİB-FINDIK
LOKMAS GIDA TİCARET LTD.ŞTİ;YEŞİLKÖY MAH. ATATÜRK CAD. EGS BLOKLARI SİTESİ B-2 APT-  APT 12/1 ;İSTANBUL;BAKIRKÖY;(212) 7097507;www.lokmas.com;lokmas.com;İİB-FINDIK
ORTAK DIŞ TIC.LTD.ŞTI.;Istoç 28.Ada No:8828.ADA NO:88;İSTANBUL;BAĞCILAR;(212) 6596449;;;İİB-FINDIK
ÜNİLEVER SAN.VE TİC.TÜRK A.Ş.;SARAY MAH. DR. ADNAN BÜYÜKDENİZ CAD. NO:13;İSTANBUL;ÜMRANİYE;(216) 6339000;www.unilever.com.tr;unilever.com.tr;İİB-FINDIK
EMEKÇİOĞLU GIDA TUZ KİM. PAZ. TAŞ. TİC. VE SAN. AŞ;MAHMUTBEY MAH. 8.SOKAK NO:25/A;İSTANBUL;BAĞCILAR;(212) 4453324;www.papagan.com.tr;papagan.com.tr;İİB-FINDIK
ENKA PAZ.İHR.İTH.A.Ş.;İSTASYON MH.ARAPLAR CD.NO.6;İSTANBUL;TUZLA;02163951777;;;İİB-FINDIK
YAŞAR DIŞ TİC.A.Ş;GAZIOSMANPASA BULV.BATI ISH.10/1KAT3-4-5;İZMİR;KONAK;02324890121;www.yasardis.com.tr;yasardis.com.tr;İİB-FINDIK
ALTINİŞ ÇELİK EŞYA SAN. VE TİC. LTD.ŞTİ.;COBANÇEŞME MAH.GÜNEŞLI SK.NO 5;İSTANBUL; ;02125511839;www.altinis.com;altinis.com;İİB-FINDIK
TML İNŞAAT ANONİM ŞİRKETİ;ÇAVUŞBAŞI CAD. NO:33;İSTANBUL;BEYKOZ;216-4133339;;;İİB-FINDIK
SEP GIDA PAZARLAMA IC VE DIS TICARET ANONIM SIRKETI;ÇENGELKÖY MAHALLESİ KALDIRIM CAD. NO:34/A-1;İSTANBUL;ÜSKÜDAR;(212) 4158545;;;İİB-FINDIK
MİLHANS GIDA VE TARIM ÜRÜNLERİ SAN VE TİC.A.Ş;BALÇIKKÖYÜ HAMİDİYE SOK. NO:14  ;KOCAELI;GEBZE;(262) 7515172;www.milhans.com.tr;milhans.com.tr;İİB-FINDIK
KAHVECİOĞLU GIDA TEK. ZÜC. TEMZ. ÜRN. PAZ. SAN. VE DIŞ TİC. LTD. ŞTİ. ;MEGACENTRE KOCATEPE MAH.12.SKC 49 BLOK NO:465;İSTANBUL;BAYRAMPAŞA;(212) 6404571;www.kahvecioglugida.com;kahvecioglugida.com;İİB-FINDIK
VENTUS  GIDA  VE   DIŞ  TİC.LTD.ŞTİ;FENER KALAMIŞ CD.EGEMEN SK.MERCAN APT.NO:1D:16;İSTANBUL;KADIKÖY;(216) 4182628;;;İİB-FINDIK
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-FINDIK
