firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
RAM DIŞ TİCARET A.Ş.;RÜZGARLIBAHÇE KAVACIK KAVŞAĞI ENERGY PLAZA K:2;İSTANBUL;BEYKOZ;(216) 5381100;www.ram.com.tr;ram.com.tr;İİB-FINDIK
TAMEK SAGRA GRUP GIDA ÜRETİM A.Ş.;CEVİZLİ MAH. TUGAY YOLU CAD. OYAK DRAGOS SİTESİ C BLOK NO: 10C İÇ KAPI NO: 72;İSTANBUL;MALTEPE;(216) 2551535;http://www.tamek.com.tr;tamek.com.tr;İİB-FINDIK
ÇELENLİ GIDA VE İTH.MADD.İTH.İHR.SAN.VE TİC.LTD.ŞTİ;HARMANTEPE MAH.ÜLKÜ SK.NO : 2/A ;İSTANBUL;KAĞITHANE;(212) 2705544;www.incibeyaz.com.tr;incibeyaz.com.tr;İİB-FINDIK
İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;29 EKIM CAD. NO:23;İSTANBUL; ;(212) 6372912;www.ihlasevaletleri.com.tr;ihlasevaletleri.com.tr;İİB-FINDIK
AYDIN KURUYEMIŞ SANAYI VE TIC. AŞ.;CEBECİ MAH.ATATÜRK BULVARI2488 SOKAK NO:36;İSTANBUL;SULTANGAZİ;(212) 5940078;www.aydinkuruyemis.com.tr;aydinkuruyemis.com.tr;İİB-FINDIK
MESA İÇ VE DIŞ TİC.LTD.ŞTİ;YEŞİLBAYIR MAHALLESİ 29 MAYIS CAD. NO: 19 A/1;İSTANBUL;ARNAVUTKÖY;(212) 8861508;www.mesagida.com;mesagida.com;İİB-FINDIK
ÜSTÜN PLASTİK AMBALAJ SAN.VE TİC.A.Ş.;ORG.SAN.BÖL.KAĞITHANE SAN.SİT.17.CD. NO:7;İSTANBUL;BAŞAKŞEHİR;(212) 4857676;www.ustunplastik.com;ustunplastik.com;İİB-FINDIK
SAĞLIKLI GIDA ÜRÜNL.SAN.VE TIC A.Ş.;CELALİYE MAH.BAĞLARBAŞI CAD.NO:55A;İSTANBUL;BÜYÜKÇEKMECE;(212) 8851845;www.sgu.com.tr;sgu.com.tr;İİB-FINDIK
ANADOLU EFES BİRACILIK VE MALT SANAYİ ANONİM ŞİRKETİ;FATİH SULTAN MEHMET MAHALLESİ BALKAN CAD. BU KAYA E BLOK NO:58/23                    ;İSTANBUL;ÜMRANİYE;(212) 4493600;www.anadoluefes.com;anadoluefes.com;İİB-FINDIK
ZİLAN DIŞ TİC.LTD.ŞTİ.;YENIKAPIKATIPKASIM SOK.NO:62;İSTANBUL; ;(212) 6322323;www.zilanltd.com;zilanltd.com;İİB-FINDIK
İSTANBUL GIDA DIŞ TİC. AŞ;KISIKLI MAH.FERAH CAD.NO:1;İSTANBUL;ÜSKÜDAR;(216) 5242789;www.ulker.com.tr;ulker.com.tr;İİB-FINDIK
URGANCI GIDA TURİZM İNŞAAT SAN. VE DIŞ TİC. LTD. ŞTİ.;BAŞAKŞEHİR İKİTELLİ OSB MAH.ÇORAPÇILAR C BLOK  SOK: 17-18 ;İSTANBUL;BAŞAKŞEHİR;(212) 4858090;www.urganci.com.tr;urganci.com.tr;İİB-FINDIK
