firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
ANADOLU MOTOR ÜRETİM VE PAZARLAMA A.Ş.;ŞEKERPINAR MAH. ALBAYRAK SOK. NO:4ÇAYIROVA - KOCAELİ;İSTANBUL;KARTAL;(262) 9992300;www.anadolumotor.com.tr;anadolumotor.com.tr;İİB-GEMİ
YAF DİZEL GEMİ YEDEKLERİ DIŞ TİCARET LİMİTED ŞİRKETİ;EVLİYA ÇELEBİ MAH. MEHMET AKİF SOK NO:1 ;İSTANBUL;TUZLA;(216) 4944902;;;İİB-GEMİ
BOĞAZIÇI DENIZCILIK SAN.VE TICARET A.S;RIHTIM CD.NEMLİZADE SK.N:1D:10-11;İSTANBUL;KADIKÖY;(216) 4143784;www.bogazicishipping.com;bogazicishipping.com;İİB-GEMİ
ESMARE DENİZCİLİK ANONİM ŞİRKETİ;YEDİ EYLÜL MAH. ÜMİT TUNÇAĞ CAD. İDARİ BİNA NO: 3;İZMİR;TORBALI;(232) 8537380;;;İİB-GEMİ
TRC MARİNE ELEKTRONİK SANAYİ TİCARET LİMİTED ŞİRKETİ;GÜZELYALI MAH. SAHİL BLV. NO:88 İÇ KAPI NO: 2;İSTANBUL;PENDİK;(212) 4410399;;;İİB-GEMİ
OZ-AY GRUP GEMI CELIK INSAAT SAN.VE TIC.LTD.STI.;SANAYI DIGER 32 SK.NO:1/9;YALOVA;MERKEZ;(224) 3424101;;;İİB-GEMİ
TM MARİNE DENİZCİLİK TİC.LTD.ŞTİ;AYDINTEPE MAH. GÜZİN SOK GEMDOK SANAYİ SİT NO:17/16 ;İSTANBUL;TUZLA;(216) 3075055;;;İİB-GEMİ
BERKE MARİN GEMİ YAPIM SANAYİ VE TİCARET ANONİM ŞİRKETİ;CADDEBOSTAN MAH. OPERATÖR CEMİL TOPUZLU CAD. BASARAN APT. B BLOK NO:121/16;İSTANBUL;KADIKÖY;(216) 0000000;;;İİB-GEMİ
TFT ENERJİ SAN.VE DIŞ TİC.A.Ş.;ARNAVUTKÖY MAH.ABDULHAK MOLLA SOKAK NUMARA:42;İSTANBUL;BEŞİKTAŞ;(212) 2651080;www.tftenerji.com;tftenerji.com;İİB-GEMİ
MARİNER GEMİ EKİPMANLARI ULUSL ARASI TİCARET LTD.ŞTİ.;AYDINTEPE MAH. YAKAMOZ SOK.NO:6;İSTANBUL;TUZLA;(216) 3929405;;;İİB-GEMİ
SETA MARINE SUPPLY DIŞ TİCARET LİMİTED ŞİRKETİ;YAYLA MAH.HATBOYU CAD.ERTUĞ A 3 BLOK NO:76  İÇ KAPI NO:2;İSTANBUL;TUZLA;(216) 0000000;;;İİB-GEMİ
ENKA FİLTRE YEDEK PARÇA SAN.TİC.LTD.ŞTİ.;EVLİYA ÇELEBİ MAH. MAVİ SOK  NO:19/A;İSTANBUL;TUZLA;(216) 0000000;;;İİB-GEMİ
YAS NAUTICAL AND ENGINEERING SOLUTIONS DENİZCİLİK SANAYİ TİCARET LİMİTED ŞİRKETİ;YENİŞEHİR MAH. OSMANLI BUL. ATLANTİS AVM NO: 8/3 İÇ KAPI NO: 19;İSTANBUL;PENDİK;(216) 0000000;http://www.yasnautical.com;yasnautical.com;İİB-GEMİ
KALYON TEKNİK SAN VE TİC LTD ŞTİ;AYDINTEPE MAH. TERSANELER CAD. ÖZER İŞ MERK.C.BLOK NO:6 ;İSTANBUL;TUZLA;(216) 3924102;www.kalyonteknik.com;kalyonteknik.com;İİB-GEMİ
MAVI DENIZ ÇEVRE HIZMETLERI AŞ;GÜZELYALI MH. BAĞDAT CD. ÇIÇEKSK.NO:12/5;İSTANBUL;PENDİK;(216) 3924143;www.mavideniz.com.tr;mavideniz.com.tr;İİB-GEMİ
UCS UMUT DENİZCİLİK GEMİ VE YAT MALZEMELERİ DIŞ TİC.LTD.ŞTİ.;KEMANKEŞ MAH.KILIÇALİPAŞA MESÇİT SOKAK NO:5 KAT:2;İSTANBUL;BEYOĞLU;(212) 2444262;www.umutdenizcilik.com;umutdenizcilik.com;İİB-GEMİ
ZG MARİNE GEMİ YAT VE ELEKTRİK SANAYİ TİCARET LİMİTED ŞİRKETİ;YAYLA MAH. AYIŞIĞI SK. NO: 5 B ;İSTANBUL;TUZLA;(212) 2129100;;;İİB-GEMİ
MARİNER GEMİ EKİPMANLARI SAN.VE TİC.A.Ş.;ICMELER TERSANELER CAD.G-50 SOK. NO.6;İSTANBUL;TUZLA;02163929405;;;İİB-GEMİ
LOYD TERSANECLİK VE DENIZCİLİK SAN.VE TIC.LTD.ŞTI.;ORG.DERISAN BÖLG.1.YOLX/4 PARSEL;İSTANBUL;TUZLA;(216) 3942600;;;İİB-GEMİ
GEMLİK DENİZ TAŞIMACILIK LİMİTED ŞİRKETİ;ATA SANAYİ NO:52;BURSA;GEMLİK;(224) 5188811;;;İİB-GEMİ
KOLLEKTİF GEMİ DONATIM VE DIŞ TİC.LTD.ŞTİ.;İSTASYON MAH. İSTASYON CAD. ADRESSTUZLA SİTESİ C BLOK NO:123 I;İSTANBUL;TUZLA;(216) 4465545; www.cssturkey.com ;cssturkey.com;İİB-GEMİ
MERCAN TEKNE DENIZ ARAÇLARI IML.TUR.IT.IH.SAN.VE TIC.LTD.Ş;43 SOK.NO:15;İZMİR;ÇİĞLİ;(232) 3273652;;;İİB-GEMİ
NEMOMARİN TİCARET MÜHENDİSLİK DENİZCİLİK A.Ş.;AYDINTEPE MAH.SAHİLYOLU BULVARI ALİZE İŞ MERKEZİNO:191-56;İSTANBUL;TUZLA;(216) 3929202;;;İİB-GEMİ
ARENA DENİZCİLİK A.Ş;AYDINTEPE MAH SAHİL BULV.DEİZCİLER TİC.MERK. NO:126/56;İSTANBUL;TUZLA;(216) 4937044;www.arenaturkey.com;arenaturkey.com;İİB-GEMİ
OCEAN LİFE GEMİ TEDARİK SANAYİ TİCARET LİMİTED ŞİRKETİ;AYDINLI MAH. AKKAYA CAD. NO:1 İÇ KAPI NO:90;İSTANBUL;TUZLA;(850) 2411512;;;İİB-GEMİ
ACU MARİNE SERVİCE İNŞAAT ELEKTRİK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KADIKÖY MAH. 1803 SK. ULUGAZI TOPLU KONUTLARI C2 5NO:54;SAMSUN;İLKADIM;(216) 5771301;;;İİB-GEMİ
BERTH MARİNE DENİZ HİZMETLERİ VE GEMİ BAKIM ONARIM SAN.TİC.LTD.ŞTİ.;EVLİYA ÇELEBİ MH KOŞAR SK A BLK NO:2;İSTANBUL;TUZLA;(216) 3647533;;;İİB-GEMİ
BK TERSANECİLİK DENİZCİLİK SAN.VE TİC.A.Ş;AYDINTEPE MAH. HUDUT SK. NO: 1 İÇ KAPI NO: 1;İSTANBUL;TUZLA;(216) 0000000;;;İİB-GEMİ
