firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
ANADOLU MOTOR ÜRETİM VE PAZARLAMA A.Ş.;ŞEKERPINAR MAH. ALBAYRAK SOK. NO:4ÇAYIROVA - KOCAELİ;İSTANBUL;KARTAL;(262) 9992300;www.anadolumotor.com.tr;anadolumotor.com.tr;İİB-GEMİ
BOĞAZIÇI DENIZCILIK SAN.VE TICARET A.S;RIHTIM CD.NEMLİZADE SK.N:1D:10-11;İSTANBUL;KADIKÖY;(216) 4143784;www.bogazicishipping.com;bogazicishipping.com;İİB-GEMİ
TFT ENERJİ SAN.VE DIŞ TİC.A.Ş.;ARNAVUTKÖY MAH.ABDULHAK MOLLA SOKAK NUMARA:42;İSTANBUL;BEŞİKTAŞ;(212) 2651080;www.tftenerji.com;tftenerji.com;İİB-GEMİ
YAS NAUTICAL AND ENGINEERING SOLUTIONS DENİZCİLİK SANAYİ TİCARET LİMİTED ŞİRKETİ;YENİŞEHİR MAH. OSMANLI BUL. ATLANTİS AVM NO: 8/3 İÇ KAPI NO: 19;İSTANBUL;PENDİK;(216) 0000000;http://www.yasnautical.com;yasnautical.com;İİB-GEMİ
KALYON TEKNİK SAN VE TİC LTD ŞTİ;AYDINTEPE MAH. TERSANELER CAD. ÖZER İŞ MERK.C.BLOK NO:6 ;İSTANBUL;TUZLA;(216) 3924102;www.kalyonteknik.com;kalyonteknik.com;İİB-GEMİ
MAVI DENIZ ÇEVRE HIZMETLERI AŞ;GÜZELYALI MH. BAĞDAT CD. ÇIÇEKSK.NO:12/5;İSTANBUL;PENDİK;(216) 3924143;www.mavideniz.com.tr;mavideniz.com.tr;İİB-GEMİ
UCS UMUT DENİZCİLİK GEMİ VE YAT MALZEMELERİ DIŞ TİC.LTD.ŞTİ.;KEMANKEŞ MAH.KILIÇALİPAŞA MESÇİT SOKAK NO:5 KAT:2;İSTANBUL;BEYOĞLU;(212) 2444262;www.umutdenizcilik.com;umutdenizcilik.com;İİB-GEMİ
KOLLEKTİF GEMİ DONATIM VE DIŞ TİC.LTD.ŞTİ.;İSTASYON MAH. İSTASYON CAD. ADRESSTUZLA SİTESİ C BLOK NO:123 I;İSTANBUL;TUZLA;(216) 4465545; www.cssturkey.com ;cssturkey.com;İİB-GEMİ
ARENA DENİZCİLİK A.Ş;AYDINTEPE MAH SAHİL BULV.DEİZCİLER TİC.MERK. NO:126/56;İSTANBUL;TUZLA;(216) 4937044;www.arenaturkey.com;arenaturkey.com;İİB-GEMİ
SİLSAN SİLİNDİR  MOTOR ELEMANLARI SAN. VE TİC. A.Ş.;MERSIN YOLU UZERI10 KM.P.K-127ŞEHİTLİK TRAFO YANI;ADANA;SEYHAN;(322) 4410311;www.silsan.com;silsan.com;İİB-GEMİ
HÜROĞLU OTOMOTİV SANAYİ İTH.-İHR. VE TİC.A.Ş.;YENI YALOVA YOLU 12.KM;BURSA;OSMANGAZİ;(224) 2671112;www.huroglu.com;huroglu.com;İİB-GEMİ
NORSE ÇELİK İNŞAAT MÜHENDİSLİK DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İTOB O.S.B. E.DEMİRTAŞ CAD. NO:50 MENDERESİZMİR;KOCAELI;GEBZE;(232) 7990153;www.norcelik.com;norcelik.com;İİB-GEMİ
