firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
JOKLAR DIŞ TİCARET  LTD ŞTİ;YENİBOSNA MERKEZ MAH. 29 EKİM CAD.A1 APT. NO:9/502;İSTANBUL;BAHÇELİEVLER;(212) 5127830; www.joklar.com.tr ;joklar.com.tr;İİB-HUBUBAT
DİLER DIŞ TİCARET ANONİM ŞİRKETİ;"MASLAK MAHALLESİ, ESKİ BÜYÜKDERE CADDESİ KOÇKAYA AS PLAZA MASLAK NO:1 34485 ";İSTANBUL;SARIYER;(212) 2536630;www.dilerhld.com;dilerhld.com;İİB-HUBUBAT
ÜÇGE DIŞ TİCARET VE PAZARLAMA A.Ş.;A.V.P. MH.BOSNA CD.NO:7;BURSA;NİLÜFER;(224) 3318811;www.ucge.com.tr;ucge.com.tr;İİB-HUBUBAT
ORGANİK KİMYA SAN. VE TİC. AŞ;CENDERE YOLU NO:146 MİMAR SİNAN MAH;İSTANBUL;EYÜP;(212) 3310000;www.organik.com.tr;organik.com.tr;İİB-HUBUBAT
PAS 99 GIDA ELEKTRIK ELEKTRONIK NAKLIYE ITHALAT IHRACAT DIS TICARET LIMITED SIRKETI;YESILTEPE MAH. 52. SK. ÜNVER ISHANI NO: 1 IÇ KAPI NO: 10;İSTANBUL;ZEYTİNBURNU;(212) 0000000;;;İİB-HUBUBAT
YUNUS ÇEÇEN;FERHATPAŞA MAH. VEZİR FERHATPAŞA CAD. ERÇEN İNŞ. A BLOK NO:60/1;İSTANBUL;ÇATALCA;;;;İİB-HUBUBAT
MİLDO GIDA SAN. VE DIŞ TİC. A.Ş;BATTALGAZİ MAH. ŞARK CAD. AYTOP GIDA SIT. E BLOK NO:15;İSTANBUL;SULTANBEYLİ;(216) 3488002;http://www.mildofood.com;mildofood.com;İİB-HUBUBAT
KATSAN GIDA SAN.VE TIC.LTD.ŞTI;KAVAKLI YOLU KAVAKLI SINIRINO.118;İSTANBUL;BEYLİKDÜZÜ;02128761610;www.katsan.com;katsan.com;İİB-HUBUBAT
TARA TEKS. SAN. VE DIŞ TİC. LTD. ŞTİ. ;HACIMANSUR SOK.NO:65 KAT:4/6;İSTANBUL;ŞİŞLİ;2601043;;;İİB-HUBUBAT
POLS GIDA DIŞ TİCARET A.Ş.;KAVAKLIDERE MAH. HAVUZLU SK. NO:4/2 ÇANKAYA ANKARA;ANKARA;ÇANKAYA;(312) 4170324;;;İİB-HUBUBAT
MASTER CHOCO GIDA AMB.LOJİSTİK SAN VE TİC.LTD.ŞTİ;VEYSEL KARANİ MAH. ESKİ GEMLİK YOLU CAD. NO:208/2;BURSA;OSMANGAZİ;;;;İİB-HUBUBAT
ÇELENLİ GIDA VE İTH.MADD.İTH.İHR.SAN.VE TİC.LTD.ŞTİ;HARMANTEPE MAH.ÜLKÜ SK.NO : 2/A ;İSTANBUL;KAĞITHANE;(212) 2705544;www.incibeyaz.com.tr;incibeyaz.com.tr;İİB-HUBUBAT
PAK İHRACAT ANONİM ŞİRKETİ;PAK IS MERKEZI PROF.DR.BULENTTARCAN SK. NO.5;İSTANBUL;ŞİŞLİ;02122740755;www.pakmaya.com.tr;pakmaya.com.tr;İİB-HUBUBAT
EVVAHE DOĞAL KOZMETİK GIDA TEKSTİL İMALAT İTHALAT VE İHRACAT SANAYİ TİCARET LİMİTED ŞİRKETİ;YEŞİLPINAR MAH. SUNGUR SK. CİVELEK APT. NO:8/A;İSTANBUL;EYÜP;(212) 0000000;;;İİB-HUBUBAT
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-HUBUBAT
ATILIM AYAKKABI TİC. LTD. ŞTİ. ;İKİTELLİ OSB MAH AYMAKOOP SOSYAL TESİSLERİ SK NO 1 K 2 D 57;İSTANBUL;BAŞAKŞEHİR;(212) 6711851;www.atilimshoes.com;atilimshoes.com;İİB-HUBUBAT
ANADOLU EFES BİRACILIK VE MALT SANAYİ ANONİM ŞİRKETİ;FATİH SULTAN MEHMET MAHALLESİ BALKAN CAD. BU KAYA E BLOK NO:58/23                    ;İSTANBUL;ÜMRANİYE;(212) 4493600;www.anadoluefes.com;anadoluefes.com;İİB-HUBUBAT
