firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
JOKLAR DIŞ TİCARET  LTD ŞTİ;YENİBOSNA MERKEZ MAH. 29 EKİM CAD.A1 APT. NO:9/502;İSTANBUL;BAHÇELİEVLER;(212) 5127830; www.joklar.com.tr ;joklar.com.tr;İİB-HUBUBAT
DİLER DIŞ TİCARET ANONİM ŞİRKETİ;"MASLAK MAHALLESİ, ESKİ BÜYÜKDERE CADDESİ KOÇKAYA AS PLAZA MASLAK NO:1 34485 ";İSTANBUL;SARIYER;(212) 2536630;www.dilerhld.com;dilerhld.com;İİB-HUBUBAT
ÜÇGE DIŞ TİCARET VE PAZARLAMA A.Ş.;A.V.P. MH.BOSNA CD.NO:7;BURSA;NİLÜFER;(224) 3318811;www.ucge.com.tr;ucge.com.tr;İİB-HUBUBAT
ORGANİK KİMYA SAN. VE TİC. AŞ;CENDERE YOLU NO:146 MİMAR SİNAN MAH;İSTANBUL;EYÜP;(212) 3310000;www.organik.com.tr;organik.com.tr;İİB-HUBUBAT
MİLDO GIDA SAN. VE DIŞ TİC. A.Ş;BATTALGAZİ MAH. ŞARK CAD. AYTOP GIDA SIT. E BLOK NO:15;İSTANBUL;SULTANBEYLİ;(216) 3488002;http://www.mildofood.com;mildofood.com;İİB-HUBUBAT
KATSAN GIDA SAN.VE TIC.LTD.ŞTI;KAVAKLI YOLU KAVAKLI SINIRINO.118;İSTANBUL;BEYLİKDÜZÜ;02128761610;www.katsan.com;katsan.com;İİB-HUBUBAT
ÇELENLİ GIDA VE İTH.MADD.İTH.İHR.SAN.VE TİC.LTD.ŞTİ;HARMANTEPE MAH.ÜLKÜ SK.NO : 2/A ;İSTANBUL;KAĞITHANE;(212) 2705544;www.incibeyaz.com.tr;incibeyaz.com.tr;İİB-HUBUBAT
PAK İHRACAT ANONİM ŞİRKETİ;PAK IS MERKEZI PROF.DR.BULENTTARCAN SK. NO.5;İSTANBUL;ŞİŞLİ;02122740755;www.pakmaya.com.tr;pakmaya.com.tr;İİB-HUBUBAT
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-HUBUBAT
ATILIM AYAKKABI TİC. LTD. ŞTİ. ;İKİTELLİ OSB MAH AYMAKOOP SOSYAL TESİSLERİ SK NO 1 K 2 D 57;İSTANBUL;BAŞAKŞEHİR;(212) 6711851;www.atilimshoes.com;atilimshoes.com;İİB-HUBUBAT
ANADOLU EFES BİRACILIK VE MALT SANAYİ ANONİM ŞİRKETİ;FATİH SULTAN MEHMET MAHALLESİ BALKAN CAD. BU KAYA E BLOK NO:58/23                    ;İSTANBUL;ÜMRANİYE;(212) 4493600;www.anadoluefes.com;anadoluefes.com;İİB-HUBUBAT
ERGÜL ŞEKERLEME SAN.TİC.LTD. ŞTİ;ÇALI MAH. 20SOK NO:6 ;BURSA;NİLÜFER;(224) 2156512;www.ergulsekerleme.com.tr;ergulsekerleme.com.tr;İİB-HUBUBAT
MİNCEY İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ;KEMALPAŞA MAHALLESİ AHMET SELAHATTİN SOKAK NO:4 / A;İSTANBUL;FATİH;(212) 0000000;http://www.mincey.com.tr;mincey.com.tr;İİB-HUBUBAT
DÖHLER GIDA SANAYİ ANONİM ŞİRKETİ;CEVİZLİ MH ZUHAL CD A/3 BLOK NO:46/182;İSTANBUL;MALTEPE;(216) 5456868;www.dohler.com.tr;dohler.com.tr;İİB-HUBUBAT
İSTANBUL GIDA DIŞ TİC. AŞ;KISIKLI MAH.FERAH CAD.NO:1;İSTANBUL;ÜSKÜDAR;(216) 5242789;www.ulker.com.tr;ulker.com.tr;İİB-HUBUBAT
PELIT PASTACILIK VE GIDA SAN. A.Ş.;KOZA MAH. 1678 SOK NO:19;İSTANBUL;ESENYURT;(212) 4111300;www.pelit.com.tr;pelit.com.tr;İİB-HUBUBAT
ENZEL GIDA İTH.İHR.TİC.LTD.ŞTİ;KOCATEPE MAH.GÜMRÜK İSKELE CAD. NO:89/1;İSTANBUL;BAYRAMPAŞA;(212) 6400919;www.enzelgida.com;enzelgida.com;İİB-HUBUBAT
