firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
DANIŞ GİYİM DIŞ TİC. VE SAN. LTD. ŞTİ. ;KEMALPAŞA MAH. FETHİ BEY CAD. NO:39 LALELİ İSTANBUL;İSTANBUL;FATİH;(212) 5185499;www.danisgroup.com;danisgroup.com;İİB-KURU MEYVE
KAHVECİOĞLU GIDA TEK. ZÜC. TEMZ. ÜRN. PAZ. SAN. VE DIŞ TİC. LTD. ŞTİ. ;MEGACENTRE KOCATEPE MAH.12.SKC 49 BLOK NO:465;İSTANBUL;BAYRAMPAŞA;(212) 6404571;www.kahvecioglugida.com;kahvecioglugida.com;İİB-KURU MEYVE
ALANLAR GROUP GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ; KOCATEPE MAH.YAĞ İSKELESİ CAD. NO:21B;İSTANBUL;BAYRAMPAŞA;(212) 9162919;http://www.lavinya.com.tr;lavinya.com.tr;İİB-KURU MEYVE
TAMEK SAGRA GRUP GIDA ÜRETİM A.Ş.;CEVİZLİ MAH. TUGAY YOLU CAD. OYAK DRAGOS SİTESİ C BLOK NO: 10C İÇ KAPI NO: 72;İSTANBUL;MALTEPE;(216) 2551535;http://www.tamek.com.tr;tamek.com.tr;İİB-KURU MEYVE
FİLE GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;MEHMET AKİF MAH. REFAH SOK NO:29/4;İSTANBUL;ÇEKMEKÖY;(216) 3782053;www.filegida.com;filegida.com;İİB-KURU MEYVE
UCUZCULAR GIDA MADDELERI SAN. VE TIC.A.Ş.;MISIR ÇARŞISI IÇI   NO:51;İSTANBUL;FATİH;(212) 5206492;www.ucuzcular.com.tr;ucuzcular.com.tr;İİB-KURU MEYVE
TÜMA GIDA SAN.VE TİC.LTD.ŞTİ;VELİKÖY OSB MAH. 9. CAD. NO: 2 / 1;TEKIRDAĞ;ÇERKEZKÖY;(282) 5029670;www.tumagida.com;tumagida.com;İİB-KURU MEYVE
FERRERO TÜRKİYE ÇİKOLATA VE TARIM ÜRÜNLERİ SAN. VE DIŞ TİC. A.Ş.;ORG.SAN.BÖL.V KISIM FERRERO CAD.NO:3;MANISA;YUNUS EMRE;(236) 2266200;www.ferrero.com.tr;ferrero.com.tr;İİB-KURU MEYVE
FRUİTUS KURUTULMUŞ MEYVE GIDA VE TARIM ÜRÜNLERİ DIŞ TİCARET ANONİM ŞİRKETİ;DEMİRCİ MH. DEMİRCİ YOLU CD. NO:8 İÇ KAPI NO:1;BURSA;NİLÜFER;(224) 4941781;http://www.fruitus.com.tr;fruitus.com.tr;İİB-KURU MEYVE
POMONA GIDA SAN VE TİC AŞ;ŞEKERPINAR CD TUZLA PLUS NO NO 18/49;KOCAELI;ÇAYIROVA;(216) 7714384;www.pomona.com.tr;pomona.com.tr;İİB-KURU MEYVE
