firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
KAMA PRES SANAYİ VE TİCARET A.Ş.;EVREN MAH. GÜLBAHAR CAD. NO:126;İSTANBUL;BAĞCILAR;02125505090;www.kama.com.tr;kama.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
METALİKS MOBİLYA DEKORASYON SAN VE TİC. LTD.ŞTİ;ESENŞEHİR MAH. MURADİYE SOK NO:38-1;İSTANBUL;ÜMRANİYE;(216) 6411606;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
S 2000 SOĞUTMA SAN.TİC.LTD.ŞTİ;GÜRSEL MAH.ŞEVKETPAŞA CAD.NO.20/2;İSTANBUL; ;(212) 2212620;www.s2000.com.tr;s2000.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
BEKİR BULUT;SÜLEYMANİYE MAH. ESKİŞEHİR BURSA KARAYOLU CADNO20 İÇ KAPI 1;BURSA;İNEGÖL;(224) 0000000;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SÜRTAŞ MADENİ VE PLASTİK EŞYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;YENİMAHALLE FEVZİ ÇAKMAK CD.BARIŞ MANÇO SK.;İSTANBUL;BÜYÜKÇEKMECE;02126891605;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
YILDIZHAN METAL SAN.VE DIS TIC LTD.STI.;VELİ EFENDİ MH.74.SK.NO:52;İSTANBUL;ZEYTİNBURNU;(212) 5580009;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
AL FAKHER PLASTİK VE AMBALAJ SANAYİ VE TİCARET LTD ŞTİ;MEHMET AKİF ERSOY MAH.1833.SK NO.45/1;İSTANBUL;ESENYURT;(212) 6921909;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SML ETK. VE AKS. PAZ. SAN. VE TİC. LTD. ŞTİ. ;Y.BOSNA MAH. ÇINAR CD.MATBACILAR KAPI N:4 D:28;İSTANBUL;BAHÇELİEVLER;(212) 3223222;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
OZZO MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MAHMUDİYE MAH. 28.MOBİLYA SK. NO:3 ;BURSA;İNEGÖL;(224) 7185282;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
PERA AHŞAP SAN. VE TİC. LTD.ŞTİ.;KARAYOLLARI MAH.KADİR AKDOĞAN CAD. KULSAN BLOK NO:18/A;İSTANBUL;GAZİOSMANPAŞA;(212) 6666987;;;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
