firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
HELVACI GROUP GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;15 TEMMUZ MAH. BAHAR CAD. NO:6 / A BLOK POLATİŞ MRK. K:2 D:5 BAĞCILAR/İSTANBUL;İSTANBUL;BAĞCILAR;(212) 6905252;http://www.bursakebapevi.com;bursakebapevi.com;İİB-SU ÜRÜNLERİ
ALARKO CARRİER SANAYİ VE TİCARET A.Ş.;GEBZE ORGANİZE SAN.BÖL. ŞAHABETTİN BİLGİSU CAD.;İSTANBUL;ÜMRANİYE;(262) 6486000;;;İİB-SU ÜRÜNLERİ
MEHMET AZİMAT;YEŞİLTEPE MAHALLESİ 57.SOK NO:12/1;İSTANBUL;ZEYTİNBURNU;(212) 0000000;;;İİB-SU ÜRÜNLERİ
ALMANFOUSH SÜT ÜRÜNLERİ SAN TİC. LTD. ŞTİ;KARGALI HANBABA OSB. MH.ORGANİZE SAN. 12 SOK  NO:6;SAKARYA;HENDEK;(264) 5022412;;;İİB-SU ÜRÜNLERİ
TAT GIDA SAN. A.Ş.;TAŞDELEN ÇAMLIK MH.SIRRI ÇELİK BLV. NO:7;İSTANBUL;ÇEKMEKÖY;(216) 4300000;www.tat.com.tr;tat.com.tr;İİB-SU ÜRÜNLERİ
NAMLI GIDA HİZMETLERİ SAN.VE TİC.A.Ş.;KEMANKEŞ MAH.RIHTIM CAD.KATLI OTOPARK ALTI NO:1/1;İSTANBUL;BEYOĞLU;(212) 2936880;www.namligida.com.tr;namligida.com.tr;İİB-SU ÜRÜNLERİ
KİBAR DIŞ TİCARET ANONİM ŞİRKETİ;TERSANE CAD. IŞIK İŞ MRKZ. NO:92 K:2-3-4;İSTANBUL;BEYOĞLU;(212) 2564970;www.kibarholding.com;kibarholding.com;İİB-SU ÜRÜNLERİ
BLACK SEA AGRO GIDA İTH VE İHR LTD ŞTİ;HUZUR MAH. AZERBAYCAN CAD. NO: 4 B İÇ KAPI NO: 461;İSTANBUL;SARIYER;(212) 8770738;;;İİB-SU ÜRÜNLERİ
MALKARA BIRLIK SÜT VE SÜT.MAM. A.Ş.;KOCATEPE MAH.MEGA CENTER C BL.NO:334;İSTANBUL;BAYRAMPAŞA;(212) 6409840;;;İİB-SU ÜRÜNLERİ
BAHÇIVAN GIDA SAN.VE TİC.A.Ş;MIMAR KEMALETTIN CAD.NO.41;İSTANBUL; ;02125133558;;;İİB-SU ÜRÜNLERİ
BHS GIDA SAN VE TİC LTD ŞTİ;ADNAN KAHVECİ MH YAVUZ SULTAN SELİM BLV PARLAVİSTA RESİDANCE 1B BLOK K 6 D 48;İSTANBUL;BEYLİKDÜZÜ;(212) 8720225;www.bhsticaret.com;bhsticaret.com;İİB-SU ÜRÜNLERİ
KEBAN ENTEGRE ET GIDA SANAYİ VE TİC .LTD. ŞTİ.;YENİBOSNA MERKEZ MAH.KAVAK SK. ÜNSAL IŞ MERKEZI BLOK NO:6/1;İSTANBUL;BAHÇELİEVLER;(212) 4515451;http://www.kebanet.com;kebanet.com;İİB-SU ÜRÜNLERİ
AK GIDA SAN.VE TIC.A.Ş.;ORGANİZE SANAYİ BÖLGESİ 5.CADDE;KARAMAN;MERKEZ;(338) 2241600;;;İİB-SU ÜRÜNLERİ
GÖKSİL DIŞ TİCARET END.LTD.ŞTİ;ISTOÇ 28 ADA  N:88;İSTANBUL;BAĞCILAR;02126595460;;;İİB-SU ÜRÜNLERİ
EMİR-PA PAZARLAMA VE GIDA SANAYİ LİMİTED ŞİRKETİ;DELİORMAN CD.SEZEN SK.N/1;İSTANBUL;KÜÇÜKÇEKMECE;(212) 5989947;;;İİB-SU ÜRÜNLERİ
FMY KİMYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;MERKEZ-MAH  ÇAVUŞ BAŞI CAD. ATIŞ SOK NO:6/A-1;İSTANBUL;ÇEKMEKÖY;(216) 6413465;;;İİB-SU ÜRÜNLERİ
SÜTAŞ SÜT ÜRÜNLERI A.Ş.;ULUBAT KÖYÜ PK 349;BURSA;KARACABEY;(224) 6885101;www.sutas.com.tr;sutas.com.tr;İİB-SU ÜRÜNLERİ
ATLASPET PET ÜRÜNLERİ PAZ. VE TİC.A.Ş;GÖKTÜRK MERKEZ MAH. GÖKTÜRK MERKEZ CAD. NO:2 D:7;İSTANBUL;EYÜP;(212) 8070140;www.atlaspet.com.tr;atlaspet.com.tr;İİB-SU ÜRÜNLERİ
D.M.GIDA MADDELERİ PAZ.SAN.TİC LTD.ŞTİ.;MAHMUTBEY MAH. İSTOÇ TOPTANCILAR ÇARŞI 43 ADA NO.41 GÜNEŞLİ ;İSTANBUL;BAYRAMPAŞA;(212) 6593580;www.dmtrade.com.tr;dmtrade.com.tr;İİB-SU ÜRÜNLERİ
YAŞAR DIŞ TİC.A.Ş;GAZIOSMANPASA BULV.BATI ISH.10/1KAT3-4-5;İZMİR;KONAK;02324890121;www.yasardis.com.tr;yasardis.com.tr;İİB-SU ÜRÜNLERİ
İSTANBUL GIDA DIŞ TİC. AŞ;KISIKLI MAH.FERAH CAD.NO:1;İSTANBUL;ÜSKÜDAR;(216) 5242789;www.ulker.com.tr;ulker.com.tr;İİB-SU ÜRÜNLERİ
LİVARİ GIDA İTH İHR SAN VE TİC AŞ;HOSAB SAN CD NO 37;BURSA;NİLÜFER;(224) 4842100;;;İİB-SU ÜRÜNLERİ
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-SU ÜRÜNLERİ
UCUZCULAR GIDA MADDELERI SAN. VE TIC.A.Ş.;MISIR ÇARŞISI IÇI   NO:51;İSTANBUL;FATİH;(212) 5206492;www.ucuzcular.com.tr;ucuzcular.com.tr;İİB-SU ÜRÜNLERİ
PEYBA GIDA TARIM TUR. HAY. İNŞ. SAN. TİC. A.Ş;OSMAN YILMAZ MAH. 639 SOK NO:19 ;KOCAELI;GEBZE;(262) 6450875;www.peyba.com.tr;peyba.com.tr;İİB-SU ÜRÜNLERİ
KILIÇ DENİZ ÜRÜNLERİ ÜRETİMİ İHRACAT İTHALAT VE TİCARET ANONİM ŞİRKETİ;ÇARŞI MAH.ÇUKURBAHÇE SOK.NO:4/4;MUĞLA;BODRUM;(252) 5590283;www.kilicdeniz.com.tr;kilicdeniz.com.tr;İİB-SU ÜRÜNLERİ
BRITERRA GIDA İÇ VE DIŞ TİC. A.Ş;ATAKÖY 7-8-9-10. KISIM MAH. ÇOBANÇEŞME E5 YAN YOL CAD.1 BLOK NO:8/1 İÇ KAPI:74;İSTANBUL;BAKIRKÖY;(212) 4580209;www.briterrainc.com;briterrainc.com;İİB-SU ÜRÜNLERİ
PF GRUP GIDA TARIM  ÜRÜNLERİ VE MAK. HAYV. SAN VE TİC.A.Ş;İHSANİYE MAH.  ERKAL SOK NO.3/7;BURSA;NİLÜFER;(224) 0000000;;;İİB-SU ÜRÜNLERİ
ERT GRUP TAVUKCULUK İNŞ.TAAH.GAY.OTO SAN VE TİC.A.Ş.;ÇİFTLİK MAH.ÇEVRE YOLU BUL NO 21 / 5;ERZURUM;YAKUTİYE;(442) 2700007;;;İİB-SU ÜRÜNLERİ
KARTALLAR TARIM ÜRÜNLERİ VE TAVUKÇULUK TİCARET VE SANAYİ LİMİTED ŞİRKETİ;MUDANYA CAD. OKUL SOK. NO:5 SIRAMEŞELER;BURSA;MERKEZ;(224) 2353739;www.kartallartarim.com.tr;kartallartarim.com.tr;İİB-SU ÜRÜNLERİ
ŞAHLANLAR GIDA SAN VE TİC.LTD.ŞTİ.;ATATÜRK BULVARI ASKERI HASTANEKARŞISI;ISPARTA;ISPARTA;(246) 2241447;;;İİB-SU ÜRÜNLERİ
ASTOSAN SÜT VE GIDA MAM.SAN.TİC.A.Ş.;ORG.SAN.BÖL.GÖNEN SARIKÖY;BALIKESIR;GÖNEN;(266) 7742670;www.astosan.com.tr;astosan.com.tr;İİB-SU ÜRÜNLERİ
RAM DIŞ TİCARET A.Ş.;RÜZGARLIBAHÇE KAVACIK KAVŞAĞI ENERGY PLAZA K:2;İSTANBUL;BEYKOZ;(216) 5381100;www.ram.com.tr;ram.com.tr;İİB-SU ÜRÜNLERİ
REZ İÇ VE DIŞ TİCARET LTD.ŞTİ.;İSTANBUL FATİH MOLLA ŞEREF MH.HİKAYECİ SK.NO:8;İSTANBUL;FATİH;(212) 6353266;;;İİB-SU ÜRÜNLERİ
BIOBEST ANTALYA POLİNASYON SİSTEMLERİ VE BİYOLOJİK MÜCADELE SAN. TİC. A.Ş.;KONUKSEVER M KARACAOĞLAN GÜLERAPT NO51 07310;ANTALYA; ;(242) 4192846;;;İİB-SU ÜRÜNLERİ
NURA ULUSLARARASI  DIŞ TİCARET ANONİM ŞİRKETİ;ŞENLİKKÖY MAH.AVCILAR SOK.VİLLA ÇAMLI YAYLA  A BLOK NO:52 D:6 ;İSTANBUL;BAKIRKÖY;(212) 5997891;www.nurafoods.com;nurafoods.com;İİB-SU ÜRÜNLERİ
İNTERGURME GIDA ÜRÜNLERİ PAZARLAMA VE DIŞ TİC.A.Ş.;ŞEKERPINAR MAH.ANADOLU CAD.NO:18;KOCAELI;ÇAYIROVA;(262) 6588695;;;İİB-SU ÜRÜNLERİ
RIOMAR GIDA SANAYI VE DIS TICARET LIMITED SIRKETI;HAMIDIYE MAH. CENDERE CAD. NO: 103 /2 IÇ KAPI NO: 4;İSTANBUL;KAĞITHANE;(212) 0000000;;;İİB-SU ÜRÜNLERİ
