firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
HELVACI GROUP GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;15 TEMMUZ MAH. BAHAR CAD. NO:6 / A BLOK POLATİŞ MRK. K:2 D:5 BAĞCILAR/İSTANBUL;İSTANBUL;BAĞCILAR;(212) 6905252;http://www.bursakebapevi.com;bursakebapevi.com;İİB-SU ÜRÜNLERİ
TAT GIDA SAN. A.Ş.;TAŞDELEN ÇAMLIK MH.SIRRI ÇELİK BLV. NO:7;İSTANBUL;ÇEKMEKÖY;(216) 4300000;www.tat.com.tr;tat.com.tr;İİB-SU ÜRÜNLERİ
NAMLI GIDA HİZMETLERİ SAN.VE TİC.A.Ş.;KEMANKEŞ MAH.RIHTIM CAD.KATLI OTOPARK ALTI NO:1/1;İSTANBUL;BEYOĞLU;(212) 2936880;www.namligida.com.tr;namligida.com.tr;İİB-SU ÜRÜNLERİ
KİBAR DIŞ TİCARET ANONİM ŞİRKETİ;TERSANE CAD. IŞIK İŞ MRKZ. NO:92 K:2-3-4;İSTANBUL;BEYOĞLU;(212) 2564970;www.kibarholding.com;kibarholding.com;İİB-SU ÜRÜNLERİ
BHS GIDA SAN VE TİC LTD ŞTİ;ADNAN KAHVECİ MH YAVUZ SULTAN SELİM BLV PARLAVİSTA RESİDANCE 1B BLOK K 6 D 48;İSTANBUL;BEYLİKDÜZÜ;(212) 8720225;www.bhsticaret.com;bhsticaret.com;İİB-SU ÜRÜNLERİ
KEBAN ENTEGRE ET GIDA SANAYİ VE TİC .LTD. ŞTİ.;YENİBOSNA MERKEZ MAH.KAVAK SK. ÜNSAL IŞ MERKEZI BLOK NO:6/1;İSTANBUL;BAHÇELİEVLER;(212) 4515451;http://www.kebanet.com;kebanet.com;İİB-SU ÜRÜNLERİ
SÜTAŞ SÜT ÜRÜNLERI A.Ş.;ULUBAT KÖYÜ PK 349;BURSA;KARACABEY;(224) 6885101;www.sutas.com.tr;sutas.com.tr;İİB-SU ÜRÜNLERİ
ATLASPET PET ÜRÜNLERİ PAZ. VE TİC.A.Ş;GÖKTÜRK MERKEZ MAH. GÖKTÜRK MERKEZ CAD. NO:2 D:7;İSTANBUL;EYÜP;(212) 8070140;www.atlaspet.com.tr;atlaspet.com.tr;İİB-SU ÜRÜNLERİ
D.M.GIDA MADDELERİ PAZ.SAN.TİC LTD.ŞTİ.;MAHMUTBEY MAH. İSTOÇ TOPTANCILAR ÇARŞI 43 ADA NO.41 GÜNEŞLİ ;İSTANBUL;BAYRAMPAŞA;(212) 6593580;www.dmtrade.com.tr;dmtrade.com.tr;İİB-SU ÜRÜNLERİ
YAŞAR DIŞ TİC.A.Ş;GAZIOSMANPASA BULV.BATI ISH.10/1KAT3-4-5;İZMİR;KONAK;02324890121;www.yasardis.com.tr;yasardis.com.tr;İİB-SU ÜRÜNLERİ
İSTANBUL GIDA DIŞ TİC. AŞ;KISIKLI MAH.FERAH CAD.NO:1;İSTANBUL;ÜSKÜDAR;(216) 5242789;www.ulker.com.tr;ulker.com.tr;İİB-SU ÜRÜNLERİ
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-SU ÜRÜNLERİ
UCUZCULAR GIDA MADDELERI SAN. VE TIC.A.Ş.;MISIR ÇARŞISI IÇI   NO:51;İSTANBUL;FATİH;(212) 5206492;www.ucuzcular.com.tr;ucuzcular.com.tr;İİB-SU ÜRÜNLERİ
PEYBA GIDA TARIM TUR. HAY. İNŞ. SAN. TİC. A.Ş;OSMAN YILMAZ MAH. 639 SOK NO:19 ;KOCAELI;GEBZE;(262) 6450875;www.peyba.com.tr;peyba.com.tr;İİB-SU ÜRÜNLERİ
KILIÇ DENİZ ÜRÜNLERİ ÜRETİMİ İHRACAT İTHALAT VE TİCARET ANONİM ŞİRKETİ;ÇARŞI MAH.ÇUKURBAHÇE SOK.NO:4/4;MUĞLA;BODRUM;(252) 5590283;www.kilicdeniz.com.tr;kilicdeniz.com.tr;İİB-SU ÜRÜNLERİ
BRITERRA GIDA İÇ VE DIŞ TİC. A.Ş;ATAKÖY 7-8-9-10. KISIM MAH. ÇOBANÇEŞME E5 YAN YOL CAD.1 BLOK NO:8/1 İÇ KAPI:74;İSTANBUL;BAKIRKÖY;(212) 4580209;www.briterrainc.com;briterrainc.com;İİB-SU ÜRÜNLERİ
KARTALLAR TARIM ÜRÜNLERİ VE TAVUKÇULUK TİCARET VE SANAYİ LİMİTED ŞİRKETİ;MUDANYA CAD. OKUL SOK. NO:5 SIRAMEŞELER;BURSA;MERKEZ;(224) 2353739;www.kartallartarim.com.tr;kartallartarim.com.tr;İİB-SU ÜRÜNLERİ
ASTOSAN SÜT VE GIDA MAM.SAN.TİC.A.Ş.;ORG.SAN.BÖL.GÖNEN SARIKÖY;BALIKESIR;GÖNEN;(266) 7742670;www.astosan.com.tr;astosan.com.tr;İİB-SU ÜRÜNLERİ
RAM DIŞ TİCARET A.Ş.;RÜZGARLIBAHÇE KAVACIK KAVŞAĞI ENERGY PLAZA K:2;İSTANBUL;BEYKOZ;(216) 5381100;www.ram.com.tr;ram.com.tr;İİB-SU ÜRÜNLERİ
NURA ULUSLARARASI  DIŞ TİCARET ANONİM ŞİRKETİ;ŞENLİKKÖY MAH.AVCILAR SOK.VİLLA ÇAMLI YAYLA  A BLOK NO:52 D:6 ;İSTANBUL;BAKIRKÖY;(212) 5997891;www.nurafoods.com;nurafoods.com;İİB-SU ÜRÜNLERİ
AS OFİS DAMIZLIK YUMURTA YEM GIDA SAN. VE TİC. A. Ş.;ZÜBEYDE HANIM MH.TURGUT ÖZAL BULV.SARMA SK.NO:4/6;ANKARA;ALTINDAĞ;(312) 3424214;www.asofis.com.tr;asofis.com.tr;İİB-SU ÜRÜNLERİ
BESLER GIDA VE KİMYA SAN. VE TİC. A.Ş.;KISIKLI MAH. YENİŞEN SK. B BLOK NO: 8/1;İSTANBUL;ÜSKÜDAR;(212) 6951010;www.kerevitas.com.tr;kerevitas.com.tr;İİB-SU ÜRÜNLERİ
TAHSILDAROĞLU SÜT ÜR.SAN.VE TIC.AŞ.;TÜRKMENLI KÖYÜ;ÇANAKKALE;BAYRAMİÇ;(212) 6400367;www.tahsildaroglu.com.tr;tahsildaroglu.com.tr;İİB-SU ÜRÜNLERİ
YMA İTHALAT VE İHRACAT LTD. ŞTİ. ;TOZKOPARAN MAH. HALDUN TANER SOK. NO:27 ALPARSLAN İŞ MERK. B BLOK K:6 D:22;İSTANBUL;GÜNGÖREN;(212) 4826072;www.ymaturkey.com;ymaturkey.com;İİB-SU ÜRÜNLERİ
AKDU SÜT ÜRÜNLERİ SAN. VE TİC. A.Ş.;İZMİR-ÇANAKKALE YOLU CAD. KABAKUM MAH.NO:181/A ;İZMİR;DİKİLİ;(232) 6757007;www.akdusut.com;akdusut.com;İİB-SU ÜRÜNLERİ
EKER SÜT ÜRÜNLERI GIDA SAN.TIC A.Ş.;ODUNLUK MAH. ERDOĞANBİNYÜCEL CAD.NO:13/A NİLÜFER;BURSA;NİLÜFER;(224) 4512727;www.eker.com;eker.com;İİB-SU ÜRÜNLERİ
CARGILL TARIM SAN. VE TİC. AŞ;KISIKLI CAD.NO:4 A BLOKBÖLÜM 8-9-10-11;İSTANBUL;ÜSKÜDAR;(216) 5541800;www.cargill.com.tr;cargill.com.tr;İİB-SU ÜRÜNLERİ
KAANLAR GIDA SAN.VE TIC.A.Ş.;KOCATEPE MAH.MEGA CENTER İŞMERKEZİ C 12 BLOK  NO:99;İSTANBUL;BAYRAMPAŞA;(212) 4370090;www.kaanlar.com.tr;kaanlar.com.tr;İİB-SU ÜRÜNLERİ
DELİKIR ATLI SPOR KULÜBÜ ORG.TUR.ÖZ.EĞİ.KUR.TİC.LTD.ŞTİ;ALİBEY MAH. AYVALIK KIRI MEVKİİ ;İSTANBUL;SİLİVRİ;;www.silivriatlispor.com;silivriatlispor.com;İİB-SU ÜRÜNLERİ
ŞENPILIÇ GIDA SAN. A.Ş.;BARBAROS MAH. HALK CAD. KARDELEN SOK NO:2/68 YENİSAHRA 34746;İSTANBUL;ATAŞEHİR;(216) 9877700;www.senpilic.com.tr;senpilic.com.tr;İİB-SU ÜRÜNLERİ
ATAK EVCİL HAYVAN MAMALARI SAN VE TİC.A.Ş;İNÖNÜ MAH. GEBZE PLASTİKÇILER O.S.B.MAH. 3 CADDE NO:11;KOCAELI;GEBZE;(262) 4012990;www.atakpetfood.com;atakpetfood.com;İİB-SU ÜRÜNLERİ
