firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
ORTAK DIŞ TIC.LTD.ŞTI.;Istoç 28.Ada No:8828.ADA NO:88;İSTANBUL;BAĞCILAR;(212) 6596449;;;İİB-YAŞ MEYVE
4KA DIŞ TİCARET VE GLOBAL SANAYİ TİCARET LİMİTED ŞİRKETİ;KOCATEPE MAHALLESİ GÜMRÜK İSKELE A BLOK MEGA CENTER NO:89;İSTANBUL;BAYRAMPAŞA;(212) 0000000;;;İİB-YAŞ MEYVE
UNI VİZYON DIŞ TİC.LTD.ŞTİ;YEŞİLKÖY MAH. BOSTAN SOK  A NO.15 İÇ KAPI  6;İSTANBUL;BAKIRKÖY;(212) 6824585;;;İİB-YAŞ MEYVE
YONCA GIDA SANAYİ İŞLETMELERİ İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ;KOCATEPE MAH. YAĞ İSKELESİ CAD. MEGA CENTER SİTESİ C BLOKLAR C30  BLOK NO:21 İÇ KAPI NO:17;İSTANBUL;BAYRAMPAŞA;(236) 2332520;https://www.yonca.com.tr/;yonca.com.tr;İİB-YAŞ MEYVE
RAMMİ FOOD GIDA SERVİS HİZ.TİC.A.Ş.;ALEMDAĞ MAH.HAVACILAR CAD.NO:31/1;İSTANBUL;ÇEKMEKÖY;(216) 5920900;;;İİB-YAŞ MEYVE
SPECİAL GRUP GIDA TİC.LTD.ŞTİ;AKEVLER MAH. 1051 SOK FAMİLYA A BLOK NO:15/21B;İSTANBUL;ESENYURT;(212) 0000000;;;İİB-YAŞ MEYVE
KİBAR DIŞ TİCARET ANONİM ŞİRKETİ;TERSANE CAD. IŞIK İŞ MRKZ. NO:92 K:2-3-4;İSTANBUL;BEYOĞLU;(212) 2564970;www.kibarholding.com;kibarholding.com;İİB-YAŞ MEYVE
ENPA  İTH.İHR.VE GIDA AMBALAJ SAN. TİC. LTD. ŞTİ.;KARADENİZLİLER MAH. KULLAR CAD. NO:361;KOCAELI;BAŞİSKELE;(262) 3493230;www.enpagida.com;enpagida.com;İİB-YAŞ MEYVE
BAYRAKTAR GROUP DANIŞMANLIK GIDA KUYUMCULUK İTHALAT İHRACAT LTD ŞTİ;MOLLA FENERİ MAHALLESİ ŞEREFEFENDİ SOKAKŞEREFHAN NO 42 KAT 2 DÜKKAN NO 216;İSTANBUL;FATİH;(212) 0000000;;;İİB-YAŞ MEYVE
DANIŞ GİYİM DIŞ TİC. VE SAN. LTD. ŞTİ. ;KEMALPAŞA MAH. FETHİ BEY CAD. NO:39 LALELİ İSTANBUL;İSTANBUL;FATİH;(212) 5185499;www.danisgroup.com;danisgroup.com;İİB-YAŞ MEYVE
