firma_adi;adres;telefon;website;domain;birlik
HABAŞ SINAİ VE TIBBİ GAZLAR İSTİHSAL ENDÜSTRİSİ A.Ş.;FUATPASA SOK. NO.26 SOĞANLIK MAH. KARTAL İSTANBUL;(216) 4536400;www.habas.com.tr;habas.com.tr;ÇİB - Çelik İhracatçıları Birliği
DİLER DIŞ TİCARET ANONİM ŞİRKETİ;MASLAK MAHALLESİ, ESKİ BÜYÜKDERE CADDESİ KOÇKAYA AS PLAZA MASLAK NO:1 34485 SARIYER İSTANBUL;(212) 2552420;www.dilerhld.com;dilerhld.com;ÇİB - Çelik İhracatçıları Birliği
İÇDAŞ ÇELİK ENERJİ TERSANE VE ULASIM SANAYİ A.Ş.;İÇDAŞ PLAZA MAHMUTBEY MAH. DİLMENLER CAD. NO:20 MAHMUTBEY MAHMUTBEY BAĞCILAR İSTANBUL;(212) 6040404;www.icdas.com.tr;icdas.com.tr;ÇİB - Çelik İhracatçıları Birliği
ÇOLAKOĞLU METALURJİ A.Ş.;KÇAM PINARI SK. NO: 1 İÇ KAPI NO : 16 KAVACIK RÜZGARLIBAHÇE BEYKOZ BEYKOZ İSTANBUL;(216) 4442627;www.colakoglu.com.tr;colakoglu.com.tr;ÇİB - Çelik İhracatçıları Birliği
İSKENDERUN DEMİR VE ÇELİK A.Ş.;KARŞI MAH. ŞEHİT YÜZBAŞI ALİ OĞUZBULV. NO.1 PAYAS(YAKACIK) DÖRTYOL HATAY;(326) 7584040;www.isdemir.com.tr;isdemir.com.tr;ÇİB - Çelik İhracatçıları Birliği
TATMETAL ÇELİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;HAMZAFAKIHLI MAH. YAŞAR TETİKER BULVARI NO:1 ZIP: 67300 KDZ. EREĞLİ ZONGULDAK TEL: 03723343740PK:673 KARADENİZEREĞLİ ZONGULDAK;(372) 3343740;www.tatmetal.com.tr;tatmetal.com.tr;ÇİB - Çelik İhracatçıları Birliği
YÜCELBORU İHRACAT İTHALAT VE PAZARLAMA ANONİM ŞİRKETİ;BARIŞ MAH.KOŞYOLU CAD. 1801.SOK.NO.12 GEBZE KOCAELİ;(216) 4181000;;;ÇİB - Çelik İhracatçıları Birliği
YILDIZDEMİR ÇELİK SAN.A.Ş.;ALİKAHYA OSB MAH. 2.CAD. NO:2/1NO:2/1 ALİKAHYA OSB MAH 41310 İZMİT KOCAELİ;(262) 2807500;www.yildizdemircelik.com.tr;yildizdemircelik.com.tr;ÇİB - Çelik İhracatçıları Birliği
MESCİER DIŞ TİCARET ANONİM ŞİRKETİ;FATİH SULTAN MEHMET MAHALLESİ, POLİGON CADDESİ NO: 8C, BUYAKA 2 SİTESİ KULE:3 KAT:21, 34771, ÜMRANİYE İSTANBUL;(216) 3351111;www.mescier.com.tr;mescier.com.tr;ÇİB - Çelik İhracatçıları Birliği
BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET ANONİM ŞİRKETİ;İÇERENKÖY MAHALLESİ UMUT SOKAK QUICK TOWER SİTESİ NO:10-12 İÇ KAPI NO: 51 ATAŞEHİR İSTANBUL;(212) 3935713;www.borusanmannesman.com.tr;borusanmannesman.com.tr;ÇİB - Çelik İhracatçıları Birliği
