firma_adi;adres;telefon;website;domain;birlik
1 GAMA METAL MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;CUMHURİYET MAHALLESİ YILDIRIM BEYAZIT CAD. A BLOK NO:5/5A İÇ KAPI NO:5 İNEGÖL BURSA İNEGÖL BURSA;(224) 0000000;http://www.1gama.com;1gama.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
11 ENDÜSTRİYEL MÜHENDİSLİK VE LOJİSTİK HİZMETLERİ A.Ş;GÖZTEPE MAH. ŞAKAYIK CAD. NO:4 BEYKOZ İSTANBUL;(216) 5377030;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
111 TOPTAN HIRDAVAT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;SEYİTNİZAM MAH/SEMT DEMİRCİLER SİTESİ 4.CAD. NO:9 ZEYTİNBURNU / İSTANBUL / TÜRKİYE ZEYTİNBURNU İSTANBUL;(212) 6152111;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
1K ENDÜSTRİ ELEKTRİK MAKİNA SAN. VE TİC. LTD ŞTİ;ŞABANOĞLU MAH. SUOĞLU CAD. NO:58/1 TEKKEKÖY SAMSUN;(362) 0000000;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2 GEN GLOBAL DIŞ TİC. LTD. ŞTİ.;BARIŞ MAH. AKDENİZ CAD. DOĞA EVLER SİT. B-1 APT. N:23/1ALİOĞLU İŞ MERK. BEYLİKDÜZÜ İSTANBUL;(212) 6655538;www.2gen.com.tr;2gen.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2 YSMAR DIŞ TİC.LTD.ŞTİ.;İSTİKLAL MAH.ALEMDAĞ CAD.NO:112 ÇAKIROĞLU İŞHANIC BLOK NO:112/97 ÜMRANİYE İSTANBUL;(216) 3282950;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
212 EV EŞYALARI DIŞ TİC. LTD. ŞTİ.;41. ADA NO: 39 İSTOÇ BAĞCILAR İSTANBUL;(212) 6592212;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
23S EV ÇÖZÜMLERİ MAK. SAN. VE TİC. A.Ş.;İNÖNÜ MAH. GEBZE PLASTİKÇİLER OSB MAH. 4. CADİDARİ BİNA NO 8 GEBZE KOCAELİ;(262) 5027509;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2A MÜHENDİSLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;KAĞITHANE MERKEZ MAH. KAĞITHANE CAD.2A İŞ MERKEZİ NO:2 KAĞITHANE KAĞITHANE İSTANBUL;02123215252;2a.com.tr;2a.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2AD MAKİNA SANAYİ VE DIŞ TİCARET LTD.ŞTİ;BARBAROS MAH.IHLAMUR SOK.AĞAOĞLU MY PRESTİGE NO:1/113 ATAŞEHİR İSTANBUL;(216) 6888297;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2BRK İNŞAAT LOJİSTİK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ;SOĞANLIK YENİ MAH.ALTAŞ SOK.TEYFİK PEŞKET APT.NO:2/2 KARTAL İSTANBUL PK:34880 KARTAL İSTANBUL;(216) 5104660;www.2khedef.com.tr;2khedef.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2CONTİNENT YAZILIM VE DIŞ TİCARET ANONİM ŞİRKETİ;ADALET MAH.ANADOLU CAD. NO:41/ 81 BAYRAKLI İZMİR;;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2E KABLO ELEKTRİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ESENEVLER MAH. 3014 SOK. NO:15 ÜMRANİYE İSTANBUL;(216) 4612739;www.2egrup.net;2egrup.net;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2K CNC MAKİNA YEDEK PARÇA SANAYİ TİCARET LİMİTED ŞİRKETİ;DUDULLU OSB MH İMES SAN SİT A-102 SKNNİ:11 ÜMRANİYE İSTANBUL;(216) 3652878;www.2kcnc.com;2kcnc.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2M MAKİNA MÜMESSİLLİK VE TİC. A.Ş.;ÇOBANÇEŞME MAH. SANAYİ CAD. N:44İSTANBUL B BLOK D:98 BAHÇELİEVLER İSTANBUL;(212) 5040900;www.2mmakina.com.tr;2mmakina.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2M PASLANMAZ ENDÜSTRİ SANAY1 VE TİCARET LİMİTED ŞİRKETİ;MURAT MH RAMİ KIŞLA CD ULUYOL FABRİKALAR SK NO:15/6-7 BAYRAMPAŞA İSTANBUL;(000) 0000000;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2T MAKİNE ELEKTRİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;OGUZHAN CAD. NO: 1 A IÇ KAPI NO: 1 YEŞİLBAYIR MAH. ARNAVUTKÖY İSTANBUL;(212) 9317737;www.2tmakine.com.tr;2tmakine.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3 ADAM YAZILIM REKLAM BİLİŞİM DANIŞMANLIK TİC. LTD.ŞTİ.;MATBAACILAR CAD. 9/1 SK. NO:5/2 BAĞCILAR İSTANBUL;(212) 8767667;www.ucadamyazilim.com.tr;ucadamyazilim.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3 ES OTOMASYON OTOMOTİV VE BİLGİSAYAR SANAYİ TİCARET LİMİTED ŞİRKETİ;SULTAN SELİM MAHALLESİ HÜMEYRA SOKAK NEF 09 BBLOK NO 7 - 250 KAĞITHANE İSTANBUL;(212) 8032060;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
360 HOME DECOR MİMARLIK VE MOB. SAN. VE TİC. LTD. ŞTİ;İKİTELLİ OSB MH. MASKO MOBİLYACILAR KENTİ 15-B NO:9-11 BAŞAKŞEHİR İSTANBUL;(216) 4156036;www.360homedecor.com.tr;360homedecor.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3A ISITMA SOĞUTMA SİS.VE ENDÜSTRİYEL MUTFAK EKİPMANLARI SAN.DIŞ TİC.LTD.ŞTİ.;MAHMUT ŞEVKET PAŞA MAH. DÜZTAŞ SK. NO:5/A ŞİŞLİ İSTANBUL;(212) 5012040;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3A OTEL EKİPMANLARI İTHALAT İHRACAT VE DIŞ TİC LTD ŞTİ;YAYLA MAH.EKENEK SK.PARADISE PARK SİTESİ 2.ETAP C1VE C2 BLOK NO:4 İÇ KAPI NO:6 TUZLA İSTANBUL;(216) 0000000;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3A PREFABRİK KONUT VE ÇELİK YAPI SİSTEMLERİ SAN. TİC. LTD. ŞTİ.;ŞEYHLİ MH SÜLEYMANÇELEBİ CD NO:31/1 PENDİK İSTANBUL;(216) 3783700;www.3aprefabrik.com;3aprefabrik.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3BFAB TEKNOLOJİ ANONİM SIRKETI;IHLAMURKUYU MAH. ÇANAKKALE CAD. NO:5 KAT:3 ÜMRANİYE İSTANBUL;(216) 6120094;www.3bfab.com;3bfab.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3DCNC MAKİNA KALIP SAN. TİC. LTD.ŞTİ.;ZAFER MAH. YENİ SAN. SİT. M11 BLOK NO:3 ÇORLU TEKİRDAĞ;(282) 6733368;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3ES METAL SANAYİ VE TİCARET A.Ş;DUDULLU OSB M. İMES 310 SK. İMES C NO:6 ÜMRANİYE İSTANBUL;(216) 5407891;;;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
