firma_adi;adres;telefon;website;domain;birlik
1 GAMA METAL MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;CUMHURİYET MAHALLESİ YILDIRIM BEYAZIT CAD. A BLOK NO:5/5A İÇ KAPI NO:5 İNEGÖL BURSA İNEGÖL BURSA;(224) 0000000;http://www.1gama.com;1gama.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2 GEN GLOBAL DIŞ TİC. LTD. ŞTİ.;BARIŞ MAH. AKDENİZ CAD. DOĞA EVLER SİT. B-1 APT. N:23/1ALİOĞLU İŞ MERK. BEYLİKDÜZÜ İSTANBUL;(212) 6655538;www.2gen.com.tr;2gen.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2A MÜHENDİSLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;KAĞITHANE MERKEZ MAH. KAĞITHANE CAD.2A İŞ MERKEZİ NO:2 KAĞITHANE KAĞITHANE İSTANBUL;02123215252;2a.com.tr;2a.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2BRK İNŞAAT LOJİSTİK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ;SOĞANLIK YENİ MAH.ALTAŞ SOK.TEYFİK PEŞKET APT.NO:2/2 KARTAL İSTANBUL PK:34880 KARTAL İSTANBUL;(216) 5104660;www.2khedef.com.tr;2khedef.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2E KABLO ELEKTRİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ESENEVLER MAH. 3014 SOK. NO:15 ÜMRANİYE İSTANBUL;(216) 4612739;www.2egrup.net;2egrup.net;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2K CNC MAKİNA YEDEK PARÇA SANAYİ TİCARET LİMİTED ŞİRKETİ;DUDULLU OSB MH İMES SAN SİT A-102 SKNNİ:11 ÜMRANİYE İSTANBUL;(216) 3652878;www.2kcnc.com;2kcnc.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2M MAKİNA MÜMESSİLLİK VE TİC. A.Ş.;ÇOBANÇEŞME MAH. SANAYİ CAD. N:44İSTANBUL B BLOK D:98 BAHÇELİEVLER İSTANBUL;(212) 5040900;www.2mmakina.com.tr;2mmakina.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
2T MAKİNE ELEKTRİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;OGUZHAN CAD. NO: 1 A IÇ KAPI NO: 1 YEŞİLBAYIR MAH. ARNAVUTKÖY İSTANBUL;(212) 9317737;www.2tmakine.com.tr;2tmakine.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3 ADAM YAZILIM REKLAM BİLİŞİM DANIŞMANLIK TİC. LTD.ŞTİ.;MATBAACILAR CAD. 9/1 SK. NO:5/2 BAĞCILAR İSTANBUL;(212) 8767667;www.ucadamyazilim.com.tr;ucadamyazilim.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
360 HOME DECOR MİMARLIK VE MOB. SAN. VE TİC. LTD. ŞTİ;İKİTELLİ OSB MH. MASKO MOBİLYACILAR KENTİ 15-B NO:9-11 BAŞAKŞEHİR İSTANBUL;(216) 4156036;www.360homedecor.com.tr;360homedecor.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3A PREFABRİK KONUT VE ÇELİK YAPI SİSTEMLERİ SAN. TİC. LTD. ŞTİ.;ŞEYHLİ MH SÜLEYMANÇELEBİ CD NO:31/1 PENDİK İSTANBUL;(216) 3783700;www.3aprefabrik.com;3aprefabrik.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3BFAB TEKNOLOJİ ANONİM SIRKETI;IHLAMURKUYU MAH. ÇANAKKALE CAD. NO:5 KAT:3 ÜMRANİYE İSTANBUL;(216) 6120094;www.3bfab.com;3bfab.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3G ENDÜSTRİYEL ÜRÜNLER SAN.VE TİC.LTD.ŞTİ;ÇAVUŞOĞLU MH HAYRATKUYU MEVKİİ YAKACIK CD NO:132/F KARTAL İSTANBUL;(216) 4418517;www.3g-aksesuar.com;3g-aksesuar.com;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
3K BOMBE METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İSTANBUL DERİ OSB MAH. GÜDERİ CAD. F-7 PARSEL NO:8 TUZLA İSTANBUL;(216) 5910336;www.3kbombe.com.tr;3kbombe.com.tr;İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
