firma_adi;adres;telefon;website;domain;birlik
SOCAR TURKEY PETROL TİCARET ANONİM ŞİRKETİ;;;www.socar.com.tr;socar.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ETİ MADEN İŞLETMELERİ GENEL MÜDÜRLÜĞÜ;;;www.etimaden.gov.tr;etimaden.gov.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
DANFOSS POLİMER SAN. AŞ;;;www.eaton.com;eaton.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AYGAZ A.Ş.;;;www.aygaz.com.tr;aygaz.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TFS AKARYAKIT HİZMETLERİ ANONİM ŞİRKETİ;;;www.turkishfuel.com;turkishfuel.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
NOBEL İLAÇ SANAYİİ VE TİC.A.Ş.;;;www.nobel.com.tr;nobel.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
WORLD MEDICINE İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.worldmedicine.com.tr;worldmedicine.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TEKLAS KAUÇUK SAN. VE TİC. AŞ;;;www.teklas.com.tr;teklas.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AK-PA TEKSTİL İHR. PAZ. AŞ;;;www.akpa.com.tr;akpa.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ORGANİK KİMYA SAN. VE TİC. AŞ;;;www.organik.com.tr;organik.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CFN KİMYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;;;www.cfnkimya.com;cfnkimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SANDOZ GRUP SAĞLIK ÜRÜNLERİ İLAÇLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.sandoz.com.tr;sandoz.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.abdiibrahim.com.tr;abdiibrahim.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
LİKİTGAZ DAĞITIM VE ENDÜSTRİ ANONİM ŞİRKETİ;;;https://milangaz.com.tr/;milangaz.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ELİF PLASTİK AMBALAJ SAN. VE TİC. A.Ş.;;;www.elifplastik.com.tr;elifplastik.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
KİMTEKS POLİÜRETAN SAN.VE TİC.A.Ş.;;;www.kimpur.com;kimpur.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
GEMLİK GÜBRE SANAYİİ ANONİM ŞİRKETİ;;;www.gemlikgubre.com.tr;gemlikgubre.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
AKKİM YAPI KİMYASALLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.akkim.net;akkim.net;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SAPRO TEMİZLİK ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.sapro.com.tr;sapro.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CONSTANTIA PROPAK AMBALAJ ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ;;;www.propak.com.tr;propak.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EGE KİMYA SAN. VE TİC.A.Ş.;;;www.egekimya.com;egekimya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SEL DIŞ TİCARET VE KİMYA SANAYİ A.Ş.;;;www.selsil.com.tr;selsil.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
JOTUN BOYA SANAYİ VE TİCARET A.Ş.;;;www.jotun.com.tr;jotun.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BAGFAS BANDIRMA GÜBRE FABRİKALARI A.Ş.;;;www.bagfas.com.tr;bagfas.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SHELL&TURCAS PETROL A.S.;;;www.shellandturcas.com;shellandturcas.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
DEVA HOLDİNG A.Ş;;;www.devaholding.com.tr;devaholding.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EUROPEN DIŞ TİC. A.Ş.;;;www.europen.com;europen.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TÜRK HENKEL KİMYA SANAYİ VE TİCARET A.Ş;;;www.henkel.com.tr;henkel.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
DGS DIŞ TİCARET ANONİM ŞİRKETİ;;;www.dgsas.com.tr;dgsas.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SELUZ KİMYA KOZMETİK TİCARET VE SANAYİ ANONİM ŞİRKETİ;;;www.seluz.com;seluz.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BİLİM İLAÇ SAN. VE TİC. A.Ş.;;;www.bilimilac.com;bilimilac.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
POLİNAS PLASTİK SANAYİ VE TİCARET A.Ş.;;;www.polinas.com.;polinas.com.;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TAN-ALİZE KOZMETİK VE TEMİZLİK ÜRÜNLERİ SAN. VE TİC. A.Ş.;;;www.farmasi.com.tr;farmasi.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CONTİTECH LASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.contitech.com.tr;contitech.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
POLİYA POLİESTER SAN. VE TİC. A.Ş.;;;www.poliya.com;poliya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SUN CHEMİCAL MATBAA MÜREKKEPLERİ VE GEREÇLERİ SAN.TİC.A.Ş.;;;www.sunchemical.com;sunchemical.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
COLGATE PALMOLİVE TEMİZLİK ÜRÜNLERİ SAN.VE TİC. A.Ş.;;;www.colgate.com.tr;colgate.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ERDOĞMUŞ PARFÜM DIŞ TİCARET VE SANAYİ ANONİM ŞİRKETİ;;;www.erdogmusparfum.com;erdogmusparfum.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
