firma_adi;adres;telefon;website;domain;birlik
1 GAMA METAL MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;CUMHURİYET MAHALLESİ YILDIRIM BEYAZIT CAD. A BLOK NO:5/5A İÇ KAPI NO:5 İNEGÖL BURSA İNEGÖL BURSA;(224) 0000000;http://www.1gama.com;1gama.com;İMİB - İstanbul Maden İhracatçıları Birliği
212 EV EŞYALARI DIŞ TİC. LTD. ŞTİ.;41. ADA NO: 39 İSTOÇ BAĞCILAR İSTANBUL;(212) 6592212;;;İMİB - İstanbul Maden İhracatçıları Birliği
2A TAŞIMACILIK İÇ VE DIŞ TİCARET SAN TİC LTD ŞTİ;KIRMIZITOPRAK MAH. TAŞKÖPRÜ CAD NO:8/2 ODUNPAZARI ESKİŞEHİR;;;;İMİB - İstanbul Maden İhracatçıları Birliği
2M MAKİNA MÜMESSİLLİK VE TİC. A.Ş.;ÇOBANÇEŞME MAH. SANAYİ CAD. N:44İSTANBUL B BLOK D:98 BAHÇELİEVLER İSTANBUL;(212) 5040900;www.2mmakina.com.tr;2mmakina.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
3 DS TEKNOLOJİLERİ DIŞ TİCARET LİMİTED ŞİRKETİ;KOZA MAH.1655 SK.N BLOK NO:2 C/42 ESENYURT İSTANBUL;(212) 6961685;;;İMİB - İstanbul Maden İhracatçıları Birliği
3 KA PAZ.GIDA INŞ.TUR.SAN.VE TIC.LTD.ŞTI.;ŞAKIRPAŞA MAH.ONUR CAD.NO:98 SEYHAN ADANA;03224280880;www.karincagida.com;karincagida.com;İMİB - İstanbul Maden İhracatçıları Birliği
3G SANAYİ ÜRÜNLERİ VE MAKİNA TİC.LTD.ŞTİ;KÜÇÜKBAKKALKÖY MAH.KÜÇÜKBAKKALKÖY MAH ATAŞEHİR İSTANBUL;;;;İMİB - İstanbul Maden İhracatçıları Birliği
3H PLASTIK SAN. VE TİC. LTD. ŞTİ.;YENİBOSNA MAH. 29 EKİM CAD. NO:20 KAT:1 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 5512233;www.3hplastik.com.tr;3hplastik.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
3M SANAYİ VE TİCARET A.Ş.;ŞEHİT SİNAN EROĞLU CAD. SURYAPI AKEL IŞMERK. A BLK N:6 BEYKOZ İSTANBUL;(216) 5380777;www.3m.com;3m.com;İMİB - İstanbul Maden İhracatçıları Birliği
3S GLOBAL İTHALAT İHRACAT TİC. LTD. ŞTİ.;İKİTELLİ KERESTECİLER SİT.8 A BLOK N:1 K:1 KÜÇÜKÇEKMECE İSTANBUL;(212) 6701888;;;İMİB - İstanbul Maden İhracatçıları Birliği
3S MARBLE MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;HOŞNUDİYE MAH. 746. SOK. NO:13/710 PK:26130 TEPEBAŞI/ESKİŞEHİR TEPEBAŞI ESKİŞEHİR;(222) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
3S SIZDIRMAZLIK MAKİNE SAN. VE TİC. A.Ş.;TERSANE CAD.GÜNDEŞ HAN N:82/3 BEYOĞLU İSTANBUL;(212) 2531515;;;İMİB - İstanbul Maden İhracatçıları Birliği
4 İSTANBUL İNŞAAT OTOMOTİV GIDA SANAYİ VE TİCARET LTD. ŞTİ.;İKİTELLİ OSB. MAH. GİYİM SANATKARLARI 3D BLOK SK. NO:3D/4 BAŞAKŞEHİR İSTANBUL;(212) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
41MERMER İNŞAAT TİCARET LİMİTED ŞİRKETİ;SAHİL MAH.EYÜP SULTAN CAD. NO:1 BAŞİSKELE KOCAELİ;(262) 3434043;;;İMİB - İstanbul Maden İhracatçıları Birliği
4E MADENCİLİK İNŞAAT NAKLİYAT SAN. TİC. LTD. ŞTİ.;DİKKALDIRIM MAH. HAYRAN CAD. NO:38/1 OSMANGAZİ BURSA;(224) 4410341;www.erenlermermer.com;erenlermermer.com;İMİB - İstanbul Maden İhracatçıları Birliği
5E MERMER YAPI İNŞAAT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ÇENGELDERE MAH.ULUS CAD.NO:2/A BEYKOZ İSTANBUL;(216) 4799494;;;İMİB - İstanbul Maden İhracatçıları Birliği
5K WINDOWS PLASTİK MOBİLYA İTH. İHR. SAN. TİC. LTD. ŞTİ.;YENİKÖY OSB MAH. 504 SK. NO:5/2 TORBALI İZMİR;(232) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
5M ELEKTRO MEKANIK IML.INS.TUR VE DAHILI TIC.LTD.STI.;DUDULLU OSB BES SANAYİ SİT. YUKARI DUDULLUU-102 SÖĞÜT SOK A-04 BLOK N:42 ÜMRANİYE İSTANBUL;02165278354;www.5m-elektromekanik.com;5m-elektromekanik.com;İMİB - İstanbul Maden İhracatçıları Birliği
5M İNŞAAT TEKSTİL İTHALAT İHRACAT SAN. TİC. LTD. ŞTİ.;MİMARSİNAN MERK.MAH.MUSTAFA KEMAL BULVARI HAZAL SİT.NO:7-3 D BLOK K:1 D:12 MİMARSİNAN BÜYÜKÇEKMECE İSTANBUL;02128636786;www.5minsaat.net;5minsaat.net;İMİB - İstanbul Maden İhracatçıları Birliği
7 ELEVEN GIDA TURİZM TARIM ÜRÜNLERİ İNŞAAT İTHALAT İHRACAT PAZARLAMA LİMİTED ŞİRKETİ;CEMALİYE MAH.SALİH OMURTAK CAD.ERSÖZLER APT. NO:272/457 ÇORLU TEKİRDAĞ;(282) 6511043;;;İMİB - İstanbul Maden İhracatçıları Birliği
7G MERMER İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;DİRİLİŞ MAH.DESTEGÜL SOKAK NO:13/50 MAMAK ANKARA;(312) 0000000;;;İMİB - İstanbul Maden İhracatçıları Birliği
