firma_adi;adres;telefon;website;domain;birlik
1 GAMA METAL MOBİLYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;CUMHURİYET MAHALLESİ YILDIRIM BEYAZIT CAD. A BLOK NO:5/5A İÇ KAPI NO:5 İNEGÖL BURSA İNEGÖL BURSA;(224) 0000000;http://www.1gama.com;1gama.com;İMİB - İstanbul Maden İhracatçıları Birliği
2M MAKİNA MÜMESSİLLİK VE TİC. A.Ş.;ÇOBANÇEŞME MAH. SANAYİ CAD. N:44İSTANBUL B BLOK D:98 BAHÇELİEVLER İSTANBUL;(212) 5040900;www.2mmakina.com.tr;2mmakina.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
3 KA PAZ.GIDA INŞ.TUR.SAN.VE TIC.LTD.ŞTI.;ŞAKIRPAŞA MAH.ONUR CAD.NO:98 SEYHAN ADANA;03224280880;www.karincagida.com;karincagida.com;İMİB - İstanbul Maden İhracatçıları Birliği
3H PLASTIK SAN. VE TİC. LTD. ŞTİ.;YENİBOSNA MAH. 29 EKİM CAD. NO:20 KAT:1 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 5512233;www.3hplastik.com.tr;3hplastik.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
3M SANAYİ VE TİCARET A.Ş.;ŞEHİT SİNAN EROĞLU CAD. SURYAPI AKEL IŞMERK. A BLK N:6 BEYKOZ İSTANBUL;(216) 5380777;www.3m.com;3m.com;İMİB - İstanbul Maden İhracatçıları Birliği
4E MADENCİLİK İNŞAAT NAKLİYAT SAN. TİC. LTD. ŞTİ.;DİKKALDIRIM MAH. HAYRAN CAD. NO:38/1 OSMANGAZİ BURSA;(224) 4410341;www.erenlermermer.com;erenlermermer.com;İMİB - İstanbul Maden İhracatçıları Birliği
5M ELEKTRO MEKANIK IML.INS.TUR VE DAHILI TIC.LTD.STI.;DUDULLU OSB BES SANAYİ SİT. YUKARI DUDULLUU-102 SÖĞÜT SOK A-04 BLOK N:42 ÜMRANİYE İSTANBUL;02165278354;www.5m-elektromekanik.com;5m-elektromekanik.com;İMİB - İstanbul Maden İhracatçıları Birliği
5M İNŞAAT TEKSTİL İTHALAT İHRACAT SAN. TİC. LTD. ŞTİ.;MİMARSİNAN MERK.MAH.MUSTAFA KEMAL BULVARI HAZAL SİT.NO:7-3 D BLOK K:1 D:12 MİMARSİNAN BÜYÜKÇEKMECE İSTANBUL;02128636786;www.5minsaat.net;5minsaat.net;İMİB - İstanbul Maden İhracatçıları Birliği
8GEN MADENCİLİK SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;KAZIMİYE MAH. SELANİK SK. NO: 7 İÇ KAPI NO: 14 ÇORLU/ TEKİRDAĞ 59850 ÇORLU, TEKİRDAĞ, TÜRKİYE ÇORLU TEKİRDAĞ;(282) 6738142;www.8genmadencilik.com.tr;8genmadencilik.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
A ARTI AYDINLATMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;EMEKYEMEZ MAH. OKÇU MUSA CAD. MENEVŞE İŞ MERKEZİ NO:22/175 BEYOĞLU / İSTANBUL PK:34421 BEYOĞLU İSTANBUL;(212) 0000000;www.aartiaydinlatma.com;aartiaydinlatma.com;İMİB - İstanbul Maden İhracatçıları Birliği
A.T.S. ADVANCED TECHNOLOGY SUPPLIES TİC. A.Ş.;NISPETIYE CAD.TOPRAKKALESOKAK BURAK APR.6/2 BEŞİKTAŞ İSTANBUL;(212) 2873250;www.atskimya.com;atskimya.com;İMİB - İstanbul Maden İhracatçıları Birliği
ABA LED AYDINLATMA SAN.VE TİC.A.Ş.;AKÇABURGAZ MAHALLESİ AKÇABURGAZ CADDESİ NO:43 ESENYURT İSTANBUL;(212) 2224210;www.abalighting.com.tr;abalighting.com.tr;İMİB - İstanbul Maden İhracatçıları Birliği
