firma_adi;adres;telefon;website;domain;birlik
24K KIYMETLİ MADENLER İTHALAT İHRACAT TİCARET LİMİTED ŞİRKETİ;TAYA HATUN MAH. MAHMUTPAŞA YOKUŞU CAD.KALCILAR HAN BLOK NO: 1 İÇ KAPI NO: 18 FATİH / İSTANBUL FATİH İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
A B M KUYUMCULUK VE TEKS. SAN. TİC. LTD. ŞTİ.;MERKEZ MAH. VİZYON PARK KUYUMCULAR SOK. NO:4 C2 BLOK K:4 NO:405-406 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 6031296;;;JTR - Mücevher İhracatçıları Birliği
A SULTAN KUYUMCULUK MAKİNA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİBOSNA MERKEZ MAH. KUYUMCUKENT SK. NO: 34İÇ KAPI NO: 58 BAHÇELİEVLER İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
AAB GLOBAL İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ;BAĞLAR MAH.MİMAR SİNAN CAD.G PLUSNO:37 İÇ KAPI 190 BAĞCILAR İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
ABACI SANATSAL ÜRÜNLER SAN.TİC.LTD.ŞTİ;TEŞVİKİYE MAHALLESİ HÜSREV GEREDE CD.NO:104/A ŞİŞLİ İSTANBUL;(212) 2367070;www.abbachi.com;abbachi.com;JTR - Mücevher İhracatçıları Birliği
ABAGA JEWELLERY MÜCEVHERAT VE TİCARET LİMİTED ŞİRKETİ;YENİBOSNA MERKEZ MAH. KUYUMCULAR SKKUYUMCUKENT VİZYON PARK C ATÖLYE NO:4/0121 BAHÇELİEVLER İSTANBUL;(212) 6031957;;;JTR - Mücevher İhracatçıları Birliği
ABC HALICILIK KUY. TURZ. SAN. VE TİC. LTD. ŞTİ.;GÜVERCİNADA YOLU BELEDİYE DÜKKANLARI NO:8 KUŞADASI AYDIN;(256) 6123969;;;JTR - Mücevher İhracatçıları Birliği
ABDULLAH AYDOĞAN;YENİBOSNA MERKEZ MAH.LADİN SOK. N:4İÇ KAPI N:5158 BAHÇELİEVLER İSTANBUL;(212) 4055245;;;JTR - Mücevher İhracatçıları Birliği
ABDULSAMET CAN;CEBECİ MAH. 2403/1.SK. NO:8/2 SULTANGAZİ İSTANBUL;(212) 5272766;;;JTR - Mücevher İhracatçıları Birliği
ABER GOLD KUYUMCULUK GIDA INSAAT TEKSTIL SANAYI VE TICARET LIMITED SIRKETI;YENIBOSNA MERKEZ MAH LADIN SK NO 34 IC KAPI NO 59 BAHÇELİEVLER İSTANBUL;(212) 6267474;;;JTR - Mücevher İhracatçıları Birliği
ABKA KIRTASİYE VE AMBALAJ SANAYİ TİCARET ANONİM ŞİRKETİ;IKİTELLİ OSB ATATÜRK OTO SAN SİT 22. SOK. IŞIKBAY PLAZA BAŞAKŞEHİR İSTANBUL;(212) 6719450;www.abkakirtasiye.com;abkakirtasiye.com;JTR - Mücevher İhracatçıları Birliği
ABRIES JEWELLERY KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ALEMDAR MAH.MOLLA FENARİ SK. YILDIZ HAN NO: 18 A FATİH İSTANBUL;(212) 5228619;;;JTR - Mücevher İhracatçıları Birliği
ADALANTA KUYUMCULUK SAN. VE TİC. LTD. ŞTİ.;ALEMDAR MAH. PROF. KAZIM İSMAİL GÜRKAN CAD.CAĞALOĞLU HAMAMI SOK.KARDEŞLER HAN.N:2-1/301 FATİH İSTANBUL;(212) 6032823;;;JTR - Mücevher İhracatçıları Birliği
ADEL GOLD KUYUMCULUK LİMİTED ŞİRKETİ;BEYAZIT MAH. TIĞCILAR SK. KAPALI ÇARŞI-EMEK HAN NO FATİH İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
ADKA DIŞ TİCARET ANONİM ŞİRKETİ;GÖZTEPE MAH.FAHRETTİN KERİM GÖKAY CAD.YAMAÇ APT.NO154/33 KADIKÖY İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
ADOR KUYUMCULUK VE DIŞ TİCARET ANONİM ŞİRKETİ;MOLLAFENARİ MAH. ŞEREFEFENDİ CAD. NO:6 FATİH İSTANBUL;(212) 5228989;www.adorgold.com;adorgold.com;JTR - Mücevher İhracatçıları Birliği
ADRES GOLD KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİBOSNA MERKEZ MAH. LADİN SK. NO:20 / 404 BAHÇELİEVLER İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
AFFAN ENES YILMAZ;MERKEZ MH ŞAMLI SK ALAT İŞ MERK. SITESİ ALAT İŞ MERKEZİ BLOK NO:32A AVCILAR İSTANBUL AVCILAR İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
AFİLİ KOZMETİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;HALKALI MERKEZ MAH. ÇALIŞKAN SK. NO:1-1 KÜÇÜKÇEKMECE İSTANBUL;(212) 0000000;https://www.missliva.com;missliva.com;JTR - Mücevher İhracatçıları Birliği
AG FERFORJE TASARIM ORGANİZASYON VE EKİPMANLAR DMİR DOĞRAMA SAN. TİC. LTD. ŞTİ.;OSMANGAZİ MAH. 2644. SK. NO: 5 İÇ KAPI NO: 1 ESENYURT İSTANBUL;(212) 5412364;;;JTR - Mücevher İhracatçıları Birliği
AGA HOLDİNG ANONİM ŞİRKETİ;KÜÇÜKÇEKMECE İKİTELLİOSB MAH. MARMARA N BLOK SK.MARMARA SANAYİ N BLOK NO : 9 KÜÇÜKÇEKMECE İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
AGABULLION KIYMETLİ MADENLER ANONİM ŞİRKETİ;YENİBOSNA MERKEZ MAH. LADİN SK. KUYUMCUKENT NO:4 M İÇ KAPI NO:Z030 BAHÇELİEVLER İSTANBUL;(212) 6030481;;;JTR - Mücevher İhracatçıları Birliği
AHİ KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YAHYA KEMAL MAHALLESİ RASİM ÖZDENÖREN CADDESİ NO:29/2 İÇ KAPI NO:Z38 DULKADİROĞLU KAHRAMANMARAŞ;(344) 0000000;;;JTR - Mücevher İhracatçıları Birliği
AHLATÇI KUYUMCULUK SANAYİ VE TİCARET ANONİM ŞİRKETİ;GÜLALİBEY MH EĞRİDERE SK N:17 ÇORUM ÇORUM;(364) 4440186;www.ahlatci.com.tr;ahlatci.com.tr;JTR - Mücevher İhracatçıları Birliği
AHLATÇI METAL RAFİNERİ A.Ş.;PINARÇAY OSB MAH. ORGANİZE SANAYİ 1.CAD MERKEZ ÇORUM;(364) 4440186;;;JTR - Mücevher İhracatçıları Birliği
AHMET BERTUG TOKMAK;SÜLEYMANIYE MAH. UZUNÇARSI CAD.TAMBURACI VE GÖRENLNO: 187/2F FATİH İSTANBUL;(212) 5798249;;;JTR - Mücevher İhracatçıları Birliği
AHMET ÇELİK;BİNBİRDİREK MAH. BOYACI AHMET SOK.NO:14 K:3 FATİH İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
