firma_adi;adres;telefon;website;domain;birlik
ABACI SANATSAL ÜRÜNLER SAN.TİC.LTD.ŞTİ;TEŞVİKİYE MAHALLESİ HÜSREV GEREDE CD.NO:104/A ŞİŞLİ İSTANBUL;(212) 2367070;www.abbachi.com;abbachi.com;JTR - Mücevher İhracatçıları Birliği
ABKA KIRTASİYE VE AMBALAJ SANAYİ TİCARET ANONİM ŞİRKETİ;IKİTELLİ OSB ATATÜRK OTO SAN SİT 22. SOK. IŞIKBAY PLAZA BAŞAKŞEHİR İSTANBUL;(212) 6719450;www.abkakirtasiye.com;abkakirtasiye.com;JTR - Mücevher İhracatçıları Birliği
ADOR KUYUMCULUK VE DIŞ TİCARET ANONİM ŞİRKETİ;MOLLAFENARİ MAH. ŞEREFEFENDİ CAD. NO:6 FATİH İSTANBUL;(212) 5228989;www.adorgold.com;adorgold.com;JTR - Mücevher İhracatçıları Birliği
AFİLİ KOZMETİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;HALKALI MERKEZ MAH. ÇALIŞKAN SK. NO:1-1 KÜÇÜKÇEKMECE İSTANBUL;(212) 0000000;https://www.missliva.com;missliva.com;JTR - Mücevher İhracatçıları Birliği
AHLATÇI KUYUMCULUK SANAYİ VE TİCARET ANONİM ŞİRKETİ;GÜLALİBEY MH EĞRİDERE SK N:17 ÇORUM ÇORUM;(364) 4440186;www.ahlatci.com.tr;ahlatci.com.tr;JTR - Mücevher İhracatçıları Birliği
AIDA BERGSEN TAKI VE EL SANATLARI ÜRETİMİ LTD. ŞTİ.;EMİN SİNAN MAH. TAŞDİREK ÇEŞMESİALTUNBUKEN PASAJI N:6/54 FATİH İSTANBUL;(212) 2313624;www.aidabergsen.com;aidabergsen.com;JTR - Mücevher İhracatçıları Birliği
AKBAY TEKNİK HIRDAVAT PAZARLAMA VE DIŞ TİC. LTD. ŞTİ.;TOZKOPARAN MH GENERAL ALİ RIZA GÜRCAN CD ALPARSLAN İS MERK A BLOKNO:29/11 GÜNGÖREN İSTANBUL;(212) 6505555;www.akbayteknikhirdavat.com;akbayteknikhirdavat.com;JTR - Mücevher İhracatçıları Birliği
AKDEMİR KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KUYUMCUKENT ATOLYECİLER BLOGU 1 KOYALTİ MEVKİİ 6. SOKAK, K:2-10 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 6031969;www.akdemirgold.com;akdemirgold.com;JTR - Mücevher İhracatçıları Birliği
AKDOLU KUYUMC.TUR.TES.ISL.TUR. ESYA PAZ.VE LTD.STI.;ÇARŞI MAH. DR. ALİMBEY CAD.NO.13/C BODRUM MUĞLA;(252) 3193315;www.ara24k.com;ara24k.com;JTR - Mücevher İhracatçıları Birliği
AKFEN INSAAT TURIZM VE TIC.A.S;KOZA SOKAK NO.22 ÇANKAYA ANKARA;(312) 4414211;www.akfen.com.tr;akfen.com.tr;JTR - Mücevher İhracatçıları Birliği
