firma_adi;adres;telefon;website;domain;birlik
ARÇELİK ANONİM ŞİRKETİ;SÜTLÜCE KARAAGAÇ CAD. NO 2/6 BEYOĞLU İSTANBUL;(212) 3143803;www.arcelik.com.tr;arcelik.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
VESTEL TİCARET ANONİM ŞİRKETİ;ORGANIZE SANAYI BOLGESI MANİSA MANİSA;(236) 2330131;www.vestel.com.tr;vestel.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
BSH EV ALETLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;MERKEZ FATİH SULTAN MEHMET MAH.BALKAN CAD.NO.51 ÜMRANİYE İSTANBUL;(216) 5289000;www.bsh.com.tr;bsh.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
EAE ELEKTRİK ASANSÖR ENDÜSTRİSİ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;AKÇABURGAZ MAH. 3114 SOK NO:10 ESENYURT İSTANBUL;(212) 8662000;www.eae.com.tr;eae.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
HES HACILAR ELEKTRİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;ERCIYES MAH HES CAD.NO:22 HACILAR KAYSERİ;(352) 2074500;www.hes.com.tr;hes.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
BALIKESIR ELEKTRO MEKANIK SAN. TESISLERI A.S.;ORGANIZE SANAYI BÖL 7.CAD NO110100 BALIKESİR BALIKESİR;02662811070;www.besttransformer.com;besttransformer.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
GRİD SOLUTİONS ENERJİ ENDÜSTRİSİ A.Ş.;BARIŞ MAH.GÜNEY YAN YOL CAD NO 320 GEBZE KOCAELİ;02626483300;www.ge.com;ge.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
SIEMENS SAN. VE TİC. AŞ;YAKACIK YOLU NO:111 YAKACIK KARTAL İSTANBUL;02164592000;www.siemens.com;siemens.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
HİTACHİ ENERGY TURKEY ELEKTRİK SANAYİ ANONİM ŞİRKETİ;2.CADDE ABB BLOK NO:16 İÇ KAPI NO:1 DUDULLU OSB MAHALLESİ 34775 ÜMRANİYE, İSTANBUL, TÜRKİYE ÜMRANİYE İSTANBUL;(850) 5281000;https://www.hitachienergy.com/about-us/country-and-regional-information/turkey;hitachienergy.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
PAMUKKALE KABLO SANAYİ VE TİCARET ANONİM ŞİRKETİ;HAVAALANI KAVŞAĞI EGS BUSİNESS PARK PLAZA B1 BLOKKAT:16 NO:463 YEŞİLKÖY BAKIRKÖY İSTANBUL;(212) 4653812;www.pamukkalekablo.com.tr;pamukkalekablo.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİC. A. Ş.;ANKARA 1. OSB. OĞUZ CAD. NO:6 SİNCAN ANKARA;(312) 2670712;www.ulusoyelelktrik.com;ulusoyelelktrik.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
CANDY HOOVER EUROASİA EV GEREÇLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İÇERENKÖY MAH. HAL YOLU CAD. SAYAR İŞ MERKEZİ KAT.7 ATAŞEHİR İSTANBUL;(216) 4664242;http://www.hoover.com.tr/;hoover.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
GREEN TRANSFO ENERGY TURKEY ENERJİ ENDÜSTRİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;TOSB ORG. SAN. BÖL. 1. CADDE NO:6ŞEKERPINAR GEBZE KOCAELİ;(262) 6480400;;;TET - Elektrik ve Elektronik İhracatçıları Birliği
DEMİRER KABLO TESİSLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;CİHANNÜMA MAH. BARBAROS BULVARI PREVEZE HANNO.59 BEŞİKTAŞ İSTANBUL;(212) 2615163;www.masscable.com.tr;masscable.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
ENPAY ENDÜSTRIYEL PAZARLAMA VE YATIRIM A.Ş.;KARADENIZLILER MAH.FAKÜLTE CAD.NO.147/A P.K.91 BAŞİSKELE KOCAELİ;(262) 3495820;www.enpay.com;enpay.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
NEXANS TÜRKİYE ENDÜSTRİ VE TİCARET ANONİM ŞİRKETİ;MECİDİYEKÖY MAH. OĞUZ SOK. NO:4RÖNESANS BİZ PLAZA A/1 MECİDİYEKÖY ŞİŞLİ İSTANBUL;(212) 2660160;www.nexans.com;nexans.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
ELTAŞ ELEKTRİK MALZEMELERİ SANAYİ VE PAZARLAMA A.Ş.;GEBZE O.S.B. İSYANDEDE CAD.N:112 GEBZE KOCAELİ;(262) 7511258;www.legrand.com.tr;legrand.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
BORSAN KABLO ELEKTRİK AYDINLATMA İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;ŞABANOĞLU OSB MAH. ORG. SAN. BÖL. NO:40/1 TEKKEKÖY SAMSUN;(362) 2665925;www.borsan.com.tr;borsan.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
TÜRK PRYSMİAN KABLO VE SİSTEMLERİ ANONİM ŞİRKETİ;HAKTAN IŞ MERKEZİ NO:39 KAT:2SETÜSTÜ - KABATAŞ BEYOĞLU İSTANBUL;(212) 3937700;www.prysmiangroup.com;prysmiangroup.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
ÜNTEL KABLOLARI SANAYİİ VE TİCARET ANONİM ŞİRKETİ;MAKİNE O.S.B. 6. CAD. NO:4 DİLOVASI KOCAELİ;(262) 7229330;;;TET - Elektrik ve Elektronik İhracatçıları Birliği
ABB ELEKTRİK SANAYİ ANONİM ŞİRKETİ;AYDINEVLER MAHALLESİ SİTELER YOLU NO: 1A / 7 34854 MALTEPE İSTANBUL;(216) 5282200;https://new.abb.com/tr;new.abb.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
AKSA JENERATÖR SANAYİ ANONİM ŞİRKETİ;RÜZGARLIBAHÇE MAH. ÖZALP ÇIKMAZIN:10 KÖYLER BEYKOZ İSTANBUL;(216) 6810000;www.aksa.com.tr;aksa.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
HİTACHİ ENERGY İHRACAT TİCARET VE ELEKTRİK SANAYİ ANONİM ŞİRKETİ;YUKARI DUDULLU ORGANİZE SANAYİ BÖLGESİ 2. CADDE NO:16 YUKARIDUDULLU ÜMRANİYE İSTANBUL;(850) 5281000;;;TET - Elektrik ve Elektronik İhracatçıları Birliği
DEMES KABLO SANAYİ VE TİCARET ANONİM ŞİRKETİ;OSMANGAZİ MAH. MAREŞAL FEVZİ ÇAKMAK CAD.N:19 ESENYURT İSTANBUL;02126894900;www.demes.com;demes.com;TET - Elektrik ve Elektronik İhracatçıları Birliği
KT KABLO PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ;PİRİ MEHMET PAŞA MH. YEMENİCİLER GEÇİDİ SK. YUMA İŞ MERKEZİ NO:2 KAT:3 D:8 SİLİVRİ İSTANBUL PİRİ MEHMET PAŞA 34570 SİLİVRİ SİLİVRİ İSTANBUL;;;;TET - Elektrik ve Elektronik İhracatçıları Birliği
BEST ELEKTRİK TAAHHÜT VE TİCARET ANONİM ŞİRKETİ;AĞIR SANAYİ BÖLGESİ NO:1 MERKEZ BALIKESİR;(266) 2418200;www.aeg-genel.com.tr;aeg-genel.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
ALFİRİN ENERJİ TİCARET ANONİM ŞİRKETİ;KOCATEPE MAH. LAMARTİN CAD. OFİS LAMARTINE BLOK NO:5 KAT:5 BEYOĞLU İSTANBUL;(212) 2524043;;;TET - Elektrik ve Elektronik İhracatçıları Birliği
ERSE KABLO SANAYİ VE TİCARET ANONİM ŞİRKETİ;HALİL RIFAT PAŞA MAH.YÜZER HAVUZ SOKAK.NO:5-9 ŞİŞLİ İSTANBUL;(212) 3202680;www.ersekablo.com.tr;ersekablo.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
KÜRKÇÜOĞLU İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ;SANAYİ MAH.URAN SOK.NO:3/1 PENDİK İSTANBUL;(216) 4445930;www.kj.com.tr;kj.com.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
EMSA ENERJİ PAZARLAMA VE DIŞ TİCARET ANONİM ŞİRKETİ;MECLIS MAHALLESİ KARACAOĞLAN SOK.NO:2/A SANCAKTEPE İSTANBUL;(216) 4200003;www.emsa.gen.tr;emsa.gen.tr;TET - Elektrik ve Elektronik İhracatçıları Birliği
