firma_adi;adres;telefon;website;domain;birlik
HABAŞ SINAİ VE TIBBİ GAZLAR İSTİHSAL ENDÜSTRİSİ A.Ş.;FUATPASA SOK. NO.26 SOĞANLIK MAH. KARTAL İSTANBUL;(216) 4536400;www.habas.com.tr;habas.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
DİLER DIŞ TİCARET ANONİM ŞİRKETİ;MASLAK MAHALLESİ, ESKİ BÜYÜKDERE CADDESİ KOÇKAYA AS PLAZA MASLAK NO:1 34485 SARIYER İSTANBUL;(212) 2552420;www.dilerhld.com;dilerhld.com;ÇİB - Çelik İhracatçıları Birliği
İÇDAŞ ÇELİK ENERJİ TERSANE VE ULASIM SANAYİ A.Ş.;İÇDAŞ PLAZA MAHMUTBEY MAH. DİLMENLER CAD. NO:20 MAHMUTBEY MAHMUTBEY BAĞCILAR İSTANBUL;(212) 6040404;www.icdas.com.tr;icdas.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
ÇOLAKOĞLU METALURJİ A.Ş.;KÇAM PINARI SK. NO: 1 İÇ KAPI NO : 16 KAVACIK RÜZGARLIBAHÇE BEYKOZ BEYKOZ İSTANBUL;(216) 4442627;www.colakoglu.com.tr;colakoglu.com.tr;ÇİB - Çelik İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
İSKENDERUN DEMİR VE ÇELİK A.Ş.;KARŞI MAH. ŞEHİT YÜZBAŞI ALİ OĞUZBULV. NO.1 PAYAS(YAKACIK) DÖRTYOL HATAY;(326) 7584040;www.isdemir.com.tr;isdemir.com.tr;ÇİB - Çelik İhracatçıları Birliği
TATMETAL ÇELİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;HAMZAFAKIHLI MAH. YAŞAR TETİKER BULVARI NO:1 ZIP: 67300 KDZ. EREĞLİ ZONGULDAK TEL: 03723343740PK:673 KARADENİZEREĞLİ ZONGULDAK;(372) 3343740;www.tatmetal.com.tr;tatmetal.com.tr;ÇİB - Çelik İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
YÜCELBORU İHRACAT İTHALAT VE PAZARLAMA ANONİM ŞİRKETİ;BARIŞ MAH.KOŞYOLU CAD. 1801.SOK.NO.12 GEBZE KOCAELİ;(216) 4181000;;;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
YILDIZDEMİR ÇELİK SAN.A.Ş.;ALİKAHYA OSB MAH. 2.CAD. NO:2/1NO:2/1 ALİKAHYA OSB MAH 41310 İZMİT KOCAELİ;(262) 2807500;www.yildizdemircelik.com.tr;yildizdemircelik.com.tr;ÇİB - Çelik İhracatçıları Birliği
MESCİER DIŞ TİCARET ANONİM ŞİRKETİ;FATİH SULTAN MEHMET MAHALLESİ, POLİGON CADDESİ NO: 8C, BUYAKA 2 SİTESİ KULE:3 KAT:21, 34771, ÜMRANİYE İSTANBUL;(216) 3351111;www.mescier.com.tr;mescier.com.tr;ÇİB - Çelik İhracatçıları Birliği
BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET ANONİM ŞİRKETİ;İÇERENKÖY MAHALLESİ UMUT SOKAK QUICK TOWER SİTESİ NO:10-12 İÇ KAPI NO: 51 ATAŞEHİR İSTANBUL;(212) 3935713;www.borusanmannesman.com.tr;borusanmannesman.com.tr;ÇİB - Çelik İhracatçıları Birliği
POSCO ASSAN TST ÇELİK SANAYİ ANONİM ŞİRKETİ;ASIM KİBAR ORG. SAN. BÖLGESİ 1.CAD. NO:4 İZMİT KOCAELİ;(262) 3106000;www.poscoassan.com;poscoassan.com;ÇİB - Çelik İhracatçıları Birliği
ASİL ÇELİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;GEMIC KOYU MEVKİİ ORHANGAZİ BURSA;(224) 2806100;www.asilcelik.com.tr;asilcelik.com.tr;ÇİB - Çelik İhracatçıları Birliği
EREĞLİ DEMİR VE ÇELİK FABRİKALARI. TİC. A.Ş.;BARBAROS MAHALLESİ ARDIÇ SOKAK NO:6 34746 ATAŞEHİR İSTANBUL;(216) 5788000;www.erdemir.com.tr;erdemir.com.tr;ÇİB - Çelik İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
BORÇELİK ÇELİK SANAYİ TİCARET ANONİM ŞİRKETİ;ATA MAH.125 NOLU SOK.NO.1 GEMLİK BURSA;(224) 2804000;www.borcelik.com;borcelik.com;ÇİB - Çelik İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
SARTEN AMBALAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ;BÜYÜKDERE CD NO:175/100 FERKO SİGNATURE ŞİŞLİ İSTANBUL;(212) 2757660;www.sarten.com.tr;sarten.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
KAPTAN DEMİR ÇELİK ENDÜSTRİSİ VE TİCARET A.Ş.;F.KERİM GÖKAY CAD. BESTEKAR SADETTİN KAYNAK SOK. NO.2 ALTUNİZADE ÜSKÜDAR İSTANBUL;;www.kaptandemir.com.tr;kaptandemir.com.tr;ÇİB - Çelik İhracatçıları Birliği
ÜMRAN ÇELİK BORU SANAYİ A.Ş.;İNKİLAP MAH. KÜÇÜKSU CAD. NO.58/8 ORYAPARK PLAZA NO:58 KAT 8/9 İNKİLAP 34768 ÜMRANİYE, İSTANBUL, TÜR ÜMRANİYE İSTANBUL;(212) 2525280;www.umran.com;umran.com;ÇİB - Çelik İhracatçıları Birliği
ÇAĞ ÇELİK DEMİR VE ÇELİK ENDÜSTRİ ANONİM ŞİRKETİ;ÜNİVERSİTE MAH KAMİL GÜLEÇ CD N:41 KARABÜK KARABÜK;(370) 4338000;www.cagcelik.com.tr;cagcelik.com.tr;ÇİB - Çelik İhracatçıları Birliği
CORBUS METAL IC VE DIS TIC. LTD.STI.;İNEBOLU SOK. NO:63/1 KABATAŞ BEYOĞLU İSTANBUL;(212) 2458889;www.corbus.com.tr;corbus.com.tr;ÇİB - Çelik İhracatçıları Birliği
KCR DIŞ TİCARET ANONİM ŞİRKETİ;GÜMÜŞÇAY MAH. MENDERES BLV. NO:47 MERKEZEFENDİ DENİZLİ;(232) 6251860;;;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
TEZCAN GALVANIZLI YAPI EL.SAN. VE TIC.A.S.;ARSLANBEY O.S.B. 2. CAD. NO.6 KARTEPE KOCAELİ;(262) 3171400;www.tezcan.com;tezcan.com;ÇİB - Çelik İhracatçıları Birliği
ERCİYAS ÇELİK BORU SANAYİ ANONİM ŞİRKETİ;PALLADİUM TOWER KARDELEN SOK. NO: 2/1K:25 ATAŞEHİR İSTANBUL;(216) 6636300;www.erciyas.com.tr;erciyas.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
EVAS EV ALETLERİ SANAYİ ANONİM ŞİRKETİ;SANAYİ MH. ŞEHIT CEVDET ÇELENK CD. NO:2 PENDİK İSTANBUL;(216) 3787315;www.evas.com.tr;evas.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
KROMAN ÇELİK SANAYİİ A.Ş.;EMEK MAH. AŞIROĞLU CAD. NO:155 DARICA KOCAELİ KADIKÖY İSTANBUL;(262) 6792000;www.kromancelik.com.tr;kromancelik.com.tr;ÇİB - Çelik İhracatçıları Birliği
BOSKAY METAL SAN.VE TICARET LTD.STI.;KURTULUŞ MAH. YENI SAN. BÖLGESİNO.52 MERKEZ KARABÜK;(370) 4128717;www.boskaymetal.com.tr;boskaymetal.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
CRONIMET TURKEY METAL TİC.A.Ş.;MERKEZ MAH PROF.DR.NURETTİN MAZHAR OKTEL SOK.LALE PALAS NO 10/15 ŞİŞLİ İSTANBUL;(212) 4031023;;;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
GAZİ METAL MAMÜLLERİ SAN. VE TİC. A.Ş.;BARIŞ MAH. 1804 SOK. NO.6 GEBZE KOCAELİ;(262) 6444662;www.gazimetal.com.tr;gazimetal.com.tr;ÇİB - Çelik İhracatçıları Birliği
