FirmaAdi;WebSitesi;Domain;Email
"100";"";"mollearia.com";"m.uyan@mollearia.com"
"101";"";"";""
"102";"";"nilkim.com";"info@nilkim.com"
"103";"";"nurmetal.com";"muhasebe@nurmetal.com"
"104";"";"okambalaj.com%20tr";"muhasebe@okambalaj.com%20tr"
"105";"";"";""
"106";"";"";""
"107";"";"";""
"108";"";"onsanvakum.com.tr";"onsan@onsanvakum.com.tr"
"109";"";"";""
"110";"";"plaskar.com";"bilgi@plaskar.com"
"111";"";"";""
"112";"";"orsa-ltd.com";"aegoyunc@orsa-ltd.com"
"113";"";"oskimautomotive.com";"export@oskimautomotive.com"
"114";"";"";""
"115";"";"atelierline.com.tr";"info@atelierline.com.tr"
"116";"";"";""
"117";"";"ozotasan.com";"ozotasan@ozotasan.com"
"118";"";"paromak.com";"byigit@paromak.com"
"119";"";"";""
"120";"";"";""
"121";"";"pbd.com.tr";"info@pbd.com.tr"
"122";"";"plaskar.com";"bilgi@plaskar.com"
"123";"";"paromak.com";"byigit@paromak.com"
"124";"";"polteks.com";"polteks@polteks.com"
"125";"";"pst-pur.com";"info@pst-pur.com"
"126";"";"revocoat.com.tr";"mkoken@revocoat.com.tr"
"127";"";"";""
"128";"";"";""
"129";"";"";""
"130";"";"";""
"131";"";"";""
"132";"https://www.google.com.tr/search?q=senfe+metal&amp;ei=s99CYr6vEuqQxc8P0eyq2Ac&amp;ved=0ahUKEwj-1JbPjuv2AhVqSPEDHVG2CnsQ4dUDCA4&amp;uact=5&amp;oq=senfe+metal&amp;gs_lcp=Cgdnd3Mtd2l6EAMyCwguEIAEEMcBEK8BOgQIABBDOgsIABCABBCxAxCDAToKCC4QxwEQrwEQQzoICC4QgAQQsQM6BQgAEIAEOggIABCABBCxAzoFCC4QgAQ6CAguELEDEIMBOggILhCABBDUAjoOCC4QgAQQsQMQxwEQrwE6DgguEIAEEMcBEK8BENQCOgcIABCxAxAKOg0ILhCxAxCDARDUAhAKOgQIABAKOgQILhAKOgcILhDUAhAKSgQIQRgASgQIRhgAUABY3BFg7xVoAHABeACAAZkCiAGNEZIBBTAuNy40mAEAoAEBwAEB&amp;sclient=gws-wiz";"google.com.tr";""
"133";"";"seremotomotiv.com.tr";"cemkangal@seremotomotiv.com.tr"
"134";"";"k&#305;rkagac.com";"k&#305;rkagac@k&#305;rkagac.com"
"135";"";"sodsan.com";"sodsan@sodsan.com"
"136";"";"sodsan.com";"sodsan@sodsan.com"
"137";"";"";""
"138";"";"";""
"139";"";"sonmakpvc.com";"info@sonmakpvc.com"
"140";"";"";""
"141";"";"";""
"142";"";"";""
"143";"";"sukim.com.tr";"info@sukim.com.tr"
"144";"";"";""
"145";"";"sutetyum.com";"info@sutetyum.com"
"146";"";"";""
"147";"";"tmsstand.com";"info@tmsstand.com"
"148";"";"tcm-tr.com";"sennurs@tcm-tr.com"
"149";"";"tekkimambalaj.com";"tekkim@tekkimambalaj.com"
"150";"";"tekkimambalaj.com";"tekkim@tekkimambalaj.com"
"151";"";"teknobara.com.tr";"info@teknobara.com.tr"
"152";"";"teknokol.com.tr";"teknokol@teknokol.com.tr"
"153";"";"";""
"154";"";"";""
"155";"";"";""
"156";"";"tidap.com.tr";"tidap@tidap.com.tr"
"157";"";"tiryakimakina.com";"tiryaki@tiryakimakina.com"
"158";"";"tmmpres.com";"info@tmmpres.com"
"159";"";"";""
"160";"";"";""
"161";"";"";""
"162";"";"";""
"163";"";"turkas.com.tr";"refik.oztufekci@turkas.com.tr"
"164";"";"";""
"165";"";"uclerkelepce.com.tr";"rkara@uclerkelepce.com.tr"
"166";"";"uclerkelepce.com.tr";"rkara@uclerkelepce.com.tr"
"167";"";"";""
"168";"";"";""
"169";"";"unvergroup.com";"info@unvergroup.com"
"170";"";"unverlermakine.com.tr";"bilgi@unverlermakine.com.tr"
"171";"";"";""
"172";"";"vkmplastik.com";"info@vkmplastik.com"
"173";"";"";""
"174";"";"sandvik.com";"sedat.altas@sandvik.com"
"175";"";"";""
"176";"";"yapakalip.com";"yapa@yapakalip.com"
"177";"";"";""
"178";"";"yepsan.com.tr";"yepsan@yepsan.com.tr"
"179";"";"";""
"180";"";"yucecengiz.com";"muhasebe@yucecengiz.com"
"181";"";"zetm.com.tr";"h.taka@zetm.com.tr"
