Firma Adı;Parsel Durumu;Ada/Bölge;Sektör;Telefon;E-Posta;Web Sitesi;Domain;Adres
3m Kayış Dış Ticaret Sanayi Ltd.şti.;Tahsisli;6;Makina;5323532253;1bilgi@3mkayis.com;;;
5k Metal San. Ve Tic.ltd.şti.;Ön Tahsisli;6;İmalat;;1muhasebe@netisdepo.com;;;
A.g. Otomotiv İthalat İhracat Tarım Hayvancılık Nakliyat San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Isıtma ve Soğutma Sistemleri;3329991040;1hasan@retayarms.com;;;
A.S.C. Hidrolik Endüstrisi San.Ve Tic.A.Ş.;Tahsisli;3;Hidrolik;3322392541;info@blueascend.com;www.blueascend.com;blueascend.com;Büyükkayacık Osb Mah, Evrenköy Caddesi, No: 31
Abdullah Çimen-Özfatihler Vinç Mak.San.Tic.Ltd.Şti.;Tahsisli;4;Vinç Makinaları;4447592;muhasebe@ozfatihler.com.tr;www.ozfatihlervinc.com.tr;ozfatihlervinc.com.tr;Büyükkayacık Osb Mah, 404 Nolu Sokak, No: 2
Acar Sondaj Makina Otomotiv İnşaat Nakliye San. Ve Tic.ltd.şti.;Tahsisli;6;İmalat;5448765835;1destek@acarkardeslersondaj.com;;;Büyükkayacık Osb Mah, 613 Nolu Sokak, No: 7
Acıöz Petrol Hurdacılık Nakliye Demir Ürünleri Sanayi Ve Ticaret Limited Şirketi;Tahsisli;3;Geri Dönüşüm;;;;;Büyükkayacık Osb Mah, 7 Nolu Sokak, No: 19
Acv Süspansiyon Sistemleri A.Ş.;Tahsisli;3;Otomotiv Yedek Parça;3323101030;ceylan.umit@acvsuspension.com;www.acvsuspension.com;acvsuspension.com;Büyükkayacık Osb Mah, Vali İhsan Dede Caddesi, No: 9
Adeks Otom.Petrol Ve İnş.San.İth.İhr.Tic.Ltd.Şti.;Tahsisli;3;Plastik;3322518326;h-duzgun@windowslive.com;www.hikmetduzgunplastik.com;hikmetduzgunplastik.com;Büyükkayacık Osb Mah, 2 Nolu Sokak, No: 2
Adl Enerji Mühendislik Ltd.şti.;Tahsisli;6;Elektrik - Elektronik;5321396583;2adlenerji@hotmail.com;;;
Afo Mak.taş.otom.san.tic.ltd.şti.;Tahsisli;3;Metal;3322390888;afo@afomakina.com.tr;www.afomakina.com.tr;afomakina.com.tr;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 21
Afo Mak.taş.otom.san.tic.ltd.şti.;Tahsisli;3;Metal;3322390888;afo@afomakina.com.tr;www.afomakina.com.tr;afomakina.com.tr;Büyükkayacık Osb Mah, 18 Nolu Sokak, No: 6
Ages Güneş Enerjisi Isı Tar.Ve Sul.Sis.San.Tic.;Tahsisli;3;Elektrik - Elektronik ve Enerji;3323558844;bilgi@werna.com.tr;www.werna.com.tr;werna.com.tr;Büyükkayacık Osb Mah, 15 Nolu Sokak, No: 5
Agrikon Sulama Sistemleri Tarım Mak.san.tic.ltd.şti.;Kiracı;3;Sulama Sistemleri;;;;;Büyükkayacık Osb Mah, 6 Nolu Sokak, No: 11
Agro Hasat Tarım Mak.San. Ve Tic.Ltd.Şti.;Kiracı;2;Tarım Makinaları;3322369696;muhasebe@agrohasat.com;www.agrohasat.com;agrohasat.com;Büyükkayacık Osb Mah, Vezirköy Caddesi, No: 1
Agropak Hayvancılık Tarım Tekstil San. Ve Tic.ltd.şti.;Kiracı;3;Makina;3322481487;mehmet@agropak.com.tr;www.agropak.com.tr;agropak.com.tr;Büyükkayacık Osb Mah, 15 Nolu Sokak, No: 10
Agropak Hayvancılık Tarım Tekstil San. Ve Tic.ltd.şti.;Tahsisli;6;Makina;3322481487;mehmet@agropak.com.tr;www.agropak.com.tr;agropak.com.tr;Büyükkayacık Osb Mah, 621 Nolu Sokak, No: 8
Agrose Makine Tarım Gıda Tekstil İnş.san. Ve Tic.ltd.şti.;Kiracı;4;Makina;3323460212;info@agrose.com;www.agrose.com;agrose.com;Büyükkayacık Osb Mah, 405 Nolu Sokak, No: 8
Agrowork Internatıonal Tarım Gıda San.Tic.Ltd.Şti.;Kiracı;3;Makina;4448215;ismail@awi.com.tr;https://awi.com.tr;awi.com.tr;Büyükkayacık Osb Mah, 2 Nolu Sokak, No: 8
Agsan Anadolu Gübra San.tar.gıda Nak.ith.ihr.paz Ve Tic.ltd.şti.;Kiracı;3;Gübre;;muhasebe@agsangubre.com;www.agsangubre.com;agsangubre.com;Büyükkayacık Osb Mah, 20 Nolu Sokak, No: 8
Agsan Anadolu Gübra San.tar.gıda Nak.ith.ihr.paz Ve Tic.ltd.şti.;Kiracı;3;Gübre;;muhasebe@agsangubre.com;www.agsangubre.com;agsangubre.com;Büyükkayacık Osb Mah, 15 Nolu Sokak, No: 16
Ah-Met Asansör San. Ve Tic.Ltd.Şti.;Tahsisli;3;Asansör ve Ekipmanları;3322379905;bilgi@ahmetasansor.com.tr;www.ahmetasansor.com.tr;ahmetasansor.com.tr;Büyükkayacık Osb Mah, T.Ziyaeddin Akbulut Caddesi, No: 16
Ahen Otomotiv İç Ve Dış Tic.san.ltd.şti.;Tahsisli;3;Otomotiv Yedek Parça;;;;;Büyükkayacık Osb Mah, 6 Nolu Sokak, No: 3
Ahkemak Metalürji Makine Ve Otomotiv Yedek Parçaları San.ve Tic.ltd.şti.;Tahsisli;2;Makina;3322482365;destek@ahkemak.com.tr;www.ahkemak.com.tr;ahkemak.com.tr;Büyükkayacık Osb Mah, Karahisar Sokak, No: 7
Ahmet Hodoğlugil;Kiracı;3;İmalat;3322517272;info@zinnurzincir.com;https://zinnurzincir.com;zinnurzincir.com;Büyükkayacık Osb Mah, 19 Nolu Sokak, No: 3
Ahmet Nemutlu Pompa Sondaj Met.otom.san.ve Tic.ltd.şti.;Tahsisli;6;İmalat;3323454474;fatih@ahmetnemutlumetal.com;;;Büyükkayacık Osb Mah, 624 Nolu Sokak, No: 6
Ahmet Saydam;Tahsisli;2;Diğer;3322391128;itimatsaydam@gmail.com;;;Büyükkayacık Osb Mah, Karahisar Sokak, No: 10
Ahmet Tekeci Döküm Otomotiv Makina San. Ve Tic.Ltd.Şti.;Tahsisli;2;Döküm;3322392398;ocevik@atdmakina.com.tr;www.atdmakina.com.tr;atdmakina.com.tr;Büyükkayacık Osb Mah, Karahisar Sokak, No: 16
Ahmet Tekeci Döküm Otomotiv Makina San. Ve Tic.Ltd.Şti.;Tahsisli;6;Döküm;3322392398;ocevik@atdmakina.com.tr;www.atdmakina.com.tr;atdmakina.com.tr;Büyükkayacık Osb Mah, 603 Nolu Sokak, No: 26
Ahmet Tekeci Döküm Otomotiv Makina San. Ve Tic.Ltd.Şti.;Tahsisli;2;Döküm;3322392398;ocevik@atdmakina.com.tr;www.atdmakina.com.tr;atdmakina.com.tr;Büyükkayacık Osb Mah, Karahisar Sokak, No: 18
Ahs Anadolu Endüstri Makine Otomotiv Sanayi Ve Ticaret A.ş.;Kiracı;3;Otomotiv Yedek Parça;3322391333;info@ahs.com.tr;www.ahs.com.tr;ahs.com.tr;Büyükkayacık Osb Mah, 19 Nolu Sokak, No: 6
Ahy Enerji Çelik Petrol Ürünleri Ve Geri Dönüşüm San. Ve Tic. Ltd Şti.;Kiracı;3;Elektrik - Elektronik ve Enerji;3323211367;yilmazsmmm42@hotmail.com;;;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 31
Ak-Set Nakliye Madencilik Ve Turizm San. Ve Tic.Ltd.Şti.;Tahsisli;3;Otomotiv Yedek Parça;3322517300;info@ak-set.com.tr;www.ak-set.com.tr;ak-set.com.tr;Büyükkayacık Osb Mah, 3 Nolu Sokak, No: 10
Akap Plastik Amb.san.tic.ltd.şti.;Kiracı;3;Plastik;3325021617;crm@akap.com.tr;www.akap.com.tr;akap.com.tr;Büyükkayacık Osb Mah, T.Ziyaeddin Akbulut Caddesi, No: 11
Akc Hid.mak. San. Ve Tic.ltd.şti.;Tahsisli;6;Vinç Makinaları;3323463399;info@akcmakine.com.tr;https://www.akcmakine.com.tr;akcmakine.com.tr;Büyükkayacık Osb Mah, 610 Nolu Sokak, No: 13
Akçelik Demir Çelik San. Ve Tic.a.ş.;Kiracı;3;Metal;;1yavuz.kilic@akcelik.com.tr;;;Büyükkayacık Osb Mah, 509 Nolu Sokak, No: 22
Akçelik Demir Çelik San. Ve Tic.a.ş.;Ön Tahsisli;6;Metal;;1yavuz.kilic@akcelik.com.tr;;;
Akdeniz Cam Alüminyum Ve Metal San.tic.a.ş.;Tahsisli;2;Ev Gereçleri;3322366166;akdeniz@akdenizcam.com;www.akdenizcam.com;akdenizcam.com;Büyükkayacık Osb Mah, Kırım Caddesi, No: 10
Akdeniz Cam Alüminyum Ve Metal San.tic.a.ş.;Tahsisli;5;Ev Gereçleri;3322366166;akdeniz@akdenizcam.com;www.akdenizcam.com;akdenizcam.com;Büyükkayacık Osb Mah, 512 Nolu Sokak, No: 8
Ake Endüstri Dış Tic.a.ş.;Tahsisli;6;Elektrik - Elektronik;;;;;
Akın Makina Otomotiv San.Ve Tic.Ltd.Şti.;Tahsisli;4;Otomotiv Yedek Parça;3323450105;muhasebe@akinmakina.com.tr;www.akinmakina.com.tr;akinmakina.com.tr;Büyükkayacık Osb Mah, 409 Nolu Sokak, No: 1
Akın Traktör Ve Demiryolları Yedek Parça İml.ith.ihr.ltd.şti.;Kiracı;2;Otomotiv Yedek Parça;3322510771;mustafaakin@gmail.com;;;Büyükkayacık Osb Mah, Güneştepe Sokak, No: 8
Akış Asansör Makina Motor Döküm San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Asansör ve Ekipmanları;3322390729;info@akisasansor.com.tr;www.akisasansor.com.tr;akisasansor.com.tr;
Akış Asansör Makina Motor Döküm San. Ve Tic.ltd.şti.;Tahsisli;4;Asansör ve Ekipmanları;3322390729;info@akisasansor.com.tr;www.akisasansor.com.tr;akisasansor.com.tr;Büyükkayacık Osb Mah, 422 Nolu Sokak, No: 11
Akış Asansör Makina Motor Döküm San. Ve Tic.ltd.şti.;Tahsisli;5;Asansör ve Ekipmanları;3322390729;info@akisasansor.com.tr;www.akisasansor.com.tr;akisasansor.com.tr;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 22
Akış Asansör Makina Motor Döküm San. Ve Tic.ltd.şti.;Tahsisli;4;Asansör ve Ekipmanları;3322390729;info@akisasansor.com.tr;www.akisasansor.com.tr;akisasansor.com.tr;Büyükkayacık Osb Mah, 103. Cadde, No: 18
Akış Asansör Makina Motor Döküm San. Ve Tic.ltd.şti.;Tahsisli;3;Asansör ve Ekipmanları;3322390729;info@akisasansor.com.tr;www.akisasansor.com.tr;akisasansor.com.tr;Büyükkayacık Osb Mah, 6 Nolu Sokak, No: 2
Akış Kablo San. Ve Tic.Ltd.Şti.;Kiracı;4;Elektrik - Elektronik ve Enerji;;bilgi@akiskablo.com;www.akiskablo.com;akiskablo.com;Büyükkayacık Osb Mah, 407 Nolu Sokak, No: 3/1
Akkar Dingil Sanayi Ve Ticaret Limited Şirketi;Tahsisli;5;İmalat;3323450561;info@akkargroup.com;https://akkargroup.com;akkargroup.com;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 3
Akko Mak.san. Ve Tic.a.ş.;Tahsisli;5;İmalat;3322391757;ahmet@akko.com.tr;www.akko.com.tr;akko.com.tr;Aşağıpınarbaşı Osb Mah, 526 Nolu Sokak, No: 1
Akkon Plastik Amb.Mak.Otom.San.Ve Tic.Ltd.Şti.;Tahsisli;3;Plastik;3322392496;muhasebe@akkonplast.com;www.akkonplast.com;akkonplast.com;Büyükkayacık Osb Mah, 18 Nolu Sokak, No: 14
Akkuş Döküm Sanayi Ve Ticaret Limited Şirketi;Tahsisli;4;Otomotiv Yedek Parça;3322392130;contact@frenka.com.tr;https://www.frenka.com.tr;frenka.com.tr;Büyükkayacık Osb Mah, 412 Nolu Sokak, No: 3
Akkuş Kalıp Alüminyum Plastik Metal San. Ve Tic.ltd.şti.;Tahsisli;6;İmalat;3323452702;bilgi@akkuskalip.com;www.akkuskalip.com;akkuskalip.com;
Akona Mustafa Akpınar Plastik Ziraat Ve Gıda San.Ve Tic.Ltd.Şti.;Ön Tahsisli;6;Plastik;3323340388;cengiz@akona.com.tr;www.akona.com.tr;akona.com.tr;
