FirmaAdi;WebSitesi;Domain;Email
"ADA HASIR ÇELİK SAN.VE TİC.LTD.ŞTİ.";"";"adahasircelik.com";"ada@adahasircelik.com"
"AKONİ KİMYA BİLGİ TEKN.SAN.VE TİC.A.Ş.";"";"yalcinagaoglu.com.tr";"iletisim@yalcinagaoglu.com.tr"
"AKS ENERJİ SAC ÜRÜNLERİ DEMİR ÇELİK SAN.VE TİC.LTD.ŞTİ.";"";"samsunakenerji.com.tr";"info@samsunakenerji.com.tr"
"ALİ ÖZKAN";"";"";"ozkanmakine80@gmail.com"
"ALMETSAN YAPI ELEMANLARI SAN.A.Ş. OSMANİYE 1 ŞBESİ";"";"almetsan.com.tr";"info@almetsan.com.tr"
"AMANOS ORMAN ÜRN.İNŞ. NAK.SAN.TİC.LTD.ŞTİ.";"";"";"amanoskereste@hotmail.com"
"ARCELORMİTTAL RZK ÇELİK SERVİSİ MERKEZİ SAN.VE TİC.A.Ş.";"";"rzkcelik.com";"ahmet.taskapan@rzkcelik.com"
"ARS ÇELİK KONSTRÜKSİYON. İMALAT. SAN. VE TİC. LTD.ŞTİ.";"";"arscelik.com.tr";"info@arscelik.com.tr"
"ATLAS KİMYASAL İTH.İHR.SAN.TİC.";"";"atlaskimyasal.com";"info@atlaskimyasal.com"
"ATM MÜH.MAD.İNŞ.SAN.VE TİC.LTD.ŞTİ";"";"";"atmmermer@hotmail.com"
"AY PROFİL SAN VE TİC. LTD.ŞTİ.";"";"ayprofil.com";"ayprofil@ayprofil.com"
"AYGAZ ANONİM ŞİRKETİ";"";"aygaz.tr";"bulent.dikener@aygaz.tr"
"BAKIRLAR TEKSTİL SAN.VE TİC.AŞ.";"";"bakirlar.com.tr";"info@bakirlar.com.tr"
"BAŞTUĞ YAPI VE BÜRO MOBİLYALARI SAN. AŞ.";"";"bstoffice.com.tr";"info@bstoffice.com.tr"
"BETONG YAPI SANAYİ VE TİCARET .A.Ş.";"";"betongyapi.com";"info@betongyapi.com"
"BEYTEKS TEKSTİL SANAYİ VE TİC.A.Ş.";"";"beytekstekstil.com";"beyteks@beytekstekstil.com"
"BİTEKS İPLİK SANAYİ VE TİC.A.Ş.";"";"biteksiplik.com";"biteks@biteksiplik.com"
"BODUR METALURJİ SAN. TİC. LTD. ŞTİ.";"";"";"bodurmetalurji@gmail.com"
"BULUT TEKSTİL SAN.TİC.LTD.ŞTİ.";"";"buluttekstil.com";"info@buluttekstil.com"
"CANSAN METALURJİ SAN.VE TİC.LTD.ŞTİ.";"";"cansanmetalurji.com";"cansan2004@cansanmetalurji.com"
"CROWN BEVCAN TÜRKİYE AMBALAJ SAN.VE TİC.SAN.VE TİC.LTD.ŞTİ.";"";"eur.crowncork.com";"serdar.ozen@eur.crowncork.com"
"CRT METAL SANAYİ VE TİCARET LTD.ŞTİ.";"";"crtmetal.com";"muhasebe@crtmetal.com"
"ÇEZİKLER KESKİNLER METAL SAN.TİC.LTD.ŞTİ.";"";"";"ceziklerkeskinler@gmail.com"
"ÇEZİKLER LOJİSTİK PET. ÜR. İNŞ. MOT. TAŞ. SAN. VE TİC. LTD. ŞTİ.";"";"cezikler.com";"operasyon@cezikler.com"
