Okul Adı;Şehir;Kategori;Telefon;Web Sitesi;Domain;Adres
ABDULLAH YÜKSEL İVME ANADOLU LİSESİ;Ankara;Lise;03122363220;https://anadolu.ivmeegitim.com.tr/anasayfa/;anadolu.ivmeegitim.com.tr;ÜMİT MAH. 2546 SK. NO: 1
ADANA FİNAL EĞİTİM KURUMLARI ANADOLU LİSESİ;Adana;Lise;3 222 482 56 5_;http://www.finalokullari.com.tr;finalokullari.com.tr;BELEDİYE EVLER MAHALLESİ 84186 SOKAK NO:1 ÇUKUROVA/ADANA
ADANA FİNAL EĞİTİM KURUMLARI ANAOKULU;Adana;Okul Öncesi;3222482565;http://www.finalokullari.com.tr;finalokullari.com.tr;GÜRSELPAŞA MAH. 75120 SK. NO: 57 İÇ KAPI NO: 1 SEYHAN / ADANA
ADANA FİNAL EĞİTİM KURUMLARI FEN LİSESİ;Adana;Lise;3 222 482 56 5_;http://www.finalokullari.com.tr;finalokullari.com.tr;BELEDİYE EVLER MAHALLESİ 84186 SOKAK NO:1 ÇUKUROVA/ADANA
ADANA FİNAL EĞİTİM KURUMLARI İLKOKULU;Adana;İlköğretim;3222482565;http://www.finalokullari.com.tr;finalokullari.com.tr;BELEDİYE EVLER MAHALLESİ 84186 SOKAK NO:1 ÇUKUROVA/ADANA
ADANA FİNAL EĞİTİM KURUMLARI ORTAOKULU;Adana;Ortaokul;3222482565;http://www.finalokullari.com.tr;finalokullari.com.tr;BELEDİYE EVLER MAHALLESİ 84186 SOKAK NO:1 ÇUKUROVA/ADANA
ADANA KOLEJİ ANADOLU  LİSESİ;Adana;Lise;0 322 444 67 68;http://www.adanakoleji.k12.tr;adanakoleji.k12.tr;YENİBARAJ MH. NURSULTAN NAZARBAYEV BLV.. NO.15 SEYHAN / ADANA
ADANA KOLEJİ FEN LİSESİ;Adana;Lise;0 322 444 67 68;http://www.adanakoleji.k12.tr;adanakoleji.k12.tr;BARAJ YOLU 5.DURAK SEYHAN/ADANA
ADANA KOLEJİ İLKOKULU;Adana;İlköğretim;03224446768;http://www.adanakoleji.k12.tr;adanakoleji.k12.tr;YENİBARAJ MAH. NURSULTAN NAZARBAYEV BUL. ADANA KOLEJİ SİTESİ NO: 15
ADANA KOLEJİ ORTAOKULU;Adana;Ortaokul;03224446768;http://www.adanakoleji.k12.tr;adanakoleji.k12.tr;YENİBARAJ MH. NURSULTAN NAZARBAYEV BLV.. NO.15 SEYHAN / ADANA
AĞRI DOĞA ANADOLU LİSESİ;Ağrı;Lise;05054003304;http://bilgikoleji.net;bilgikoleji.net;MURAT MAH. KURTULUŞ CAD. BİLGİ KOLEJİ BLOK NO: 171
AĞRI DOĞA İLKOKULU;Ağrı;İlköğretim;04722165777;http://bilgikoleji.net;bilgikoleji.net;MURAT MAH. KURTULUŞ CAD. BİLGİ KOLEJİ BLOK NO: 171
AĞRI DOĞA ORTAOKULU;Ağrı;Ortaokul;05056595771;http://bilgikoleji.net;bilgikoleji.net;MURAT MAH. KURTULUŞ CAD. BİLGİ KOLEJİ BLOK NO: 171
AKDENİZ YÜKSELİŞ EĞİTİM KURUMLARI ANADOLU LİSESİ;Antalya;Lise;02427226401;http://akdenizyukseliskoleji.k12.tr;akdenizyukseliskoleji.k12.tr;ORTA MAH. 1245 SK. NO: 2-2 İÇ KAPI NO: 1 SERİK / ANTALYA
AKDENİZ YÜKSELİŞ EĞİTİM KURUMLARI ANAOKULU;Antalya;Okul Öncesi;2427226400;http://akdenizyukseliskoleji.k12.tr;akdenizyukseliskoleji.k12.tr;ORTA MAH. 1245 SK. NO: 2-2 İÇ KAPI NO: 1 SERİK / ANTALYA
