"Kaynak";"Kategori";"FirmaAdi";"WebSitesi";"Domain"
"T-Soft";"Elektrikli Ev Aletleri";"arzum.com.tr";"https://www.arzum.com.tr";"arzum.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"simfer.com.tr";"https://www.simfer.com.tr";"simfer.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"fakir.com.tr";"https://www.fakir.com.tr";"fakir.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"phaksesuar.com";"https://www.phaksesuar.com";"phaksesuar.com"
"T-Soft";"Elektrikli Ev Aletleri";"arnica.com.tr";"https://www.arnica.com.tr";"arnica.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"fantomshop.com";"https://www.fantomshop.com";"fantomshop.com"
"T-Soft";"Elektrikli Ev Aletleri";"shop delonghi.com.tr";"https://www.shop.delonghi.com.tr";"shop.delonghi.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"neutronlife.com";"https://www.neutronlife.com";"neutronlife.com"
"T-Soft";"Elektrikli Ev Aletleri";"schneiderlife.com.tr";"https://schneiderlife.com.tr";"schneiderlife.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"rangeturkiye.com.tr";"https://rangeturkiye.com.tr";"rangeturkiye.com.tr"
"T-Soft";"Elektrikli Ev Aletleri";"onvo.com.tr";"https://onvo.com.tr";"onvo.com.tr"
"T-Soft";"Elektronik";"hpstore.com.tr";"https://www.hpstore.com.tr";"hpstore.com.tr"
"T-Soft";"Elektronik";"sunny.com.tr";"https://sunny.com.tr";"sunny.com.tr"
"T-Soft";"Elektronik";"bowerswilkins.com.tr";"https://bowerswilkins.com.tr";"bowerswilkins.com.tr"
"T-Soft";"Elektronik";"gunceldijital.com.tr";"https://www.gunceldijital.com.tr";"gunceldijital.com.tr"
"T-Soft";"Elektronik";"technofashionglobal.com";"https://technofashionglobal.com";"technofashionglobal.com"
"T-Soft";"Elektronik";"teknostore.com";"https://www.teknostore.com";"teknostore.com"
"T-Soft";"Elektronik";"toshiba klima.com.tr";"https://www.toshiba-klima.com.tr";"toshiba-klima.com.tr"
"T-Soft";"Elektronik";"digicomshop.com";"https://www.digicomshop.com";"digicomshop.com"
"T-Soft";"Elektronik";"nilco.com.tr";"https://nilco.com.tr";"nilco.com.tr"
"T-Soft";"Elektronik";"braunshop.com.tr";"https://www.braunshop.com.tr";"braunshop.com.tr"
