Kaynak;FirmaAdi;WebSitesi;Domain;Email
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"AKÇANSA ÇİMENTO SAN. VE TİC. A.Ş.";"https://www.akcansa.com.tr";"akcansa.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ALUFORM PEKİNTAŞ A.Ş.";"https://aluform.com.tr/";"aluform.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ARDEX YAPI MALZEMELERİ LTD. ŞTİ.";"https://www.ardex.com.tr";"ardex.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ASPEN YAPI VE ZEMİN SİSTEMLERİ SAN. VE TİC. A.Ş.";"https://www.aspen.com.tr";"aspen.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ASSAN ALÜMİNYUM SAN. VE TİC. A.Ş.";"https://www.assanaluminyum.com";"assanaluminyum.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ATIŞKAN YAPI VE END. ALÇI ÜR. SAN. TİC. A.Ş.";"http://www.atiskanalci.com";"atiskanalci.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"AUSTROTHERM YALITIM MALZ. SAN. VE TİC. LTD. ŞTİ.";"https://www.austrotherm.com.tr";"austrotherm.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"BAUMİT İNŞ. MALZ. SAN. TİC. LTD. ŞTİ.";"https://www.baumit.com.tr";"baumit.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"BAYMAK MAK. SAN. VE TİC. A.Ş.";"https://www.baymak.com.tr";"baymak.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"BETEK BOYA VE KİMYA SAN. A.Ş.";"https://www.betek.com.tr";"betek.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"BOSTİK KİMYA SAN. VE TİC. A.Ş.";"https://www.bostik.com/turkey/tr";"bostik.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ÇİMSA ÇİMENTO SAN. VE TİC. A.Ş.";"https://cimsa.com.tr";"cimsa.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ÇUHADAROĞLU METAL SAN. VE PAZ. A.Ş.";"https://www.cuhadaroglu.com";"cuhadaroglu.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"DALSAN ALÇI SAN. VE TİC. A.Ş.";"https://www.dalsan.com.tr";"dalsan.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"DEKOR AHŞAP ÜRÜNLERİ SAN. A.Ş.";"http://www.lineadecor.com.tr";"lineadecor.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"DÖRKEN SİSTEM YAPI MALZ. GERİ DÖN. HAM. SAN. TİC. A.Ş";"https://www.doerken.com/tr";"doerken.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"DYO BOYA FAB. SAN. VE TİC. A.Ş.";"https://www.dyo.com.tr";"dyo.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ECZACIBAŞI YAPI GEREÇLERİ SAN. TİC. A.Ş.";"https://www.eczacibasiyapigerecleri.com/";"eczacibasiyapigerecleri.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"EGE PROFİL TİC. VE SAN. A.Ş.";"https://www.egeprofil.com.tr/tr";"egeprofil.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"EGEPLAST EGE PLASTİK TİC. VE SAN. A.Ş";"http://www.egeplast.com.tr";"egeplast.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"EJOT TEZMAK BAĞLANTI ELEMANLARI TEKNOLOJİLERİ SAN. VE TİC. A.Ş.";"https://www.ejot-tezmak.com";"ejot-tezmak.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ENTEGRE HARÇ SAN. VE TİC. A.Ş.";"https://www.entegreharc.com.tr";"entegreharc.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ERYAP GRUP YALITIM MALZEMELERİ SAN. VE TİCARET A.Ş.";"https://www.eryapgrup.com.tr";"eryapgrup.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"FIRAT PLASTİK KAUÇUK SAN. VE TİC. A.Ş.";"https://www.firat.com";"firat.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"FİBROBETON YAPI ELEMANLARI SANAYİ İNŞAAT VE TİCARET A.Ş.";"https://fibrobeton.com.tr";"fibrobeton.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"FİXA YAPI KİMYASALLARI SAN. TİC. LTD. ŞTİ.";"https://www.fixa.com.tr";"fixa.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"FOX BAU YAPI KİMYASALLARI ANONİM ŞİRKETİ";"https://www.foxbau.com";"foxbau.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"GENTAŞ DEKORATİF YÜZEYLER SAN. VE TİC. A.Ş.";"https://www.gentas.com.tr";"gentas.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"GEORG FISCHER HAKAN PLASTİK BORU VE PROFİL SAN. TİC. A.Ş.";"http://www.hakan.com.tr";"hakan.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"GRUNDFOS POMPA SAN. VE TİC. LTD. ŞTİ.";"https://www.grundfos.com/tr";"grundfos.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"GÜNSAN ELEKT. MALZ. SAN. VE TİC. A.Ş.";"https://www.gunsanelectric.com";"gunsanelectric.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"HEKİM YAPI END. SAN. TİC. A.Ş.";"https://www.hekimyapi.com";"hekimyapi.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"IŞIKLAR İNŞAAT MALZ. SAN. VE TİC. A.Ş.";"https://www.isiklar.com.tr/";"isiklar.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"İZOCAM TİC. VE SAN. A.Ş.";"https://www.izocam.com.tr";"izocam.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"JOTUN BOYA SAN. VE TİC. A.Ş.";"https://www.jotun.com/tr-TR/products-and-services/products";"jotun.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KALE KİLİT VE KALIP SAN. A.Ş.";"https://www.kalekilit.com.tr";"kalekilit.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KALEKİM KİMYEVİ MADDELER SAN. VE TİC. A.Ş.";"https://www.kalekim.com";"kalekim.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.";"https://www.kale.com.tr";"kale.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KARAVİL ÇİMENTO SAN.VE TİC.A.Ş.";"https://www.karavilgrup.com.tr";"karavilgrup.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KİLSAN KİL SAN. VE TİC. A.Ş.";"https://www.kilsan.com";"kilsan.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KİNGSPAN YAPI ELEMANLARI A.Ş.";"https://www.kingspan.com/tr/en/";"kingspan.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KNAUF A.Ş.";"https://knauf.com/tr-TR";"knauf.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KNAUF INSULATION İZOLASYON SAN. VE TİC.A.Ş";"http://www.knaufinsulation.com.tr";"knaufinsulation.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KONE ASANSÖR SAN. VE TİC. A.Ş.";"https://www.kone.com.tr";"kone.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KORAMIC YAPI KİMYASALLARI SAN. VE TİC. A.Ş.";"https://koramic.com.tr";"koramic.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MAKRO TEKNİK END. ÜRÜN. MAK. İML. SAN. TİC. A.Ş.";"https://www.makroteknik.com.tr";"makroteknik.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MAPEI YAPI KİMYASALLARI İNŞ. SAN. VE TİC. A.Ş.";"https://www.mapei.com/tr/tr";"mapei.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MARSHALL BOYA VE VERNİK SAN. A.Ş.";"https://www.marshallboya.com";"marshallboya.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MAS-DAF MAKİNA SAN. A.Ş.";"https://masdaf.com";"masdaf.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MEGATAŞ TAŞYÜNÜ İZOLASYON SAN. VE TİC. A.Ş.";"https://www.megatas.com.tr/";"megatas.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MEKPAN PANEL A.Ş.";"https://mekpanpanel.com";"mekpanpanel.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ODE YALITIM SANAYİ VE TİCARET A.Ş.";"https://www.ode.com.tr";"ode.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ONDULİNE AVRASYA İNŞ. MALZ. SAN. VE TİC. A.Ş.";"https://www.onduline.com.tr";"onduline.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"PREFABRİK YAPI İNŞAAT SANAYİ VE TİCARET A.Ş.";"https://www.prefabrikyapi.com/";"prefabrikyapi.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SAINT-GOBAIN WEBER YAPI KİMYASALLARI A.Ş.";"https://www.tr.weber/";"tr.weber";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SCHNEIDER ELEKTRİK SAN. VE TİC. A.Ş.";"https://www.se.com/tr/tr/";"se.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SELENA YAPI MALZEMELERİ SAN. TİC. LTD. ŞTİ.";"https://www.selenaturk.com.tr";"selenaturk.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SERANİT GRANİT SERAMİK SAN. VE TİC. A.Ş.";"https://www.seranit.com.tr";"seranit.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SİKA YAPI KİMYASALLARI A.Ş.";"https://tur.sika.com/tr";"tur.sika.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SÖZERİ ENDÜSTRİ ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.";"https://www.tic-m.com";"tic-m.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"STANDART İZOLASYON VE YAPI MATER. SAN. TİC. A.Ş.";"https://www.standartizolasyon.com";"standartizolasyon.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TEKNOBİMS İZOLASYONLU HAFİF YAPI ELEMANLARI A.Ş.";"https://www.teknobims.com.tr";"teknobims.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TEPE BETOPAN YAPI MALZEMELERİ SAN. TİC. A.Ş.";"https://www.betopan.com.tr";"betopan.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TİS DEPREM TEKNOLOJİLERİ SAN. VE TİC. A.Ş.";"https://tis.com.tr";"tis.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TMS TÜFEKÇİOĞLU MÜHENDİSLİK SAN. VE TİC. A.Ş.";"https://tmskalip.com";"tmskalip.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TREYSAN PREFABRİK ÇELİK YAPILAR SAN. TİC. A.Ş.";"https://www.treysan.com.tr";"treysan.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TÜRK DEMİRDÖKÜM FAB. A.Ş.";"https://www.demirdokum.com.tr";"demirdokum.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TÜRK YTONG SAN. AŞ.";"https://www.ytong.com.tr";"ytong.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.";"https://www.sisecam.com";"sisecam.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"UMS UĞUR METAL SANAYİ A.Ş.";"https://umsmetal.com.tr";"umsmetal.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"VALFSEL ARMATÜR SAN. VE TİC. A.Ş.";"http://www.valfsel.com.tr";"valfsel.com.tr";""
"MESBAS (Mersin Serbest Bölgesi)";"3E-DİZAYN Mim.İnş.Mob.Tur.Bilişim Hiz.San.ve Tic.Ltd.Şti.Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"7BROS Tekstil Konfeksiyon San. Ve Tic. A.Ş.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"A-Z Teks.San.Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ACE Dış Tic.Ltd.Şti.Mersin Serbest Bölge Şb.";"";"";""
