OSB;FirmaAdi;WebSitesi;Domain;Email
"ASO 2.ve 3. Ankara OSB";"4U AUTOMOTIVE INTERNATIONAL YEDEK PARÇA SANAYİ VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"A OTOMOTİV CAM SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ABGR METALURJİ İNŞAAT TURİZM İÇ VE DIŞ TİC A.Ş";"";"";""
"ASO 2.ve 3. Ankara OSB";"AÇIKEL DAĞITIM PAZ. VE DIŞ. TİC. LTD. ŞTİ.";"https://acikel.com.tr/";"acikel.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ADEZZA YAPI SİSTEMLERİ ANONİM ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"AKSÖZ MAKİNA SANAYİ VE TİCARET LTD. ŞTİ.";"https://aksoz.com.tr/";"aksoz.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AKTAŞ MEKANİK ALÜMİNYUM İTH. İHR. SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALMAŞ ALÜMİNYUM SAN. VE TİC. A.Ş";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALMAŞ ALÜMİNYUM SANAYİ VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALSAN GRUP ALÜMİNYUM İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALTES ALÜMİNYUM SANAYİ VE İNŞ. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALUEX ALÜMİNYUM ANONİM ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALYANS ÇELİK METAL İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALYANS ÇELİK METAL İNŞ. TAAH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ALYANS ÇELİK METAL İNŞAAT TAAHHÜT SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ANADOLU RADYANT ISI SİSTEMLERİ SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ANKAEMS ELEKTROMEKANİK SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ANKARA HAMAK MAKİNA SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ANKARA TİCARET ODASI";"https://www.atonet.org.tr/";"atonet.org.tr";""
"ASO 2.ve 3. Ankara OSB";"ANTES ÇELİK BORU SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARANGÜL PLASTİK KALIP SANAYİ VE TİC. LTD. ŞTİ";"https://www.arangul.com.tr";"arangul.com.tr";""
"ASO 2.ve 3. Ankara OSB";"Arangül Plastik Kalıp Sanayi ve Ticaret Limited Şirketi";"https://www.arangul.com.tr";"arangul.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ARCA BALİSTİK VE METAL SANAYİ A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARDIÇ CAM SANAYİ ANONİM ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARDIÇ KARDEŞLER CAM PAZARLAMA A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARF SAVUNMA VE HAVACILIK A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARMSTO KONNEKTÖR ANONİM ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARMTEK ELEKTRİK SANAYİ VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ARTI KOMPOZİT PAZARLAMA PROJE İNŞAAT İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ASDAŞ ASFALT KİMYASALLARI KİMYEVİ MADDELER PET. İNŞ. OTO. KİR. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://asdasglobal.com/tr";"asdasglobal.com";""
"ASO 2.ve 3. Ankara OSB";"ASK CHEMİCALS TR. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ASPAR ASANSÖR AKSAMLARI PAZ. SAN. TİC. A.Ş.";"https://aspar.com/";"aspar.com";""
"ASO 2.ve 3. Ankara OSB";"ASRON TEKNOLOJİ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ASTOR ENERJİ A.Ş.";"https://astoras.com.tr/";"astoras.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ASTOR TRANSFORMATÖR ENERJİ TURZ. İNŞ. VE PETROL SAN. TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ASYOL ASFALT TAAH. İNŞ. TAR. TİC.VE SANAYİ A.Ş.";"https://www.asyol.com.tr";"asyol.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AŞAN ÇELİK YAPI MAK. İNŞ. TURZ. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ATAGÜR MOBİLYA SAN. VE TİC. A.Ş.";"https://atagur.com";"atagur.com";""
"ASO 2.ve 3. Ankara OSB";"ATİKARTA REKLAMCILIK TELEKOMÜNİKASON İNŞ. ENERJİ ULAŞIM MÜŞAVİRLİK SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ATS ELEKTRONİK PANO SAN. TİC. LTD. ŞTİ.";"https://www.atspano.com.tr/";"atspano.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AUSTROTHERM YALITIM MALZ. SAN. VE TİC. LTD. ŞTİ.";"https://www.austrotherm.com.tr/";"austrotherm.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AVRASYA GALVANİZ METAL A.Ş.";"https://www.avrasyagalvaniz.com.tr/tr";"avrasyagalvaniz.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AYDIN ER TIBBİ VE SANAYİ GAZLARI MAK. İML. İNŞ. PET. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://aydinermakina.com.tr/";"aydinermakina.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AYOKİ METAL VE TEKNOLOJİ SAN. DIŞ TİC. LTD. ŞTİ.";"https://ayoki.com.tr/";"ayoki.com.tr";""
"ASO 2.ve 3. Ankara OSB";"AYSU YEDEK PARÇA MAKİNA OTO.NAK.İNŞ.SAN.VE TİC.LTD.ŞTİ.";"http://www.aysuyp.com/tr";"aysuyp.com";""
"ASO 2.ve 3. Ankara OSB";"AYYA İLERİ TEKNOLOJİK CEPHE SİSTEMLERİ İMALAT İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.";"https://www.ayyaileri.com/";"ayyaileri.com";""
"ASO 2.ve 3. Ankara OSB";"BAKER HUGHES PETROL SAHASI TECHİZAT VE HİZMETLERİ LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"BAŞARI TİCARET VE İLETİŞİM HİZMETLERİ A.Ş.";"https://basari.com.tr/";"basari.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BAŞERGÜN BOYA KİMYA VE İNŞAAT SAN. TİC. A.Ş.";"https://cubo.com.tr/";"cubo.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BAYSA SOLAR ENERJİ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"BEK ENDÜSTRİ İML. YAPI TAAH. İNŞ. TES. MAKİNA MÜH. MİM. SAN. VE TİC. LTD. ŞTİ.";"https://www.bekendustri.com/";"bekendustri.com";""
"ASO 2.ve 3. Ankara OSB";"BERA GRUP MÜH. MAK. İNŞ. SAN. VE TİC. LTD .ŞTİ.";"https://www.berasteel.com/";"berasteel.com";""
"ASO 2.ve 3. Ankara OSB";"BEŞİK RAF SİSTEMLERİ ANONİM ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"BETEX ÇELİK MAKİNE İMALAT VE PAZARLAMA LTD. ŞTİ.";"https://www.betex.com.tr/index.php";"betex.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BETONEL PREFABRİK BETON ELEMANLARI SAN. VE TİC. A.Ş.";"https://www.betonel.com.tr/";"betonel.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BEYAZBETON PREKAST MİMARLIK İNŞAAT SANAYİ VE TİCARET A.Ş.";"https://www.beyazbeton.com/tr";"beyazbeton.com";""
"ASO 2.ve 3. Ankara OSB";"BİASOL TIBBİ ÜRÜNLER A.Ş.";"";"";""
