Sıra No;İl;OSB Adı;Durum;Telefon;E-Posta;Web Sitesi;Adres;Firma Listesi
1;Adana;Adana Gıda İhtisas;KAMULAŞTIRMA YAPILIYOR;03226112004;info@agiosb.org;www.agiosb.org;Döşeme mah. 60041 sok. No:11 Yenikent Sabuncu İş Merkezi Kat:7 No:27 Seyhan - Adana;
2;Adana;Adana Hacı Sabancı;İŞLETMEDE (FAALİYETTE);(322) 394-5454;asistan@adanaorganize.org.tr;www.adanaorganize.org.tr;Çukurova Caddesi No.:4 (Ceyhan Yolu Üzeri 25 Km) Sarıçam - Adana;YAPILDI
3;Adana;Adana Karataş TDİ (Su Ürünleri);ALTYAPI HAZIRLANIYOR;3224580465;hassezer@gmail.com;www.adana.gov.tr/yikob;Adana Valiliği YİKOB, Döşeme mahallesi 60074 Sok. No:1 PK:01130 Seyhan - Adana;
4;Adana;Adana TDİ (Sera);ALTYAPI HAZIRLANIYOR;(850) 346-0101;hassezer@gmail.com;;Adana Ticaret Odası 2.Kat, Karasoku Mahallesi Abidinpasa Caddesi No:22 01010 Seyhan - Adana;
5;Adana;Ceyhan;İŞLETMEDE (FAALİYETTE);(322) 611-2004;bilgi@ceyhanosb.org;www.ceyhanosb.org;Ceyhan OSB, Sarımazı Mah. Tayseb Karşısı, 1025 Sk. No:3 Ceyhan - Adana;
6;Adana;Kozan;İŞLETMEDE (FAALİYETTE);(322) 516-4445;kozanosb@hotmail.com;www.kozanosb.org.tr;Kozan osb, Güneri Mahallesi, OSB 1. Sokak, No:8, Kozan - Adana;
7;Adıyaman;Adıyaman;İŞLETMEDE (FAALİYETTE);(416) 227-2727;adosab02@adiyamanosb.org.tr;www.adiyamanosb.org.tr;Türkiye Petrolleri Mahallesi Osb 1. Cadde No:6 - 02000 - Adıyaman;
8;Adıyaman;Adıyaman Gölbaşı;İŞLETMEDE (FAALİYETTE);(416) 781-6060;golbasi_osb@hotmail.com;;Gölbaşı Kaymakamlığı Şeflik Odası Kat 2, Hükümet Binası 02500 Gölbaşı - Adıyaman;
9;Adıyaman;Adıyaman Kahta;İŞLETMEDE (FAALİYETTE);(416) 726-1424;kahtaosb@gmail.com;www.kahtaosb.org.tr;Kahta Kaymakamlığı, Hürriyet Mah, Mustafa Kemal Cad, No:171/A, Kat : 3, Kahta - Adıyaman;
10;Adıyaman;Besni;İŞLETMEDE (FAALİYETTE);04163180882;besniosb@gmail.com;www.besniosb.org;Kaymakam Hasan Tütün Mah. Arif Atalay Bul. No:1/A KAT:1 Besni - Adıyaman;
11;Adıyaman;Örenli;PLANLAMA AŞAMASINDA;05071680748;kuyuluosb@gmail.com;;Alitaşı Mah. Atatürk Blv. Yeni Hükümet Binası 144/2 Kat:4 Merkez - Adıyaman;
12;Afyonkarahisar;Afyonkarahisar;İŞLETMEDE (FAALİYETTE);(272) 221-1465;bilgi@afyonosb.org.tr;www.afyonosb.org.tr;Osb Müdürlüğü 1.Cadde No:1-8 03030 Merkez - Afyonkarahisar;
13;Afyonkarahisar;Afyonkarahisar Bolvadin;İŞLETMEDE (FAALİYETTE);(272) 612-6386;bolvadinosb@hotmail.com;www.bolvadinosb.org.tr;Konak Mah. İstasyon Caddesi No:127-3 (Bolvadin Kaymakamlığı) - Bolvadin - Afyonkarahisar;
14;Afyonkarahisar;Afyonkarahisar Bolvadin TDİ(Besi);PLANLAMA AŞAMASINDA;(272) 612-5234;afyonkarahisarotb@gmail.com;www.afyonotb.org.tr;Bolvadin Belediyesi, Yenice Mahallesi Prof.Dr.Necmettin Erbakan Caddesi No 68 - Bolvadin - Afyonkarahisar;
15;Afyonkarahisar;Afyonkarahisar Çay Jeotermal Kaynaklı Sera TDİOSB;PLANLAMA AŞAMASINDA;(272) 213-7910;afyonkarahisarotb@gmail.com;www.afyonotb.org.tr;Afyonkarahisar İl Özel İdaresi, Dörtyol Mah. Kudüs Cad. No:1 Merkez - Afyonkarahisar;
16;Afyonkarahisar;Afyonkarahisar Dazkırı Dokuma ve Konfeksiyon;ALTYAPI HAZIRLANIYOR;(272) 421-2021;info@dazkiriosb.org.tr;dazkiriosb.org.tr;Kurtuluş Mh. Hükümet Cd. Hükümet Binası. No:28 Dazkırı-Afyonkarahisar;
17;Afyonkarahisar;Afyonkarahisar Emirdağ;İŞLETMEDE (FAALİYETTE);(272) 442-7272;emirdagosb@hotmail.com;www.emirdagosb.org.tr;Kuruca Köyü OSB Mahallesi, 2. Cadde No:2, Emirdağ - Afyonkarahisar;
18;Afyonkarahisar;Afyonkarahisar Merkez II;PLANLAMA AŞAMASINDA;(272) 311-7748;ina_nir@hotmail.com;www.afyon2osb.org.tr;Sinanpaşa Belediye Binası, 03850 Sinanpaşa - Afyonkarahisar;
19;Afyonkarahisar;Afyonkarahisar-Dinar;İŞLETMEDE (FAALİYETTE);(272) 353-0545;dinarosb@hotmail.com;www.dinarosb.org.tr;Adliye mahallesi, Adliye Caddesi, No:26 Hükümet Konağı Binası Kat:3 Dinar - Afyonkarahisar;
20;Afyonkarahisar;İscehisar Mermer İhtisas;İŞLETMEDE (FAALİYETTE);(272) 341-4878;info@iscehisarosb.org.tr;www.iscehisarosb.org.tr;İscehisar Mermer İhtisas Osb Müdürlüğü, 3. Cadde No: 6 İscehisar - Afyonkarahisar;
21;Afyonkarahisar;Sandıklı;İŞLETMEDE (FAALİYETTE);(272) 512-5701;cem_yavuz03@hotmail.com;;Sandıklı Osb, Hükümet Konağı Kat:3 Sandıklı - Afyonkarahisar;
22;Afyonkarahisar;Şuhut;İŞLETMEDE (FAALİYETTE);(272) 718-4180;info@suhutosb.org.tr;www.suhutosb.org.tr;Şuhut OSB, Belkaracaören Mevkii, 1.Cadde No:4 Merkez - Afyonkarahisar;
23;Ağrı;Ağrı;İŞLETMEDE (FAALİYETTE);04722157025;agriosb@yahoo.com;;Erzurum Cad. İl Özel İdaresi Ek Hizmet Binası Merkez - AĞRI;
24;Ağrı;Ağrı Diyadin (Sera) TDİ (Jeotermal);ALTYAPI HAZIRLANIYOR;(472) 511-3279;info@diyadintdiosb.org.tr;www.diyadintdiosb.org.tr;Atatürk Mah. İnönü Cad. Yibo Bahçesi No:211 Diyadin - Ağrı;
25;Aksaray;Aksaray;İŞLETMEDE (FAALİYETTE);4442268;info@aksarayosb.org.tr;www.aksarayosb.org.tr;Erenler Osb. Mah. Recep Tayyip Erdoğan Bulv. No:6 Taşpınar - Merkez - Aksaray;
26;Aksaray;Aksaray Eskil Tuz Gölü;İŞLETMEDE (FAALİYETTE);(382) 411-4005;eskil@etgo.com;www.aksarayeskilosb.org.tr;Aksaray Eskil Tuz Gölü OSB, Merkez Mah. Şehit Recep Bozdağ Cad. No:3/1 Eskil - Aksaray;
27;Aksaray;Aksaray Gülağaç Gülpınar;PLANLAMA AŞAMASINDA;(382) 434-2103;gulagacgulpinarosb@gmail.com;www.gulagacgulpinarosb.org;OSB, Meydan Mahallesi Hürriyet Caddesi No: 18/6 Gülağaç, Aksaray;
28;Aksaray;Aksaray Karkın TDİ (Jeo.Kayn.Sera);KAMULAŞTIRMA YAPILIYOR;05069344595;aksaraykargintdiosb@gmail.com;www.aksaraytdiosb.org.tr;Aksaray özel il idaresi, Yunus Emre, 15.Blv. No:2, 68200 Merkez - Aksaray;
29;Aksaray;Aksaray Ortaköy Yunus Emre;ALTYAPI HAZIRLANIYOR;(382) 351-8843;info@ortakoyyunusemreosb.org.tr;www.ortakoyyunusemreosb.org.tr;Ortaköy İlçesi İstiklal Mah. Şehit Mesut Çiftçi Cad. No:38 Ortaköy-Aksaray;
30;Aksaray;Aksaray Sarıyahşi;PLANLAMA AŞAMASINDA;03823112002;sariyahsiosb@outlook.com;;Şafaktepe Mahallesi, Cumhuriyet Bulvarı No:56 Sarıyahşi - Aksaray;
31;Aksaray;Aksaray Sultanhanı;KAMULAŞTIRMA YAPILIYOR;(382) 242-2011;bilgi@sultanhani.bel.tr;www.aksaraysultanhaniosb.org.tr;Sultanhanı Bld., Zafer Mahallesi Şehit Murat Caddesi No:1 68190 Sultanhanı / Aksaray;
32;Amasya;Amasya;İŞLETMEDE (FAALİYETTE);(358) 273-5363;info@amasyaosb.org.tr;www.amasyaosb.org.tr;Amasya - Çorum Karayolu 23.Km - Tahir Köse Cad. No:2 Pk 25 - Amasya;
33;Amasya;Amasya Merzifon;İŞLETMEDE (FAALİYETTE);(358) 513-5050;bilgi@merzifonosb.org.tr;www.merzifonosb.org.tr;Merzifon Osb, Ankara Asfaltı 2.Km Kümbet Hatun Osb Mah. 1.Bulvar No: 2/1 Merzifon - Amasya;
