firma_adi;adres;telefon;website;domain
11M ÇELİK İNŞAAT SAN. VE TİC. LTD. ŞTİ.;YENİŞEHİR MAH. OSMANLI BLV. AY PORT SİTESİ A BLOK NO:2-2/59 PENDİK İSTANBUL;+90 (216) 685-1316;;
25-ES TEKSTİL MEFRUŞAT MOBİLYA TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LTD. ŞTİ.;A.VEFIK PAŞA MAH.2.ORG.SAN.BÖL HÜNKAR CD. KAT.1 KESTEL BURSA;+90 (224) 373-0209;http://www.yukseller.com.tr;yukseller.com.tr
2A PLASTİK SANAYİ VE TİCARET A.Ş.;KURTUL MAH YALOVA YOLU CAD NO:149 GEMLİK BURSA;+90 (224) 000-0000;;
2AS YAŞ MEYVE SEBZE TURİZM PETROL ÜRÜNLERİ NAKLİYAT SANAYİ VE TİCARET LTD.ŞTİ.;KUMLUKALAN MAH. SAMANLI CAD. NO.37 GÜRSU BURSA;+90 (224) 392-2423;;
2BY REKLAMCILIK TABELA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;GÖRÜKLE MAH.ÜNİVERSİTE 1 CAD.NO:933 D:120 YUMURTALIK BURSA;+90 (224) 000-0000;;
2C TRANSPORT LOJİSTİK PAZARLAMA İTH İHR. LTD. ŞTİ.;ADALET MAH. MANAS BLV. NO:39/2511 BAYRAKLI İZMİR;+90 (232) 000-0000;;
2E DIŞ TİCARET DANIŞMANLIK LTD. ŞTİ.;NİŞANTAŞI MAH. GENÇAY SOK. NO:54/107 SELÇUKLU KONYA;+90 (332) 000-0000;;
2E MOBİLYA İNŞAAT TURİZM İTHALAT İHRACAT LİMİTED ŞİRKETİ;SEPETLİPINAR MAH. ARPALIK CAD. KÜÇÜK SANAYİ SİTESİ NO:118/22 KAPI : 6 BAŞİSKELE KOCAELI;+90 (262) 000-0000;;
2E PLASTİK BİLİŞİM VE ENERJİ TEKNOLOJİLERİ SAN. TİC. LTD. ŞTİ.;YAVRUTURMA MAH. MALİYE 2. SOK. PLATİN İŞ MERKEZİ NO:3/14 MERKEZ ÇORUM;+90 (364) 000-0000;;
2M COOPERATION İŞ ÇÖZÜMLERİ VE TASARIM LİMİTED ŞİRKETİ;DEMİRTAŞ DUMLUPINAROSB MAH. ÇİĞDEM 1 SK. NO:20/1 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 000-0000;;
2M İNŞAAT MALZEMELERİ TİCARET LİMİTED ŞİRKETİ;PAŞADAĞ MAH. ULUS CAD. G BLOK NO: 68 /1GA YUVACIK BAŞİSKELE KOCAELI;;;
2MM OTOM. KAUÇUK SAN. İÇ VE DIŞ TİC. LTD. ŞTİ.;FEVZİÇAKMAK MH. 10757. SK NO 6/D KARATAY KONYA;+90 (332) 000-0000;;
2MM RENT A CAR GAYRİMENKUL KUYUMCULUK KREŞ HİZM.SAN.VE TİC.LTD.ŞTİ.;ARAPZADE MH.ARKALTI CAD.NO:61/A ORHANGAZİ BURSA;+90 (224) 574-0102;;
2T GROUP OTOMOTİV LTD. ŞTİ.;YAVUZSELİM MAH. 6. DUTLU SOK. NO:14/2-1 YILDIRIM BURSA;+90 (224) 000-0000;;
3 BAY DAVET ORGANİZASYON TEKSTİL TİCARET VE SAN.LTD.ŞTİ.;ÇALI MAH. AHISKA CAD. NO:128 YUMURTALIK BURSA;+90 (224) 235-2539;http://www.ernursusleme.com;ernursusleme.com
3 N TARIM GIDA TEKSTİL MAKİNA MOBİLYA İTH. VE İHR. LTD. ŞTİ.;BARBAROS MAH. KURTULUŞ SOK. KRD GROUP 1 APT. NO:4/20 MERKEZ ÇANAKKALE;+90 (286) 000-0000;;
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
312-VİP DİZAYN- SAMET ALAN;AYDINLIKEVLER MAH. İRFAN BAŞTUĞ CAD.126 A ALTINDAĞ ANKARA;+90 (312) 316-1642;;
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A PARTS YEDEK PARÇA OTOMOTİV SAN. TİC.LTD.ŞTİ.;AKSARAY MAH. TİRYAKİ HASANPAŞA SOK. GÖNEN İŞ HANI 68/2 FATİH İSTANBUL;+90 (212) 000-0000;;
3A SERACILIK TURİZM TİCARET A.Ş.;GÜZELTEPE MAH. ABİDİN DAVER SOK. NO:7/9 ÇANKAYA ANKARA;+90 (312) 000-0000;http://www.3agroup.com.tr;3agroup.com.tr
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3B SERA TARIM PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ÇAKIR MAH. İSTASYON CAD. BÜNYAMİN ÇETİN SİT. NO:6/4 SANDIKLI AFYON;+90 (272) 000-0000;;
3BHD MOBİLYA SAN. VE DIŞ TİC.LTD.ŞTİ.;ALAADDİNBEY MH.613.SK. 2 NOLU BAĞIMSIZ SİT. NO:5/1 YUMURTALIK BURSA;+90 (224) 240-1434;;
3D MEDYA YAZILIM VE DIŞ TİCARET LİMİTED ŞİRKETİ;ULUBEY MH.MEŞE CD. NO:3/12 SIHHİYE ÇANKAYA ALTINDAĞ ANKARA;+90 (312) 230-3204;;
3D YÜCESOY İNŞAAT TAAHHÜT TEKSTİL NAKLİYE SAN. VE TİC.LTD.ŞTİ.;FETHİYE MAH.FULYA SK. NO:29/1 FETHİYE YUMURTALIK BURSA;+90 (224) 255-1616;;
3E HİJYEN ÜRÜNLERİ KOZMETİK MEDİKAL TEKSTİL TUR.GIDA İTH.İHR.TAAH.TİC.LTD.ŞTİ;BATİ SİTESİ MAH.2310/1 CAD.NO:7 İÇ KAPI NO:2 YENİMAHALLE ANKARA;+90 (312) 000-0000;http://www.3ehijyen.com.tr;3ehijyen.com.tr
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3F TASARIM TEKSTİL KONFEKSİYON A.Ş.;IŞIKTEPE OSB MAH. KIRMIZI CAD NO:5 16340 YUMURTALIK BURSA;+90 (224) 244-6447;http://www.fastfashionfactory.com;fastfashionfactory.com
3H FİLO KİRALAMA VE KURUMSAL HİZMETLER LTD. ŞTİ.;ADNAN KAHVECİ MAH. YAVUZ SULTAN SELİM BLV. PERLA VİSTA NO:1-A/40 BEYLİKDÜZÜ İSTANBUL;+90 (212) 909-8572;;
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3MG GROUP MAKİNA SAN. VE TİC. A.Ş.;KAVAKLI MAH. AYASOFYA CAD. NO:17/2A BEYLİKDÜZÜ İSTANBUL;+90 (212) 000-0000;;
3P TEKNOLOJİ GELİŞTİRME VE DANIŞMANLIK SAN. VE TİC. LTD. ŞTİ.;VELİBABA MAH. MİMAR SİNAN CAD. VELİBABA SAN. SİTES NO:15/1-9 PENDİK İSTANBUL;+90 (216) 307-8585;;
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
3S RİDAS GIGA İNŞAAT SAN. VE TİC. LTD. ŞTİ.;FUATPAŞA MH. 24. SK. NO:10 MERKEZ KÜTAHYA;+90 (274) 216-0274;http://www.ridas.com.tr;ridas.com.tr
3SSS OTOMOTİV YEDEK PARÇA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YUNUS EMRE MAH LÜTFİ AYTAÇ BULV ESMA APT NO101A SULTANGAZİ İSTANBUL;+90 (212) 903-1010;;
3T STYLE TEKSTİL İÇ VE DIŞ TİCARET SAN. LTD. ŞTİ.;DEMİRTAŞ BARBAROS MAH. 469. SOK NO:6A 16120 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 256-0606;;
3TAG YAZILIM BİLİŞİM SİSTEMLERİ SAN. TİC. LTD. ŞTİ.;KÜKÜRTLÜ MAH. ÇEKİRGE CAD. ONUR APT. NO:86/5 OSMANGAZİ BURSA;+90 (224) 000-0000;;
3W GIDA LOJİSTİK İTHALAT İHRACAT SAN. VE TİC.A.Ş.;DEMİRSUBAŞI MAH.TAHIL SK.NO:7/2 GEMLİK BURSA;+90 (224) 514-4398;;
4 MEVSİM BURSA TARIM HAYV.FİDANCILIK GIDA İTH.İHR.LTD.ŞTİ;23 NİSAN MAH.ATA BULV.GİZEMLER PLAZA-3 SİT. NO:5/39 YUMURTALIK BURSA;+90 (224) 000-0000;;
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4A DOKUMA TEKSTİL BRODE SAN. VE TİC. A.Ş.;YENİDOĞANOSB MAH. CENGİZ TOPEL CAD. NO:5 DEMİRTAŞ GÜRSU BURSA;+90 (224) 371-3060;http://www.4atekstil.com.tr;4atekstil.com.tr
