firma_adi;adres;telefon;website;domain
25-ES TEKSTİL MEFRUŞAT MOBİLYA TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LTD. ŞTİ.;A.VEFIK PAŞA MAH.2.ORG.SAN.BÖL HÜNKAR CD. KAT.1 KESTEL BURSA;+90 (224) 373-0209;http://www.yukseller.com.tr;yukseller.com.tr
3 BAY DAVET ORGANİZASYON TEKSTİL TİCARET VE SAN.LTD.ŞTİ.;ÇALI MAH. AHISKA CAD. NO:128 YUMURTALIK BURSA;+90 (224) 235-2539;http://www.ernursusleme.com;ernursusleme.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A SERACILIK TURİZM TİCARET A.Ş.;GÜZELTEPE MAH. ABİDİN DAVER SOK. NO:7/9 ÇANKAYA ANKARA;+90 (312) 000-0000;http://www.3agroup.com.tr;3agroup.com.tr
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E HİJYEN ÜRÜNLERİ KOZMETİK MEDİKAL TEKSTİL TUR.GIDA İTH.İHR.TAAH.TİC.LTD.ŞTİ;BATİ SİTESİ MAH.2310/1 CAD.NO:7 İÇ KAPI NO:2 YENİMAHALLE ANKARA;+90 (312) 000-0000;http://www.3ehijyen.com.tr;3ehijyen.com.tr
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3F TASARIM TEKSTİL KONFEKSİYON A.Ş.;IŞIKTEPE OSB MAH. KIRMIZI CAD NO:5 16340 YUMURTALIK BURSA;+90 (224) 244-6447;http://www.fastfashionfactory.com;fastfashionfactory.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
