firma_adi;adres;telefon;website;domain
25-ES TEKSTİL MEFRUŞAT MOBİLYA TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LTD. ŞTİ.;A.VEFIK PAŞA MAH.2.ORG.SAN.BÖL HÜNKAR CD. KAT.1 KESTEL BURSA;+90 (224) 373-0209;http://www.yukseller.com.tr;yukseller.com.tr
2BY REKLAMCILIK TABELA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;GÖRÜKLE MAH.ÜNİVERSİTE 1 CAD.NO:933 D:120 YUMURTALIK BURSA;+90 (224) 000-0000;;
2MM RENT A CAR GAYRİMENKUL KUYUMCULUK KREŞ HİZM.SAN.VE TİC.LTD.ŞTİ.;ARAPZADE MH.ARKALTI CAD.NO:61/A ORHANGAZİ BURSA;+90 (224) 574-0102;;
3 BAY DAVET ORGANİZASYON TEKSTİL TİCARET VE SAN.LTD.ŞTİ.;ÇALI MAH. AHISKA CAD. NO:128 YUMURTALIK BURSA;+90 (224) 235-2539;http://www.ernursusleme.com;ernursusleme.com
3BHD MOBİLYA SAN. VE DIŞ TİC.LTD.ŞTİ.;ALAADDİNBEY MH.613.SK. 2 NOLU BAĞIMSIZ SİT. NO:5/1 YUMURTALIK BURSA;+90 (224) 240-1434;;
3E HİJYEN ÜRÜNLERİ KOZMETİK MEDİKAL TEKSTİL TUR.GIDA İTH.İHR.TAAH.TİC.LTD.ŞTİ;BATİ SİTESİ MAH.2310/1 CAD.NO:7 İÇ KAPI NO:2 YENİMAHALLE ANKARA;+90 (312) 000-0000;http://www.3ehijyen.com.tr;3ehijyen.com.tr
3S RİDAS GIGA İNŞAAT SAN. VE TİC. LTD. ŞTİ.;FUATPAŞA MH. 24. SK. NO:10 MERKEZ KÜTAHYA;+90 (274) 216-0274;http://www.ridas.com.tr;ridas.com.tr
3T STYLE TEKSTİL İÇ VE DIŞ TİCARET SAN. LTD. ŞTİ.;DEMİRTAŞ BARBAROS MAH. 469. SOK NO:6A 16120 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 256-0606;;
4A DOKUMA TEKSTİL BRODE SAN. VE TİC. A.Ş.;YENİDOĞANOSB MAH. CENGİZ TOPEL CAD. NO:5 DEMİRTAŞ GÜRSU BURSA;+90 (224) 371-3060;http://www.4atekstil.com.tr;4atekstil.com.tr
4K PERDE VE TEKSTİL SAN. VE TİC. LTD. ŞTİ.;KAZIM KARABEKİR MAH. 4. ASMA SOK. NO:3/1 YILDIRIM BURSA;+90 (224) 368-3754;;
4M TEKSTİL SAN. TİC. LTD. ŞTİ.;YİĞİTLER MAH. OTOSANSİT SANAYİ SİTESİ 9.BLOK NO.91-93-95 YILDIRIM BURSA;+90 (224) 342-6462;;
5M DIŞ TİCARET SAN.LTD.ŞTİ.;NİLÜFERKÖY MAH. NİLÜFER CAD. NO:154 OSMANGAZİ BURSA;+90 (224) 000-0000;;
707 MOTORS OTOMOTİV SAN. TİC. LTD. ŞTİ.;YUNUSEMRE MAH. MUHSİN YAZICIOĞLU BLV. NO:143/A YILDIRIM BURSA;+90 (224) 000-0000;;
A G MENSUCAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;DEMİRTAŞ DUMLUPINAR ORGANİZE SANAYİ BÖLGESİ MAHALLESİ 1. NİLÜFER SOK. NO:9/7 OSMANGAZİ BURSA;+90 (224) 211-0070;http://www.agmensucat.com.tr;agmensucat.com.tr
A.B.H. TEKSTİL SANAYİ VE TİCARET LTD. ŞTİ.;DEMİRTAŞ ORG.SAN.BÖL. LEYLAK SOK. NO:3 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-2838;http://www.fioretta.com;fioretta.com
A.C.S. TEKSTİL SAN. VE TİC. A.Ş.;MİNARELİÇAVUŞOSB MAH. MEŞE CAD. NO:1/B YUMURTALIK BURSA;+90 (224) 411-0322;http://www.acstekstil.com.tr;acstekstil.com.tr
A.GLOBAL ELEKTRONİK TİC.HED.EŞY.REK.GI.YA.İT.İH. VE TİC.LTD.ŞTİ.;KORU MH.2643.SK.GÜZELTAN SİT.11/11 ÇAYYOLU ÇANKAYA ANKARA;+90 (312) 240-0717;http://www.peshtow.com;peshtow.com
A.J.T TEKSTİL TURİZM İNŞAAT SANAYİ TİCARET LTD.ŞTİ.;AHMET VEFİK PAŞA MAH. HASAN KESTELLİ CAD. NO.10 KESTEL BURSA;+90 (224) 373-1865;;
A.N.L REKLAMCILIK MATBAA TEKSTİL GIDA PLASTİK KİMYA İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.;KÜKÜRTLÜ MAH.ZÜBEYDE HANIM CAD.TAYAN APT. NO:10 D:2 OSMANGAZİ BURSA;+90 (224) 234-0944;http://www.anlcreative.com;anlcreative.com
A.N.Y. TEKSTİL SANAYİ TİCARET VE PAZARLAMA ANONİM ŞİRKETİ;DEMİRTAŞ DUMLUPINAR OSB MAH. MUSTAFA KARAER CAD. NO:40 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-0906;http://www.any.com.tr;any.com.tr
A.R. ALTINLILAR TEKSTİL SAN VE TİC LTD.ŞTİ.;DOSAB GÜL SOK NO:6/B OSMANGAZİ BURSA;+90 (224) 261-1265;http://www.altinlitekstil.com;altinlitekstil.com
A.R.N. TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ALTINOVA MAH.KIRAN SK.NO:17 OSMANGAZİ BURSA;+90 (224) 215-4083;;
A.S.T. TOPDAĞI TEKSTL PETROL İNŞAAT SANAYİ VE TİCARET LTD.ŞTİ.;ANADOLU MAH. TÜTÜNCÜOĞLU SK. NO:2/2 YILDIRIM BURSA;+90 (224) 211-3455;;
A.S.Y. EV TEKS. ÜRÜN. SAN. TİC. LTD. ŞTİ.;ALTINOVA MAH. YENİ YALOVA YOLU BUTTİM İŞ MERKEZİ D:2 NO:2292 OSMANGAZİ BURSA;+90 (224) 212-0024;;
A.V.Y TEKSTİL KONFEKSİYON MAKİNA SANAYİ TİCARET LTD.ŞTİ.;ANADOLU MAH. ÇELEBİ SOKAK NO.3 YILDIRIM BURSA;+90 (224) 363-2858;http://www.avytekstil.com;avytekstil.com
ABAKLI INŞ.TEKSTIL VE DIŞ TIC. SAN.VE TICARET A.Ş.;MİLLET MAH.11 EYLÜL BULVARI 1.VİCDAN SOK.NO:6 DUACINAR YILDIRIM BURSA;+90 (224) 351-5400;;
ABBAD TEKSTİL TURİZM İNŞAAT SAN. VE TİC. LTD. ŞTİ.;DUAÇINARI MAH. KARLIDAĞ CAD. 69/3 YILDIRIM BURSA;+90 (224) 211-1913;;
ABDULKADİR ÇAĞLAR;RAGIP TÜZÜN MAH.ANIL SOK.NO:27/3 YENİMAHALLE ANKARA;+90 (312) 287-1474;;
ABDULLAH AKKUŞ FUSCHİA HOME;HÜDAVENDİGAR MAH. 9. DERE SOK. NO:8A OSMANGAZİ BURSA;+90 (224) 000-0000;;
ABDULLAH USLU/ SMARTFUL EV TEKSTİL;İHSANİYE MAH. SÜMBÜL 110 SOK. NO:27 YUMURTALIK BURSA;+90 (224) 000-0000;;
A-BEY TEKSTIL PLAST.ITH.IHR. SAN.TIC.LTD.ŞTI;K.BALIKLI ÇELEBI SK.NO:4 MERKEZ BURSA;+90 (224) 376-1016;;
AB-KAN TEKSTIL SAN.VE TIC.LTD. ŞTI.;YUNUSELI MAH.AKYILDIZ SK.N.8 OSMANGAZİ BURSA;+90 (224) 248-4890;http://www.ab-kan.com;ab-kan.com
ABM TEKNİK KAUÇUK METAL MAKİNA TEKS.İNŞ.TARIM VE HAYV.OTOMOTİV TAŞ.SAN.VE TİC.LTD.ŞTİ.;ANADOLU MAH.1.MERCAN SOK.NO:28/A Z1 YILDIRIM BURSA;+90 (224) 222-0157;;
ABONNA MOBİLYA ORMAN ÜRÜNLERİ İNŞAAT İTHALAT İHRACAT SAN. VE TİC.LTD.ŞTİ.;SÜLEYMANİYE OSB MAH. 4. CAD. NO:12 İNEGÖL BURSA;+90 (224) 711-2011;;
ABRANE PLASTİK TAR.HAYVANCILIK GIDA TUR.TEKS.İNŞ.ELEKTRİK İTH.İHR.SAN.VE TİC.A.Ş.;İSTİKLAL MH.KAZIM KARABEKİR CAD.NO:98 GÜRSU BURSA;+90 (224) 376-1213;http://www.abrane.com.tr;abrane.com.tr
ABSA TEKSTİL OTOMOTİV KANTİN TARIM HAFRİYAT İNŞ. TAAH. SAN. TİC.LTD.ŞTİ;ANADOLU MAH. 2.ZORLU SK. NO:3 YILDIRIM BURSA;+90 (224) 371-6991;;
ABUZER GÖNDER;GÜRSU ORGANİZE SANAYİ BÖLGESİ DR.SADIK AHMET CAD. NO.5 GÜRSU BURSA;+90 (850) 926-0616;;
ACAR DOKUMA TEKSTİL SAN.VE TİC.LTD.ŞTİ;KÜÇÜKBALIKLI MAH.6.KIRLANGIÇ SOK.NO:16 OSMANGAZİ BURSA;+90 (224) 000-0000;;
ACAR İHRACAT İTHALAT TEKSTİL TİCARET VE SANAYİ A.Ş.;DOSAB ÇİĞDEM SK. NO:23 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-1860;http://www.acartextile.com.tr;acartextile.com.tr
ACARSOY TEKS.TIC.VE SAN.AŞ;DEMIRTAŞ ORGANIZE SAN.BÖL. MUSTAFA KARAER CAD. NO:14 OSMANGAZİ BURSA;+90 (224) 261-0290;http://www.acarsoy.com.tr;acarsoy.com.tr
ACARSOY İNŞAAT TEKSTİL TURİZM NAKLİYE EMLAK GIDA İHTİ. VE DAY.TÜKETİM MALL.SAN.İÇ VE DIŞ TİC.LTD.ŞT;ATATÜRK CAD. ACARHAN NO.101 ALTINOLUK ALTINOLUK EDREMİT BALIKESIR;+90 (266) 396-4024;http://www.bngardinen.net;bngardinen.net
ACD DOKUMACILIK VE DİJİTAL BASKI SAN. TİC. LTD. ŞTİ.;YUNUS EMRE MAH.2. YEL SK. NO:4 YILDIRIM BURSA;+90 (224) 361-1209;http://www.acdtekstil.com;acdtekstil.com
ACN İPLİK KUMAŞ TEKSTİL SANAYİ TİCARET ANONİM ŞİRKETİ;SÜLEYMANİYEOSB MAH. 3 CAD. NO:10/1 İNEGÖL BURSA;+90 (224) 261-6130;;
ACN-TR DIŞ TİCARET A.Ş.;SÜLEYMANİYEOSB MAH. 3 CAD. NO:10/1 İNEGÖL BURSA;+90 (224) 261-6130;http://http://acn.gen.tr;http
AÇELYAM DOKUMA İPLİK TEKSTİL İNŞAAT TURİZM GIDA İTHALAT İHRACAT SANAYİ VE TİCARET LTD.ŞTİ.;HACIVAT MAH. ANKARA YOLU CAD. NO.509 YILDIRIM BURSA;+90 (224) 346-1171;;
ADAK TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;AHMET VEFİK PAŞA ORGANİZE SANAYİ BÖLGESİ KARAPINAR CAD. NO.6 KESTEL BURSA;+90 (224) 331-7616;http://www.adaktekstil.com;adaktekstil.com
ADAL TEK.KONF.SAN.TİC.LTD.ŞTİ;DEMİRTAŞ OSB YILDIZ SK. NO:31 OSMANGAZİ BURSA;+90 (224) 261-5871;;
ADANTE TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;BARAKFAKİH OSB MAH. 18. CAD NO: 5-B/1 KESTEL BURSA;+90 (224) 000-0000;;
ADASYA DENİM TEKSTİL SAN. TİC. LTD. ŞTİ.;YUNUSEMRE MAH. 2. DEVRENGEÇ SOK. NO:9 YILDIRIM BURSA;+90 (224) 364-7900;;
ADEKS TEKSTİL SAN.VE TİC.LTD.ŞTİ;AHMET VEFİK PAŞA MAH.OSB MAH.DEĞİRMEN CAD. NO:17 KESTEL BURSA;+90 (224) 214-0004;;
ADELİO TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;OVAAKÇA SANTRAL MAH.İSTANBUL CAD.NO:644 A OSMANGAZİ BURSA;+90 (224) 267-0088;;
ADEM AKÇASEVEN - AKÇA SİM İPLİK VE KUMAŞ TİCARETİ;KÜÇÜKBALIKLI MAH. KESTANE SOK. NO:11/4 OSMANGAZİ BURSA;+90 (224) 364-6077;;
ADEM BAYRAKTAR - ADM DIŞ TİCARET;GÜZELYALI MAH. ATATÜRK CAD. 132/A1 MUDANYA BURSA;+90 (224) 000-0000;;
ADEM GORGOR - BATUNUR HOME COLLECTION;REYHAN MAH.CUMHURİYET CD.DORUK İŞH.NO:150/Z22 OSMANGAZİ BURSA;+90 (224) 000-0000;;
ADEM MUTİ;ALTINOVA MH. FUAR CD. NO:61/1275 OSMANGAZİ BURSA;+90 (224) 000-0000;;
ADEM YILMAZ;ŞEHREKÜSTÜ MAH. CUMHURİYET CAD. A BLOK NO:194/C OSMANGAZİ BURSA;+90 (224) 220-3927;;
ADENTEKS DİZAYN TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;19 MAYIS MAH. KARANFİLLİ SOK. NO:11A YUMURTALIK BURSA;+90 (224) 244-8400;http://www.design-colors.com;design-colors.com
ADERTEKS DIŞ TİCARET LTD.ŞTİ.;DEMİRTAŞ DUMLUPINAR OSB MAH. SEMT SARDUNYA 2SK NO.11 OSMANGAZİ BURSA;+90 (224) 261-0330;http://www.aderteks.com.tr;aderteks.com.tr
ADESSO TEKSTİL SAN. VE TİC. LTD. ŞTİ.;DEMİRTAŞ DUMLUPINAROSB MAH. İSTANBUL CAD. SÖNMEZ ASF İPLİK 568 OSMANGAZİ BURSA;+90 (224) 261-2200;;
ADİL UÇAR TEKSTİL SAN.VE TİC.LTD.ŞTİ;GÜRSU SANAYİ BÖLGESİ TAŞLIYOL CAD. ENGİNAR SOKAK NO.7 GÜRSU BURSA;+90 (224) 371-8310;http://www.adilucar.com;adilucar.com
ADNAN ADEM ÖZANLI - YANTEKS TEKSTİL;KÜÇÜKBALIKLI MH.SARIYER CD.NO:34 OSMANGAZİ BURSA;+90 (224) 215-0798;http://www.yanteks.com;yanteks.com
ADNAN AKBURAK TEKSTİL SAN. VE TİC. LT. ŞTİ.;YUNUSEMRE MAH. 1. YETER SOK. NO:2-8/A YILDIRIM BURSA;+90 (224) 211-2235;;
ADNAN ERHAN TUNÇ - A.F.T. TEKSTİL;KAZIM KARABEKİR MAH. 2. KUMLU SK.NO:2/1 YILDIRIM BURSA;+90 (224) 361-7681;;
ADNAN EZER;BEŞEVLER MH. BİLGİNLER CD. OTAKUR ÖNKESKİN APT. NO 28/1 YUMURTALIK BURSA;+90 (224) 519-5329;;
ADNAN HALİS-TANER TEKSTİL TİCARET;YUNUSEMRE MAH.AY CADDESİ NO.26 YILDIRIM BURSA;+90 (224) 000-0000;http://www.madameserenay.com;madameserenay.com
ADNAN ŞAHİN ÖZEL SAĞLIK HİZMETLERİ TEKSTİL İNŞAAT. SAN VE TİC. LTD. ŞTİ.;AHMETVEFİKPAŞA MAH. YÜZBAŞIOSB SK. BLOK NO:3A KESTEL BURSA;+90 (224) 363-3633;;
ADOKSAN KUMAŞ VE KİMYASALLARI SANAYİ TİCARET LTD.ŞTİ.;IŞIKTEPE OSB MAH. KAHVERENGİ CD. NO:17/B YUMURTALIK BURSA;+90 (224) 241-4242;http://www.adoksan.com.tr;adoksan.com.tr
ADOKSAN TEKS.SAN.VE TİC.A.Ş.;ORG.SAN.BÖL.KAHVERENGI CADDE NO.17 YUMURTALIK BURSA;+90 (224) 241-4242;http://www.adoksan.com.tr;adoksan.com.tr
ADSA TAŞIMACILIK TEKSTİL İNŞ.İTH.İHR.SAN.VE TİC.A.Ş.;ÖZEVLER MAH.VATAN CAD.NO:13/A 16190 YENİMAHALLE ANKARA;+90 (312) 334-1411;;
ADWORLD BİLİŞİM YAZILIM ELEKTRONİK REKLAM İÇ VE DIŞ TİC. EĞİTİM GIDA SAN. VE TİC. LTD. ŞTİ.;23 NİSAN MAH. ATABULVARI CAD. GUZELL TOWER İŞ MERK KAT:13 D:50 YUMURTALIK BURSA;;http://www.adworld.com.tr;adworld.com.tr
AET TEKSTİL A.Ş.;PANAYIR MAH. 4. NİLÜFER CAD. NO:64/B OSMANGAZİ BURSA;+90 (224) 000-0000;http://www.aetfabric.com;aetfabric.com
AF AYFA TEKSTİL PAZARLAMA İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;SOĞANLI MAH. 3. MELTEM SOK. NO:31/B OSMANGAZİ BURSA;+90 (224) 000-0000;http://afayfatekstil@hs01.kep.tr;hs01.kep.tr
AFZA TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;DÜZAĞAÇ BELDESİ ZAFER MAH. MİMAR SİNAN SOK. NO:3-3 SİNANPAŞA SİNCANLI(SİNANPAŞA) AFYON;+90 (272) 314-3334;;
AGAR DIŞ TİCARET LİMİTED ŞİRKETİ;YÜZÜNCÜYIL MAH. PROF DR. ERDAL İNÖNÜ CAD. HASRETKENT D BLOK NO:59/1 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.agartrade.com;agartrade.com
AGM PORT MEDİKAL TEKSTİL TURİZM İNŞAAT GIDA SANAYİ VE TİCARET LTD.ŞTİ.;SELÇUKHATUN MAH. İNÖNÜ CAD. SÖNMEZ İŞ SARAYI KAT.4/255 OSMANGAZİ BURSA;+90 (224) 220-4450;http://www.agmport.com;agmport.com
AHM GLOBAL DIŞ TİCARET VE TURİZM LTD. ŞTİ.;KURTULUŞ MH. CUMHURİYET BLV. A BLOK NO:92/15 ODUNPAZARI ESKIŞEHIR;+90 (222) 233-2666;;
AHMANN TEKSTİL SAN.VE DIŞ.TİC.LTD.ŞTİ;ÇALI MAH.ÖMER BİLTEKİN BLV.VAREL KUNDURA NO:17/1 YUMURTALIK BURSA;+90 (224) 000-0000;;
AHMET AGAYA-RAMSEY MOBİLYA;MAHMUDİYE MAH.14.MOBİLYA SOK. NO:27/1 İNEGÖL BURSA;+90 (224) 000-0000;;
AHMET ALPER YÜCER - ALA HOMES TEKSTİL;ALTIOVA MH. İSTANBUL CD BUTTİM İŞ MERKEZİ A BLOK 5. KAT NO 5043 OSMANGAZİ BURSA;+90 (224) 000-0000;;
AHMET ALTINBAŞAK;ALTNOVA MAH. İSTANBUL CAD. BUTTİM İŞ MERKEZİ NO:424/5-2015 OSMANGAZİ BURSA;+90 (224) 211-0265;;
AHMET AVCI;KOĞUKÇINAR MAH. BOZCAARMUT SOK. NO:52/2 OSMANGAZİ BURSA;+90 (224) 000-0000;;
AHMET AYDIN AYD-PINARCAN TEKSTİL;MALTEPE MAH. ÇİÇEKSOKAK NO.2 YILDIRIM BURSA;+90 (224) 361-6780;;
AHMET AYTI;NAMAZGAH CAD.ÇELEBI MEH.BULVA. NO.11/A YILDIRIM BURSA;+90 (224) 326-1214;http://www.aytitekstil.com;aytitekstil.com
AHMET ÇAYIR;23 NİSAN MAH. KÖROĞLU CAD.NO:5/14 YUMURTALIK BURSA;+90 (224) 372-1630;;
AHMET DEMİR;KARAPINAR MAH. B158 SOK. NO:10 YILDIRIM BURSA;+90 (224) 000-0000;;
AHMET GÜZELGÜL;GÜLBAHÇE MAH. VARDAR CAD. NO.47/A OSMANGAZİ BURSA;+90 (224) 272-3554;http://www.ahmetguzelgul.com;ahmetguzelgul.com
AHMET GÜZELSÖZ - MARKALOG TEKSTİL;KAZIM KARABEKİR MAH. KIVRAK SOKAK NO.6 K3 YILDIRIM BURSA;+90 (224) 362-9889;;
AHMET HAKER;YUNUSEMRE MAH. KAPTAN SOKAK NO. 13A/Z1 YILDIRIM BURSA;+90 (224) 000-0000;http://www.fabbrotekstil.com;fabbrotekstil.com
AHMET HÜSAMETTİN ÖZTÜRK - ÖZTEKSTİL;İHSANİYE MAH. MEZARLIK SK NO:53 YUMURTALIK BURSA;+90 (224) 249-7625;;
AHMET KARACA;KAZIMKARABEKİR MAH. OYLUMDERE SOK. A BLOK NO:10/1 YILDIRIM YILDIRIM BURSA;+90 (224) 351-0054;;
AHMET KARACA - AKVO TEKSTİL;ERİKLİ MH.EFLAK CD.DEMİR APT. NO:28/C YILDIRIM BURSA;+90 (224) 000-0000;;
AHMET KIRLILAR - CARELLA HOME;BUTTİM İŞM.B BLOK NO:123/121/124 OSMANGAZİ BURSA;+90 (224) 000-0000;;
AHMET KORKUT;İSTİKLAL MAH. ATATÜRK CAD. NO.65/C GÜRSU BURSA;+90 (224) 371-4373;;
AHMET KUŞ;DUAÇINARI MAH.VIŞNE CAD.NO:136 YILDIRIM BURSA;+90 (224) 361-3769;http://www.kustekstil.com;kustekstil.com
AHMET MOR;BURSA DERİ ORGANİZE SAN.BÖL.8.SOK NO 7 YUMURTALIK BURSA;+90 (224) 487-0080;;
AHMET NADİR ÇAKMAK;DUAÇINARI MAH. 5. ARDIÇ SOK. NO:6 YILDIRIM BURSA;+90 (224) 000-0000;;
AHMET ÖZTÜRK;YUNUSEMRE MAH. YEŞİL İNCİLER CAD.NO:19 YILDIRIM BURSA;+90 (224) 271-8163;;
AHMET SABUNCULAR TEKSTIL SAN. VE TIC.LTD.ŞTI.;Y.YALOVA YOLU BUTTIM IŞ MERK. B2 N:433 OSMANGAZİ BURSA;+9 (224) 211-0360;;
AHMET SAKARYA;REYHAN MH. HAŞİM İŞÇAN CAD.NO:12/308 OSMANGAZİ BURSA;+90 (850) 304-4997;;
AHMET SERİNÇAY - GÖZDE TEKSTİL;ANADOLU MAH. 1.MERCAN SOKAK NO.19/21 YILDIRIM BURSA;+90 (224) 364-0494;;
AHMET TURAN CANAL - ATC MENSUCAT;DOSAB PAPATYA SOK.NO:24/F OSMANGAZİ BURSA;+90 (224) 000-0000;;
AHMET TUTAN;ŞÜKRANIYE M. YILDIZ SOK. NO:19 Tayin edilmedi BURSA;+90 (224) 376-0133;;
AHTAPOT TEKSTİL İTH.İHR.SAN VE TİC LTD.ŞTİ.;ALAŞARKÖY MAH.İSTANBUL CAD.NO:630 OSMANGAZİ BURSA;+90 (224) 267-1316;http://www.ahtapottekstil.com;ahtapottekstil.com
