firma_adi;adres;telefon;website;domain
25-ES TEKSTİL MEFRUŞAT MOBİLYA TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LTD. ŞTİ.;A.VEFIK PAŞA MAH.2.ORG.SAN.BÖL HÜNKAR CD. KAT.1 KESTEL BURSA;+90 (224) 373-0209;http://www.yukseller.com.tr;yukseller.com.tr
3 BAY DAVET ORGANİZASYON TEKSTİL TİCARET VE SAN.LTD.ŞTİ.;ÇALI MAH. AHISKA CAD. NO:128 YUMURTALIK BURSA;+90 (224) 235-2539;http://www.ernursusleme.com;ernursusleme.com
3E HİJYEN ÜRÜNLERİ KOZMETİK MEDİKAL TEKSTİL TUR.GIDA İTH.İHR.TAAH.TİC.LTD.ŞTİ;BATİ SİTESİ MAH.2310/1 CAD.NO:7 İÇ KAPI NO:2 YENİMAHALLE ANKARA;+90 (312) 000-0000;http://www.3ehijyen.com.tr;3ehijyen.com.tr
3S RİDAS GIGA İNŞAAT SAN. VE TİC. LTD. ŞTİ.;FUATPAŞA MH. 24. SK. NO:10 MERKEZ KÜTAHYA;+90 (274) 216-0274;http://www.ridas.com.tr;ridas.com.tr
4A DOKUMA TEKSTİL BRODE SAN. VE TİC. A.Ş.;YENİDOĞANOSB MAH. CENGİZ TOPEL CAD. NO:5 DEMİRTAŞ GÜRSU BURSA;+90 (224) 371-3060;http://www.4atekstil.com.tr;4atekstil.com.tr
A G MENSUCAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;DEMİRTAŞ DUMLUPINAR ORGANİZE SANAYİ BÖLGESİ MAHALLESİ 1. NİLÜFER SOK. NO:9/7 OSMANGAZİ BURSA;+90 (224) 211-0070;http://www.agmensucat.com.tr;agmensucat.com.tr
A.B.H. TEKSTİL SANAYİ VE TİCARET LTD. ŞTİ.;DEMİRTAŞ ORG.SAN.BÖL. LEYLAK SOK. NO:3 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-2838;http://www.fioretta.com;fioretta.com
A.C.S. TEKSTİL SAN. VE TİC. A.Ş.;MİNARELİÇAVUŞOSB MAH. MEŞE CAD. NO:1/B YUMURTALIK BURSA;+90 (224) 411-0322;http://www.acstekstil.com.tr;acstekstil.com.tr
A.GLOBAL ELEKTRONİK TİC.HED.EŞY.REK.GI.YA.İT.İH. VE TİC.LTD.ŞTİ.;KORU MH.2643.SK.GÜZELTAN SİT.11/11 ÇAYYOLU ÇANKAYA ANKARA;+90 (312) 240-0717;http://www.peshtow.com;peshtow.com
A.N.L REKLAMCILIK MATBAA TEKSTİL GIDA PLASTİK KİMYA İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.;KÜKÜRTLÜ MAH.ZÜBEYDE HANIM CAD.TAYAN APT. NO:10 D:2 OSMANGAZİ BURSA;+90 (224) 234-0944;http://www.anlcreative.com;anlcreative.com
A.N.Y. TEKSTİL SANAYİ TİCARET VE PAZARLAMA ANONİM ŞİRKETİ;DEMİRTAŞ DUMLUPINAR OSB MAH. MUSTAFA KARAER CAD. NO:40 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-0906;http://www.any.com.tr;any.com.tr
A.R. ALTINLILAR TEKSTİL SAN VE TİC LTD.ŞTİ.;DOSAB GÜL SOK NO:6/B OSMANGAZİ BURSA;+90 (224) 261-1265;http://www.altinlitekstil.com;altinlitekstil.com
A.V.Y TEKSTİL KONFEKSİYON MAKİNA SANAYİ TİCARET LTD.ŞTİ.;ANADOLU MAH. ÇELEBİ SOKAK NO.3 YILDIRIM BURSA;+90 (224) 363-2858;http://www.avytekstil.com;avytekstil.com
AB-KAN TEKSTIL SAN.VE TIC.LTD. ŞTI.;YUNUSELI MAH.AKYILDIZ SK.N.8 OSMANGAZİ BURSA;+90 (224) 248-4890;http://www.ab-kan.com;ab-kan.com
