companyName,domain,sourceList
Agco Tarım Makineleri Tic. Ltd. Şti.,agcocorp.com,GOSB
Ahşap Ürün Sanayi A.Ş,ahsap.com.tr,GOSB
Akarlar Metal Konstrüksiyon İnşaat Taahhüt San. Ve Tic. A.Ş.,,GOSB
Akay Plastik San. ve Tic A.Ş.,akayplastik.com,GOSB
Akış Yapı Yapı Malzemeleri Turizm Yatırımı San. ve Tic. Ltd. Şti.,akisyapi.com.tr,GOSB
Aksoy Plastik San. Ve Tic. A.Ş.,aksoyplastik.com.tr,GOSB
Alarko Carrier San. ve Tic. A.Ş.,alarko-carrier.com.tr,GOSB
Albapak Ambalaj San. ve Tic A.Ş.,,GOSB
Alfa Elektronik Sensör San. ve Tic. A.Ş.,alfasanayi.com,GOSB
Ali Şevket Ersoy/Ahmet Ulvi Ersoy,,GOSB
Altın Optik San. ve Tic. A.Ş.,,GOSB
Anatolia Gayrimenkul ve Girişim Sermayesi Portföy Yönetim A.Ş. / BMS Gayrimenkul Yatırım Fonu,anatoliaportfoy.com.tr,GOSB
Aperam Paslanmaz Çelik San. Tic. A.Ş.,aperam.com.tr,GOSB
Aplus Hastane Otelcilik Hizmetleri A.Ş.,,GOSB
Apresan Mekanik Perde Sistemleri San. ve Tic. A.Ş.,apresan.com.tr,GOSB
Arçelik-LG Klima San. ve Tic. A.Ş.,arcelik-lg.com.tr,GOSB
Archroma Turkey Kimya San. Ve Tic. Ltd. Şti.,archroma.com,GOSB
Arfesan Arkan Fren Elemanları San. Ve Tic. A.Ş.,arfesan.com.tr,GOSB
Arkanlar Gayrimenkul Yatırım A.Ş.,,GOSB
Aromsa Besin Aroma ve Katkı Maddeleri San. ve Tic. A.Ş.,aromsa.com,GOSB
Artemis İnş. San. Ve İnş. Malz. Paz. Tic. A.Ş.,artemis.com.tr,GOSB
Asyaplast Polimer ve Teknik Plastikleri San. Ve Tic. Ltd. Şti,asyaplast.com.tr,GOSB
Autoliv Cankor Otomotiv Emniyet Sistemleri San. ve Tic. A.Ş.,autoliv.com,GOSB
Avient Turkey Renklendirici ve Katkı Maddeleri San. ve Tic. A.Ş.,avient.com,GOSB
Avon Kozmetik Ürünleri San. ve Tic. A.Ş.,avon.com.tr,GOSB
Aydınlar Ref. San. ve Tic. A.Ş.,aydinlarrefrakter.com,GOSB
Aygaz A.Ş,aygaz.com.tr,GOSB
Bando Kayış Sanayi ve Ticaret (Türkiye) A.Ş.,bandoturkey.com.tr,GOSB
Bant Boru San. ve Tic. A.Ş.,bantboru.com,GOSB
Bant Boru San. ve Tic. A.Ş. (Gebze Şubesi),bantboru.com,GOSB
BBM Perakende Mağazcılık ve Gıda San. Ve Tic. A.Ş.,bbmfood.com.tr,GOSB
Beldesan Otomotiv Yan. San. ve Tic. A.Ş.,,GOSB
Belgin Madeni Yağlar Tic. Ve San. A.Ş.,belginoil.com,GOSB
Belkim Kimyevi Mad. Tic. ve San. A.Ş.,belkim.com,GOSB
Belmor Danışmanlık ve Taahhüt Tic. A.Ş.,,GOSB
Berg Metal San. Ve Tic. A.Ş.,bergmetal.com,GOSB
Berrmak Konveyör Sistemleri San. A.Ş. Arge ve Entegrasyon Merkezi Şubesi,berrmak.com,GOSB
Betek Boya ve Kimya San. A.Ş.,betek.com.tr,GOSB
Bilim İlaç San. ve Tic. A.Ş.,bilimilac.com.tr,GOSB
Biltur Catering ve Gıda A.Ş.,bilturcatering.com,GOSB
Biva Birleşik Varlıklar Mob. San. Tic. ve Taahhüt A.Ş.,,GOSB
BMA Teknoloji A.Ş.,bma-technology.com,GOSB
Boehlerit Sert Metal ve Takım San. ve Tic. A.Ş.,boehlerit.com.tr,GOSB
Borusan Mak. Ve Güç. Sist. San. Ve Tic. A.Ş.,borusancat.com,GOSB
BPW Otomotiv A.Ş.,,GOSB
Casper Teknoloji San. Tic. A.Ş.,casper.com.tr,GOSB
Cemfa Gözlük San. Ve Tic. A.Ş.,cemfagozluk.com,GOSB
Cemfa Optik San. Ve Tic. A.Ş.,cemfaoptik.com,GOSB
Cobin Lojistik Makina İnşaat San. ve Tic. A.Ş.,cobinlojistik.com,GOSB
Colgate-Palmolive Temizlik Ürünleri San. ve Tic. A.Ş.,colgate-palmolive.com,GOSB
Conta Elastik Ürünler San. Ve Tic. A.Ş.,cntconta.com,GOSB
Corning Optik İletişim San. Ltd. Şti.,corning.com,GOSB
Dekor Ahşap Ürünleri San. A.Ş.,lineadecor.com,GOSB
Dhollandia Lift San. Ve Tic. A.Ş.,dhollandia.com.tr,GOSB
Didem Sur,,GOSB
Dinamo Ambalaj ve Ofset A.Ş.,dinamoambalaj.com,GOSB
Doğan Lastikçilik San. ve Tic. A.Ş.,,GOSB
Doğan Metal ve Plastik San. A.Ş.,,GOSB
Dönmezler Yemek San. Ve Tic. Ltd. Şti.,donmezler.com.tr,GOSB
Dose Gayrimenkul İşletmeleri ve Danışmanlık A.Ş,,GOSB
Dostel Makina San. ve Tic. A.Ş.,dostelmakina.com,GOSB
DSM Besin Maddeleri Ltd.Şti.,dsmnutritionalproducts.com,GOSB
