companyName,domain,sourceList
3A MAKİNA  SAN.TİC.LTD.ŞTİ.,3amakina.com,ITOSB
ABB ELEKTRİK SANAYİ A.Ş. TUZLA ORGANİZE SANAYİ BÖLGESİ ŞUBESİ,global.abb,ITOSB
ABICOR BINZEL KAYNAK TEK. TİC. LTD. ŞT.,binzel-abicor.com,ITOSB
ACARER METAL SAN. VE TİC. A.Ş.,acarermetal.com.tr,ITOSB
AK GRUP TESİSAT MALZEMELERİ SANAYİ İÇ VE DIŞ TİC. LTD. ŞTİ.,akgrup.com.tr,ITOSB
AKM METALURJİ SAN. TEMSİLCİLİK ve DIŞ TİC. LTD. ŞTİ.,akm.com.tr,ITOSB
ALBAFARMA İLAÇ SAN VE TİC. LTD.ŞTİ.,albafarma.com.tr,ITOSB
ALP COMMUNİCATİON TEKNOLOJİ SANAYİ VE TİCARET A.Ş.,alprf.com,ITOSB
ALTAŞ ARITMA VE GERİ DÖNÜŞÜM SAN. VE TİC. A.Ş. (İTOSB Merkezi Atıksu Arıtma Tesisi),,ITOSB
ALTINIŞIK  KİMYA  SAN.  TİC. LTD.ŞTİ.,altinisikambalaj.com,ITOSB
ALTRA OPTİK SAN. VE TİC. A.Ş,altraoptik.com.tr,ITOSB
AN-EL Anahtar ve Elektrikli Ev Aletleri San. A.Ş.,an-el.com.tr,ITOSB
ANTHEMIS PHARMA COSMETİCS KOZMETİK SAN. VE TİC. AŞ.,anthemiscosmetics.com,ITOSB
ARD MÜHENDİSLİK ASANSÖR SANAYİ VE TİCARET LTD. ŞTİ.,asansoristanbul.com,ITOSB
ARION İLAÇ SAN VE TİC A.Ş.,bavet.com.tr,ITOSB
ARION İLAÇ SAN VE TİC. A.Ş. YEM KATKILARI ÜRETİM ŞUBESİ,bavet.com.tr,ITOSB
ARTES PRİNÇ BASKI MAMÜLLERİ SAN. VE TİC. LTD. ŞTİ.,artes.com.tr,ITOSB
ARZU BİSİKLET SAN. VE TİC. A.Ş.,moneromotor.com.tr,ITOSB
ASLI MAĞAZACILIK VE UNLU MAMULLER ÜRETİM A.Ş.,asli.com.tr,ITOSB
ATILIM MAKİNA İMALAT SAN. VE TİC. LTD.ŞTİ.,atilimmakine.com.tr,ITOSB
ATILIM MAKİNA İMALAT SAN. VE TİC. LTD.ŞTİ. (ŞUBE ADRESİ),atilimmakine.com.tr,ITOSB
B.C.B.OTOMASYON ÜRÜNLERİ SANAYİ VE TİCARET LTD. ŞTİ.,bcbotomasyon.com.tr,ITOSB
BAGÜ REKLAM DIŞ TİC. LTD. ŞTİ.,optimumdigital.com,ITOSB
BERF İLAÇ VE KOZMETİK SANAYİ TİCARET LİMİTED ŞİRKETİ,berfilac.com,ITOSB
BF PASTACILIK İMALATI A.Ş.,beyazfirin.com,ITOSB
BİMEKS ENDÜSTRİYEL BANT SANAYİ A.Ş.,bimeksithalat.com.tr,ITOSB
BİRİKİM PİLLER BATARYA SANAYİ TİC. LTD.ŞTİ.,birikimpilleri.com,ITOSB
BİRLEŞİK METAL ISIL İŞLEM SAN.TİC. LTD.ŞTİ.,birlesikmetal.com.tr,ITOSB
BTL REKLAM  VE MİMARLIK HİZMETLERİ SAN. VE TİC. LTD.ŞTİ.,btlreklam.com,ITOSB
CEDİMOĞLU MAKİNA YEDEK PARÇA TEKNİK MALZEME TİC. LTD. ŞTİ.,cedimoglu.com,ITOSB
CEKAFORM İSTANBUL PLASTİK AMBALAJ SAN. TİC. A.Ş.,cekaform.com.tr,ITOSB
CEM METAL TİCARET VE SANAYİ LTD. ŞTİ.,cemmetal.com.tr,ITOSB
CENGİZ MAKİNE İMALAT SAN. TİC. LTD.ŞTİ,cengizmakine.com,ITOSB
CİHANSER GIDA SAN. TİC. LTD. ŞTİ.,cihanser.com.tr,ITOSB
CİHANSER GIDA SAN. TİC. LTD. ŞTİ. TUZLA OSB ŞUBESİ,cihanser.com.tr,ITOSB
DEL- MAR  DENİZDE GÜVENLİK SİSTEMLERİ,delmarsafety.com,ITOSB
